MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE,location
2023-09-28,0.0,Madagascar,-23.99,45.12,Location2
2023-09-29,10.092,Madagascar,-23.99,45.12,Location2
2023-09-30,6413.938,Madagascar,-23.99,45.12,Location2
2023-10-01,6376.902,Madagascar,-23.99,45.12,Location2
2023-10-02,1964.549,Madagascar,-23.99,45.12,Location2
2023-10-03,7400.213,Madagascar,-23.99,45.12,Location2
2023-10-04,7417.108,Madagascar,-23.99,45.12,Location2
2023-10-05,7329.37,Madagascar,-23.99,45.12,Location2
2023-10-06,7416.717,Madagascar,-23.99,45.12,Location2
2023-10-07,7610.022,Madagascar,-23.99,45.12,Location2
2023-10-08,6997.008,Madagascar,-23.99,45.12,Location2
2023-10-09,7179.494,Madagascar,-23.99,45.12,Location2
2023-10-10,4876.532,Madagascar,-23.99,45.12,Location2
2023-10-11,6652.313,Madagascar,-23.99,45.12,Location2
2023-10-12,6442.952,Madagascar,-23.99,45.12,Location2
2023-10-13,6788.565,Madagascar,-23.99,45.12,Location2
2023-10-14,6265.382,Madagascar,-23.99,45.12,Location2
2023-10-15,4106.254,Madagascar,-23.99,45.12,Location2
2023-10-16,5175.286,Madagascar,-23.99,45.12,Location2
2023-10-17,2816.382,Madagascar,-23.99,45.12,Location2
2023-10-18,4001.128,Madagascar,-23.99,45.12,Location2
2023-10-19,4226.143,Madagascar,-23.99,45.12,Location2
2023-10-20,6741.837,Madagascar,-23.99,45.12,Location2
2023-10-21,7538.114,Madagascar,-23.99,45.12,Location2
2023-10-22,7427.776,Madagascar,-23.99,45.12,Location2
2023-10-23,6707.568,Madagascar,-23.99,45.12,Location2
2023-10-24,5620.847,Madagascar,-23.99,45.12,Location2
2023-10-25,5247.374,Madagascar,-23.99,45.12,Location2
2023-10-26,5317.886,Madagascar,-23.99,45.12,Location2
2023-10-27,8063.902,Madagascar,-23.99,45.12,Location2
2023-10-28,7728.857,Madagascar,-23.99,45.12,Location2
2023-10-29,7779.387,Madagascar,-23.99,45.12,Location2
2023-10-30,7810.879,Madagascar,-23.99,45.12,Location2
2023-10-31,7068.361,Madagascar,-23.99,45.12,Location2
2023-11-01,4827.007,Madagascar,-23.99,45.12,Location2
2023-11-02,3800.091,Madagascar,-23.99,45.12,Location2
2023-11-03,4806.12,Madagascar,-23.99,45.12,Location2
2023-11-04,6864.925,Madagascar,-23.99,45.12,Location2
2023-11-05,6506.68,Madagascar,-23.99,45.12,Location2
2023-11-06,5262.595,Madagascar,-23.99,45.12,Location2
2023-11-07,7451.695,Madagascar,-23.99,45.12,Location2
2023-11-08,6387.8,Madagascar,-23.99,45.12,Location2
2023-11-09,3841.863,Madagascar,-23.99,45.12,Location2
2023-11-10,5661.847,Madagascar,-23.99,45.12,Location2
2023-11-11,8635.836,Madagascar,-23.99,45.12,Location2
2023-11-12,8343.773,Madagascar,-23.99,45.12,Location2
2023-11-13,8333.09,Madagascar,-23.99,45.12,Location2
2023-11-14,5227.55,Madagascar,-23.99,45.12,Location2
2023-11-15,6859.01,Madagascar,-23.99,45.12,Location2
2023-11-16,7262.258,Madagascar,-23.99,45.12,Location2
2023-11-17,7957.967,Madagascar,-23.99,45.12,Location2
2023-11-18,7363.626,Madagascar,-23.99,45.12,Location2
2023-11-19,7584.938,Madagascar,-23.99,45.12,Location2
2023-11-20,6298.855,Madagascar,-23.99,45.12,Location2
2023-11-21,7478.563,Madagascar,-23.99,45.12,Location2
2023-11-22,8605.739,Madagascar,-23.99,45.12,Location2
2023-11-23,8543.835,Madagascar,-23.99,45.12,Location2
2023-11-24,8603.176,Madagascar,-23.99,45.12,Location2
2023-11-25,8327.768,Madagascar,-23.99,45.12,Location2
2023-11-26,8269.462,Madagascar,-23.99,45.12,Location2
2023-11-27,8591.753,Madagascar,-23.99,45.12,Location2
2023-11-28,8488.379,Madagascar,-23.99,45.12,Location2
2023-11-29,8377.209,Madagascar,-23.99,45.12,Location2
2023-11-30,6091.331,Madagascar,-23.99,45.12,Location2
2023-12-01,5514.809,Madagascar,-23.99,45.12,Location2
2023-12-02,8682.167,Madagascar,-23.99,45.12,Location2
2023-12-03,8831.41,Madagascar,-23.99,45.12,Location2
2023-12-04,8765.116,Madagascar,-23.99,45.12,Location2
2023-12-05,7884.19,Madagascar,-23.99,45.12,Location2
2023-12-06,8030.135,Madagascar,-23.99,45.12,Location2
2023-12-07,8436.91,Madagascar,-23.99,45.12,Location2
2023-12-08,6488.609,Madagascar,-23.99,45.12,Location2
2023-12-09,5727.896,Madagascar,-23.99,45.12,Location2
2023-12-10,7486.11,Madagascar,-23.99,45.12,Location2
2023-12-11,8361.562,Madagascar,-23.99,45.12,Location2
2023-12-12,7600.037,Madagascar,-23.99,45.12,Location2
2023-12-13,7478.445,Madagascar,-23.99,45.12,Location2
2023-12-14,7988.734,Madagascar,-23.99,45.12,Location2
2023-12-15,7420.228,Madagascar,-23.99,45.12,Location2
2023-12-16,7635.122,Madagascar,-23.99,45.12,Location2
2023-12-17,7432.039,Madagascar,-23.99,45.12,Location2
2023-12-18,8565.314,Madagascar,-23.99,45.12,Location2
2023-12-19,8795.655,Madagascar,-23.99,45.12,Location2
2023-12-20,8675.198,Madagascar,-23.99,45.12,Location2
2023-12-21,8733.43,Madagascar,-23.99,45.12,Location2
2023-12-23,7432.531,Madagascar,-23.99,45.12,Location2
2023-12-24,8863.288,Madagascar,-23.99,45.12,Location2
2023-12-25,7860.693,Madagascar,-23.99,45.12,Location2
2023-12-26,7141.943,Madagascar,-23.99,45.12,Location2
2023-12-27,8329.805,Madagascar,-23.99,45.12,Location2
2023-12-28,3923.058,Madagascar,-23.99,45.12,Location2
2023-12-29,4941.329,Madagascar,-23.99,45.12,Location2
2023-12-30,5461.338,Madagascar,-23.99,45.12,Location2
2023-12-31,3681.087,Madagascar,-23.99,45.12,Location2
2024-01-01,3832.739,Madagascar,-23.99,45.12,Location2
2024-01-02,5094.839,Madagascar,-23.99,45.12,Location2
2024-01-03,7040.19,Madagascar,-23.99,45.12,Location2
2024-01-04,5826.311,Madagascar,-23.99,45.12,Location2
2024-01-05,5800.308,Madagascar,-23.99,45.12,Location2
2024-01-06,5546.321,Madagascar,-23.99,45.12,Location2
2024-01-07,6918.954,Madagascar,-23.99,45.12,Location2
2024-01-08,6719.177,Madagascar,-23.99,45.12,Location2
2024-01-09,7691.655,Madagascar,-23.99,45.12,Location2
2024-01-10,7038.068,Madagascar,-23.99,45.12,Location2
2024-01-11,7902.773,Madagascar,-23.99,45.12,Location2
2024-01-12,7233.363,Madagascar,-23.99,45.12,Location2
2024-01-13,7509.055,Madagascar,-23.99,45.12,Location2
2024-01-14,7180.636,Madagascar,-23.99,45.12,Location2
2024-01-15,7687.869,Madagascar,-23.99,45.12,Location2
2024-01-16,7107.96,Madagascar,-23.99,45.12,Location2
2024-01-17,8602.535,Madagascar,-23.99,45.12,Location2
2024-01-18,6540.438,Madagascar,-23.99,45.12,Location2
2024-01-19,6419.105,Madagascar,-23.99,45.12,Location2
2024-01-20,7497.253,Madagascar,-23.99,45.12,Location2
2024-01-21,6203.836,Madagascar,-23.99,45.12,Location2
2024-01-22,5586.686,Madagascar,-23.99,45.12,Location2
2024-01-23,7072.534,Madagascar,-23.99,45.12,Location2
2024-01-24,6893.739,Madagascar,-23.99,45.12,Location2
2024-01-25,8315.975,Madagascar,-23.99,45.12,Location2
2024-01-26,8605.081,Madagascar,-23.99,45.12,Location2
2024-01-27,8065.323,Madagascar,-23.99,45.12,Location2
2024-01-28,7392.557,Madagascar,-23.99,45.12,Location2
2024-01-29,8466.873,Madagascar,-23.99,45.12,Location2
2024-01-30,8523.6,Madagascar,-23.99,45.12,Location2
2024-01-31,8133.871,Madagascar,-23.99,45.12,Location2
2024-02-01,8288.458,Madagascar,-23.99,45.12,Location2
2024-02-02,7562.45,Madagascar,-23.99,45.12,Location2
2024-02-03,7598.532,Madagascar,-23.99,45.12,Location2
2024-02-04,4780.302,Madagascar,-23.99,45.12,Location2
2024-02-05,5957.837,Madagascar,-23.99,45.12,Location2
2024-02-06,5853.467,Madagascar,-23.99,45.12,Location2
2024-02-07,6386.431,Madagascar,-23.99,45.12,Location2
2024-02-08,6929.172,Madagascar,-23.99,45.12,Location2
2024-02-09,7113.6,Madagascar,-23.99,45.12,Location2
2024-02-10,7283.267,Madagascar,-23.99,45.12,Location2
2024-02-11,6364.974,Madagascar,-23.99,45.12,Location2
2024-02-12,5992.335,Madagascar,-23.99,45.12,Location2
2024-02-13,7138.978,Madagascar,-23.99,45.12,Location2
2024-02-14,7134.041,Madagascar,-23.99,45.12,Location2
