MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE
2024-09-18,4752.722,Nigeria,6.448858,7.392609
2024-09-22,5443.41,Nigeria,6.448858,7.392609
2024-09-25,4191.169,Nigeria,6.448858,7.392609
2022-02-23,5384.95539398,Nigeria,9.076439,7.425385
2021-07-17,4857.8903525,Nigeria,9.076439,7.425385
2021-09-22,2290.8658566,Nigeria,9.076439,7.425385
2024-06-17,6185.613,Nigeria,6.448858,7.392609
2021-07-23,2380.46756992,Nigeria,9.076439,7.425385
2023-01-02,5426.296,Nigeria,9.076439,7.425385
2020-11-07,6455.12158433,Nigeria,9.076439,7.425385
2022-01-02,5586.71498861,Nigeria,9.076439,7.425385
2021-01-07,5446.23570683,Nigeria,9.076439,7.425385
2023-04-15,5154.074,Nigeria,9.076439,7.425385
2020-09-08,4177.87649236,Nigeria,9.076439,7.425385
2020-03-05,0,Nigeria,9.076439,7.425385
2023-08-01,2323.421,Nigeria,6.448858,7.392609
2022-01-23,5425.88469292,Nigeria,9.076439,7.425385
2023-06-24,2372.672,Nigeria,9.076439,7.425385
2020-08-08,4160.9224481,Nigeria,9.076439,7.425385
2023-01-22,5678.376,Nigeria,9.076439,7.425385
2024-02-16,5657.437,Nigeria,6.448858,7.392609
2020-12-21,5188.55725475,Nigeria,9.076439,7.425385
2022-09-12,3313.65722222,Nigeria,9.076439,7.425385
2023-11-25,4264.151,Nigeria,9.076439,7.425385
2024-03-05,1764.959,Nigeria,6.448858,7.392609
2024-02-10,5000.879,Nigeria,9.076439,7.425385
2023-08-05,4275.636,Nigeria,9.076439,7.425385
2023-02-25,3325.244,Nigeria,6.448858,7.392609
2021-02-24,5928.52290458,Nigeria,9.076439,7.425385
2022-11-26,5979.55531725,Nigeria,9.076439,7.425385
2023-09-09,2468.364,Nigeria,6.448858,7.392609
2023-05-17,6463.556,Nigeria,9.076439,7.425385
2021-06-23,5023.866233,Nigeria,9.076439,7.425385
2024-05-19,5377.19,Nigeria,9.076439,7.425385
2020-06-30,5038.84907083,Nigeria,9.076439,7.425385
2022-12-15,5823.56125436,Nigeria,9.076439,7.425385
2021-12-11,5346.73343598,Nigeria,9.076439,7.425385
2020-05-24,2910.99352117,Nigeria,9.076439,7.425385
2021-02-23,5312.86932814,Nigeria,9.076439,7.425385
2023-09-11,4616.722,Nigeria,9.076439,7.425385
2022-08-15,1756.36267717,Nigeria,9.076439,7.425385
2024-06-03,5690.129,Nigeria,6.448858,7.392609
2023-06-11,2856.122,Nigeria,9.076439,7.425385
2023-05-10,5357.22,Nigeria,9.076439,7.425385
2022-07-02,3738.04379808,Nigeria,9.076439,7.425385
2024-01-23,4594.353,Nigeria,6.448858,7.392609
2022-05-08,6300.82812467,Nigeria,9.076439,7.425385
2020-02-23,0,Nigeria,9.076439,7.425385
2020-07-04,2974.81587717,Nigeria,9.076439,7.425385
2020-07-07,5059.30431424,Nigeria,9.076439,7.425385
2024-05-14,4043.635,Nigeria,9.076439,7.425385
2023-05-07,6449.828,Nigeria,9.076439,7.425385
2020-08-21,3068.53720835,Nigeria,9.076439,7.425385
2020-08-07,2852.82821692,Nigeria,9.076439,7.425385
2023-08-21,4565.782,Nigeria,6.448858,7.392609
2023-05-31,4430.993,Nigeria,9.076439,7.425385
2023-09-03,4340.026,Nigeria,9.076439,7.425385
2020-08-23,2715.95086233,Nigeria,9.076439,7.425385
2024-07-03,1880.196,Nigeria,6.448858,7.392609
2022-12-03,4774.79383275,Nigeria,9.076439,7.425385
2022-04-08,5902.08587129,Nigeria,9.076439,7.425385
2023-01-04,5659.192,Nigeria,9.076439,7.425385
2023-08-15,3053.255,Nigeria,6.448858,7.392609
2021-09-09,5069.4252048,Nigeria,9.076439,7.425385
2024-06-20,5192.314,Nigeria,9.076439,7.425385
2023-10-29,3541.163,Nigeria,6.448858,7.392609
2022-03-31,5698.91608044,Nigeria,9.076439,7.425385
2024-06-09,4719.477,Nigeria,6.448858,7.392609
2022-03-08,5639.3541645,Nigeria,9.076439,7.425385
2021-05-14,6097.45207814,Nigeria,9.076439,7.425385
2021-03-15,5718.91590619,Nigeria,9.076439,7.425385
2022-08-30,5977.80408558,Nigeria,9.076439,7.425385
2023-02-20,6074.835,Nigeria,9.076439,7.425385
2020-08-09,4157.7166745,Nigeria,9.076439,7.425385
2022-03-21,6036.11987133,Nigeria,9.076439,7.425385
2023-07-17,5037.239,Nigeria,6.448858,7.392609
2023-12-19,5674.837,Nigeria,9.076439,7.425385
