MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE,location
2023-01-31,1646.59083333,Nigeria,6.448858,7.392609,Location 2
2023-02-01,4196.68502222,Nigeria,6.448858,7.392609,Location 2
2023-02-02,7073.76293889,Nigeria,6.448858,7.392609,Location 2
2023-02-03,4984.09432407,Nigeria,6.448858,7.392609,Location 2
2023-02-04,5886.38644444,Nigeria,6.448858,7.392609,Location 2
2023-02-05,3647.04322593,Nigeria,6.448858,7.392609,Location 2
2023-02-06,5051.73517222,Nigeria,6.448858,7.392609,Location 2
2023-02-07,7673.98151667,Nigeria,6.448858,7.392609,Location 2
2023-02-08,5502.14141667,Nigeria,6.448858,7.392609,Location 2
2023-02-09,7077.47275,Nigeria,6.448858,7.392609,Location 2
2023-02-10,676.202,Nigeria,6.448858,7.392609,Location 2
2023-02-11,6731.628,Nigeria,6.448858,7.392609,Location 2
2023-02-12,7172.47,Nigeria,6.448858,7.392609,Location 2
2023-02-13,6819.864,Nigeria,6.448858,7.392609,Location 2
2023-02-14,5932.078,Nigeria,6.448858,7.392609,Location 2
2023-02-15,6791.065,Nigeria,6.448858,7.392609,Location 2
2023-02-16,5896.494,Nigeria,6.448858,7.392609,Location 2
2023-02-17,5293.439,Nigeria,6.448858,7.392609,Location 2
2023-02-18,6189.143,Nigeria,6.448858,7.392609,Location 2
2023-02-19,6776.421,Nigeria,6.448858,7.392609,Location 2
2023-02-20,6585.942,Nigeria,6.448858,7.392609,Location 2
2023-02-21,6357.977,Nigeria,6.448858,7.392609,Location 2
2023-02-22,4859.745,Nigeria,6.448858,7.392609,Location 2
2023-02-23,3597.896,Nigeria,6.448858,7.392609,Location 2
2023-02-24,4476.779,Nigeria,6.448858,7.392609,Location 2
2023-02-25,3325.244,Nigeria,6.448858,7.392609,Location 2
2023-02-26,5466.307,Nigeria,6.448858,7.392609,Location 2
2023-02-27,6067.37,Nigeria,6.448858,7.392609,Location 2
2023-02-28,5618.079,Nigeria,6.448858,7.392609,Location 2
2023-03-01,6356.401,Nigeria,6.448858,7.392609,Location 2
2023-03-02,5796.43,Nigeria,6.448858,7.392609,Location 2
2023-03-03,5190.235,Nigeria,6.448858,7.392609,Location 2
2023-03-04,7133.62,Nigeria,6.448858,7.392609,Location 2
2023-03-05,7080.77,Nigeria,6.448858,7.392609,Location 2
2023-03-06,3662.864,Nigeria,6.448858,7.392609,Location 2
2023-03-07,8096.859,Nigeria,6.448858,7.392609,Location 2
2023-03-08,6845.659,Nigeria,6.448858,7.392609,Location 2
2023-03-09,4499.709,Nigeria,6.448858,7.392609,Location 2
2023-03-10,7051.896,Nigeria,6.448858,7.392609,Location 2
2023-03-11,2807.891,Nigeria,6.448858,7.392609,Location 2
2023-03-12,7857.039,Nigeria,6.448858,7.392609,Location 2
2023-03-13,6430.23,Nigeria,6.448858,7.392609,Location 2
2023-03-14,5555.789,Nigeria,6.448858,7.392609,Location 2
2023-03-15,3648.86,Nigeria,6.448858,7.392609,Location 2
2023-03-16,6020.48,Nigeria,6.448858,7.392609,Location 2
2023-03-17,5841.55,Nigeria,6.448858,7.392609,Location 2
2023-03-18,6388.019,Nigeria,6.448858,7.392609,Location 2
2023-03-19,4614.998,Nigeria,6.448858,7.392609,Location 2
2023-03-20,7742.27,Nigeria,6.448858,7.392609,Location 2
