MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE
2024-02-20,6984.274,Somalia,3.107191,43.637153
2024-03-05,6297.302,Somalia,3.107191,43.637153
2024-07-01,5585.376,Somalia,3.107191,43.637153
2024-02-26,6068.724,Somalia,3.107191,43.637153
2024-02-08,6877.617,Somalia,3.107191,43.637153
2024-02-16,7058.828,Somalia,3.107191,43.637153
2024-06-04,6116.873,Somalia,3.107191,43.637153
2024-01-31,1624.788,Somalia,3.107191,43.637153
2024-02-18,6453.391,Somalia,3.107191,43.637153
2024-06-02,5929.777,Somalia,3.107191,43.637153
2024-06-13,4683.123,Somalia,3.107191,43.637153
2024-06-30,5634.07,Somalia,3.107191,43.637153
2024-06-15,6870.636,Somalia,3.107191,43.637153
2024-06-22,5297.728,Somalia,3.107191,43.637153
2024-03-08,7292.203,Somalia,3.107191,43.637153
2024-02-06,3843.273,Somalia,3.107191,43.637153
2024-07-06,4840.497,Somalia,3.107191,43.637153
2024-01-27,221.47,Somalia,3.107191,43.637153
2024-02-03,5800.749,Somalia,3.107191,43.637153
2024-02-07,6220.888,Somalia,3.107191,43.637153
2024-06-17,5346.062,Somalia,3.107191,43.637153
2024-05-29,5893.129,Somalia,3.107191,43.637153
2024-06-25,4550.829,Somalia,3.107191,43.637153
2024-07-02,4099.892,Somalia,3.107191,43.637153
2024-02-27,7084.529,Somalia,3.107191,43.637153
2024-06-07,5524.421,Somalia,3.107191,43.637153
2024-02-01,5609.558,Somalia,3.107191,43.637153
2024-05-30,3984.932,Somalia,3.107191,43.637153
2024-05-23,3269.408,Somalia,3.107191,43.637153
2024-06-05,6303.212,Somalia,3.107191,43.637153
2024-03-04,7011.898,Somalia,3.107191,43.637153
2024-06-01,5602.255,Somalia,3.107191,43.637153
2024-05-18,5477.665,Somalia,3.107191,43.637153
2024-06-24,4970.685,Somalia,3.107191,43.637153
2024-03-02,7328.549,Somalia,3.107191,43.637153
2024-05-26,6319.323,Somalia,3.107191,43.637153
2024-06-27,4385.732,Somalia,3.107191,43.637153
2024-06-06,4249.998,Somalia,3.107191,43.637153
2024-05-31,4991.777,Somalia,3.107191,43.637153
2024-06-18,5103.252,Somalia,3.107191,43.637153
2024-02-14,6948.322,Somalia,3.107191,43.637153
2024-06-19,3879.585,Somalia,3.107191,43.637153
2024-03-01,7151.784,Somalia,3.107191,43.637153
2024-06-20,4411.35,Somalia,3.107191,43.637153
2024-05-25,4350.36,Somalia,3.107191,43.637153
2024-06-12,4207.067,Somalia,3.107191,43.637153
2024-02-22,7171.858,Somalia,3.107191,43.637153
2024-02-29,7089.599,Somalia,3.107191,43.637153
2024-05-16,6843.478,Somalia,3.107191,43.637153
2024-09-28,6592.84,Somalia,3.107191,43.637153
2024-10-04,6185.887,Somalia,3.107191,43.637153
2024-10-08,5798.916,Somalia,3.107191,43.637153
2024-11-02,5564.742,Somalia,3.107191,43.637153
2024-11-22,6097.276,Somalia,3.107191,43.637153
2024-11-19,4752.164,Somalia,3.107191,43.637153
2024-11-12,5272.463,Somalia,3.107191,43.637153
2024-11-15,5866.333,Somalia,3.107191,43.637153
2024-11-14,4548.293,Somalia,3.107191,43.637153
2024-11-11,5178.78,Somalia,3.107191,43.637153
2024-11-17,5314.373,Somalia,3.107191,43.637153
2024-11-16,6202.339,Somalia,3.107191,43.637153
2024-11-18,4235.683,Somalia,3.107191,43.637153
2024-08-16,6536.369,Somalia,3.107191,43.637153
2024-05-02,4305.17,Somalia,3.107191,43.637153
2024-08-02,4355.723,Somalia,3.107191,43.637153
2024-04-04,6342.302,Somalia,3.107191,43.637153
2024-03-20,7259.214,Somalia,3.107191,43.637153
2024-04-01,5651.511,Somalia,3.107191,43.637153
2024-08-28,5327.938,Somalia,3.107191,43.637153
2024-08-03,3117.924,Somalia,3.107191,43.637153
2024-04-27,5468.77,Somalia,3.107191,43.637153
2024-03-29,7007.932,Somalia,3.107191,43.637153
2024-08-04,4837.309,Somalia,3.107191,43.637153
2024-08-08,4711.805,Somalia,3.107191,43.637153
2024-07-18,2399.787,Somalia,3.107191,43.637153
2024-04-22,5719.505,Somalia,3.107191,43.637153
2024-04-07,6081.589,Somalia,3.107191,43.637153
2024-08-19,6019.737,Somalia,3.107191,43.637153
2024-04-23,4074.618,Somalia,3.107191,43.637153
2024-04-30,6395.545,Somalia,3.107191,43.637153
2024-04-28,4662.753,Somalia,3.107191,43.637153
2024-03-18,6351.159,Somalia,3.107191,43.637153
2024-03-23,7007.622,Somalia,3.107191,43.637153
2024-04-10,6897.601,Somalia,3.107191,43.637153
2024-04-24,4438.976,Somalia,3.107191,43.637153
2024-05-01,5072.301,Somalia,3.107191,43.637153
2024-05-07,4158.929,Somalia,3.107191,43.637153
2024-03-28,5713.495,Somalia,3.107191,43.637153
2024-04-06,6323.909,Somalia,3.107191,43.637153
2024-03-09,7455.403,Somalia,3.107191,43.637153
2024-08-27,3798.755,Somalia,3.107191,43.637153
2024-03-24,6472.081,Somalia,3.107191,43.637153
2024-04-18,3768.025,Somalia,3.107191,43.637153
2024-03-17,7147.113,Somalia,3.107191,43.637153
2024-09-05,7326.286,Somalia,3.107191,43.637153
2024-03-25,6100.742,Somalia,3.107191,43.637153
2024-04-13,5825.614,Somalia,3.107191,43.637153
2024-03-15,7458.043,Somalia,3.107191,43.637153
2024-04-19,5919.055,Somalia,3.107191,43.637153
2024-04-09,5784.797,Somalia,3.107191,43.637153
2024-07-12,5570.428,Somalia,3.107191,43.637153
2024-07-09,5344.458,Somalia,3.107191,43.637153
2024-08-24,4783.331,Somalia,3.107191,43.637153
2024-08-09,1760.847,Somalia,3.107191,43.637153
2024-09-02,6639.607,Somalia,3.107191,43.637153
2024-07-26,2075.967,Somalia,3.107191,43.637153
2024-08-05,5620.677,Somalia,3.107191,43.637153
2024-03-12,7519.111,Somalia,3.107191,43.637153
2024-04-17,6364.448,Somalia,3.107191,43.637153
2024-03-27,6838.033,Somalia,3.107191,43.637153
2024-05-06,5062.738,Somalia,3.107191,43.637153
2024-04-05,5956.165,Somalia,3.107191,43.637153
2024-03-16,7376.528,Somalia,3.107191,43.637153
2024-07-30,5042.256,Somalia,3.107191,43.637153
2024-07-24,2927.781,Somalia,3.107191,43.637153
2024-08-14,3960.194,Somalia,3.107191,43.637153
2024-08-25,4326.483,Somalia,3.107191,43.637153
2024-08-26,5096.357,Somalia,3.107191,43.637153
2024-07-11,3871.337,Somalia,3.107191,43.637153
2024-04-26,2053.968,Somalia,3.107191,43.637153
2024-07-29,4832.921,Somalia,3.107191,43.637153
2024-08-06,5412.731,Somalia,3.107191,43.637153
2024-05-05,3380.691,Somalia,3.107191,43.637153
2024-08-20,3094.98,Somalia,3.107191,43.637153
2024-09-01,6063.466,Somalia,3.107191,43.637153
2024-07-13,4325.218,Somalia,3.107191,43.637153
2024-08-15,5266.918,Somalia,3.107191,43.637153
2024-07-14,4137.884,Somalia,3.107191,43.637153
2024-07-22,6265.968,Somalia,3.107191,43.637153
2024-07-27,4643.446,Somalia,3.107191,43.637153
2024-08-17,4191.973,Somalia,3.107191,43.637153
2024-08-10,5617.182,Somalia,3.107191,43.637153
2024-04-20,5188.47,Somalia,3.107191,43.637153
2024-08-11,4194.562,Somalia,3.107191,43.637153
2024-08-13,4746.386,Somalia,3.107191,43.637153
2024-09-03,6029.111,Somalia,3.107191,43.637153
2024-04-03,4275.188,Somalia,3.107191,43.637153
2024-04-11,5638.088,Somalia,3.107191,43.637153
