datetime,ghi,location
2023-09-01,6428.052,egypt_location1
2023-09-02,6601.826,egypt_location1
2023-09-03,6600.638,egypt_location1
2023-09-04,6391.094,egypt_location1
2023-09-05,6373.021,egypt_location1
2023-09-06,6223.461,egypt_location1
2023-09-07,6122.273,egypt_location1
2023-09-08,6123.146,egypt_location1
2023-09-09,5986.319,egypt_location1
2023-09-10,6084.939,egypt_location1
2023-09-11,5764.704,egypt_location1
2023-09-12,4736.362,egypt_location1
2023-09-13,4684.067,egypt_location1
2023-09-14,5873.937,egypt_location1
2023-09-15,6028.856,egypt_location1
2023-09-16,5881.154,egypt_location1
2023-09-17,5843.54,egypt_location1
2023-09-18,5813.349,egypt_location1
2023-09-19,5479.843,egypt_location1
2023-09-20,5531.252,egypt_location1
2023-09-21,5594.21,egypt_location1
2023-09-22,5516.058,egypt_location1
2023-09-23,5502.247,egypt_location1
2023-09-24,5484.176,egypt_location1
2023-09-25,5513.359,egypt_location1
2023-09-26,5426.561,egypt_location1
2023-09-27,5436.549,egypt_location1
2023-09-28,5180.499,egypt_location1
2023-09-29,5388.585,egypt_location1
2023-09-30,5057.016,egypt_location1
2023-10-01,3555.821,egypt_location1
2023-10-02,3339.454,egypt_location1
2023-10-03,2800.32,egypt_location1
2023-10-04,4401.438,egypt_location1
2023-10-05,4528.185,egypt_location1
2023-10-06,4979.459,egypt_location1
2023-10-07,4088.566,egypt_location1
2023-10-08,5118.058,egypt_location1
2023-10-09,3782.733,egypt_location1
2023-10-10,5255.338,egypt_location1
2023-10-11,4717.823,egypt_location1
2023-10-12,5088.66,egypt_location1
2023-10-13,4852.191,egypt_location1
2023-10-14,3519.684,egypt_location1
2023-10-15,4869.594,egypt_location1
2023-10-16,4783.112,egypt_location1
2023-10-17,4577.522,egypt_location1
2023-10-18,4453.091,egypt_location1
2023-10-19,4780.12,egypt_location1
2023-10-20,4880.595,egypt_location1
2023-10-21,4708.723,egypt_location1
2023-10-22,4617.091,egypt_location1
2023-10-23,4477.044,egypt_location1
2023-10-24,4496.79,egypt_location1
2023-10-25,4447.793,egypt_location1
2023-10-26,4254.42,egypt_location1
2023-10-27,2145.51,egypt_location1
2023-10-28,3729.263,egypt_location1
2023-10-29,3905.754,egypt_location1
2023-10-30,3707.695,egypt_location1
2023-10-31,3872.921,egypt_location1
2023-11-01,3749.122,egypt_location1
2023-11-02,3706.165,egypt_location1
2023-11-03,4014.902,egypt_location1
2023-11-04,3995.306,egypt_location1
2023-11-05,4002.304,egypt_location1
2023-11-06,4384.499,egypt_location1
2023-11-07,4303.225,egypt_location1
2023-11-08,4222.505,egypt_location1
2023-11-09,4124.748,egypt_location1
2023-11-10,4030.022,egypt_location1
2023-11-11,2604.205,egypt_location1
2023-11-12,2795.677,egypt_location1
2023-11-13,3671.297,egypt_location1
2023-11-14,3658.297,egypt_location1
2023-11-15,3213.52,egypt_location1
2023-11-16,3779.797,egypt_location1
2023-11-17,3726.287,egypt_location1
2023-11-18,3279.451,egypt_location1
2023-11-19,2206.942,egypt_location1
2023-11-20,2874.916,egypt_location1
2023-11-21,3795.734,egypt_location1
2023-11-22,3039.883,egypt_location1
2023-11-23,3709.823,egypt_location1
2023-11-24,3645.139,egypt_location1
2023-11-25,2676.1,egypt_location1
2023-11-26,3677.148,egypt_location1
2023-11-27,3118.56,egypt_location1
2023-11-28,3158.943,egypt_location1
2023-11-29,3677.585,egypt_location1
2023-11-30,3634.391,egypt_location1
2023-12-01,3262.735,egypt_location1
2023-12-02,3187.599,egypt_location1
2023-12-03,3404.517,egypt_location1
2023-12-04,3223.318,egypt_location1
2023-12-05,2792.621,egypt_location1
2023-12-06,2614.937,egypt_location1
2023-12-07,3245.26,egypt_location1
2023-12-08,2747.481,egypt_location1
2023-12-09,2929.024,egypt_location1
2023-12-10,3056.87,egypt_location1
2023-12-11,3486.955,egypt_location1
2023-12-12,3458.82,egypt_location1
2023-12-13,3080.663,egypt_location1
2023-12-14,3151.732,egypt_location1
2023-12-15,3550.995,egypt_location1
2023-12-16,3436.443,egypt_location1
2023-12-17,3294.357,egypt_location1
2023-12-18,2966.919,egypt_location1
2023-12-19,3327.203,egypt_location1
2023-12-20,2778.468,egypt_location1
2023-12-21,2092.066,egypt_location1
2023-12-22,3407.927,egypt_location1
2023-12-23,3519.024,egypt_location1
2023-12-24,2430.69,egypt_location1
2023-12-25,3018.766,egypt_location1
2023-12-26,3306.366,egypt_location1
2023-12-27,2591.601,egypt_location1
2023-12-28,2415.569,egypt_location1
2023-12-29,2771.034,egypt_location1
2023-12-30,3381.573,egypt_location1
2023-12-31,3099.894,egypt_location1
2024-01-01,3128.732,egypt_location1
2024-01-02,2970.528,egypt_location1
2024-01-03,3617.058,egypt_location1
