datetime,ghi,location
2023-10-26,4980.792,kenya_location10
2023-10-27,4947.667,kenya_location10
2023-10-28,4558.708,kenya_location10
2023-10-29,3939.75,kenya_location10
2023-10-30,4889.567,kenya_location10
2023-10-31,4372.792,kenya_location10
2023-11-01,3291.875,kenya_location10
2023-11-02,4545.833,kenya_location10
2023-11-03,3736.125,kenya_location10
2023-11-04,3185.542,kenya_location10
2023-11-05,2865.458,kenya_location10
2023-11-06,4817.458,kenya_location10
2023-11-07,5892.583,kenya_location10
2023-11-08,3271.625,kenya_location10
2023-11-09,5707.292,kenya_location10
2023-11-10,5193.125,kenya_location10
2023-11-11,3715.792,kenya_location10
2023-11-12,6532.125,kenya_location10
2023-11-13,6284.292,kenya_location10
2023-11-14,4480.917,kenya_location10
2023-11-15,4196.833,kenya_location10
2023-11-16,4511.833,kenya_location10
2023-11-17,4340.458,kenya_location10
2023-11-18,4234.5,kenya_location10
2023-11-19,3883.292,kenya_location10
2023-11-20,4548.833,kenya_location10
2023-11-21,5162.917,kenya_location10
2023-11-22,4900.375,kenya_location10
2023-11-23,4367.208,kenya_location10
2023-11-24,4122.542,kenya_location10
2023-11-25,5008.667,kenya_location10
2023-11-26,4982.667,kenya_location10
2023-11-27,7095.0,kenya_location10
2023-11-28,6604.375,kenya_location10
2023-11-29,7339.208,kenya_location10
2023-11-30,7241.583,kenya_location10
2023-12-01,7090.083,kenya_location10
2023-12-02,7120.292,kenya_location10
2023-12-03,6587.917,kenya_location10
2023-12-04,5317.708,kenya_location10
2023-12-05,6642.125,kenya_location10
2023-12-06,4771.5,kenya_location10
2023-12-07,7220.333,kenya_location10
2023-12-08,7216.25,kenya_location10
2023-12-09,5852.917,kenya_location10
2023-12-10,4960.167,kenya_location10
2023-12-11,6474.292,kenya_location10
2023-12-12,6282.25,kenya_location10
2023-12-13,5753.042,kenya_location10
2023-12-14,5524.0,kenya_location10
2023-12-15,5348.958,kenya_location10
2023-12-16,4274.75,kenya_location10
2023-12-17,6504.042,kenya_location10
2023-12-18,7003.708,kenya_location10
2023-12-19,5269.792,kenya_location10
2023-12-20,7009.708,kenya_location10
2023-12-21,6684.25,kenya_location10
2023-12-22,6106.958,kenya_location10
2023-12-23,4660.667,kenya_location10
2023-12-24,6811.958,kenya_location10
2023-12-25,6461.417,kenya_location10
2023-12-26,5114.0,kenya_location10
2023-12-27,6774.0,kenya_location10
2023-12-28,7266.917,kenya_location10
2023-12-29,7257.167,kenya_location10
2023-12-30,6562.375,kenya_location10
2023-12-31,6828.583,kenya_location10
2024-01-01,6801.458,kenya_location10
2024-01-02,6090.792,kenya_location10
2024-01-03,5949.0,kenya_location10
2024-01-04,6357.917,kenya_location10
2024-01-05,4014.0,kenya_location10
2024-01-06,4840.542,kenya_location10
2024-01-07,4325.667,kenya_location10
2024-01-08,5224.292,kenya_location10
2024-01-09,5793.875,kenya_location10
2024-01-10,5574.208,kenya_location10
2024-01-11,4300.083,kenya_location10
2024-01-12,4304.958,kenya_location10
2024-01-13,2794.0,kenya_location10
2024-01-14,5641.792,kenya_location10
2024-01-15,5824.208,kenya_location10
2024-01-16,6717.5,kenya_location10
2024-01-17,4906.625,kenya_location10
2024-01-18,4533.542,kenya_location10
2024-01-19,5736.667,kenya_location10
2024-01-20,4291.47516667,kenya_location10
2024-01-20,4298.24966667,kenya_location10
2024-01-21,5294.62966667,kenya_location10
2024-01-21,0.717,kenya_location10
2024-01-22,7205.72266667,kenya_location10
2024-01-22,7115.9055,kenya_location10
2024-01-23,7150.78916667,kenya_location10
2024-01-23,7181.46233333,kenya_location10
2024-01-24,7204.71116667,kenya_location10
2024-01-24,7145.7815,kenya_location10
2024-01-25,7131.26133333,kenya_location10
2024-01-25,7204.22533333,kenya_location10
2024-01-26,6668.8875,kenya_location10
2024-01-26,6474.11983333,kenya_location10
