datetime,ghi,location,latitude,longitude
2023-02-13,1676.35883333,madagascar_location1,-25.053564,46.947956
2023-02-14,7747.89566667,madagascar_location1,-25.053564,46.947956
2023-02-15,7526.9305,madagascar_location1,-25.053564,46.947956
2023-02-16,7209.18075,madagascar_location1,-25.053564,46.947956
2023-02-17,6707.69958333,madagascar_location1,-25.053564,46.947956
2023-02-18,7648.02233333,madagascar_location1,-25.053564,46.947956
2023-02-19,7452.77933333,madagascar_location1,-25.053564,46.947956
2023-02-20,7529.20066667,madagascar_location1,-25.053564,46.947956
2023-02-21,6707.35033333,madagascar_location1,-25.053564,46.947956
2023-02-24,3861.32341667,madagascar_location1,-25.053564,46.947956
2023-02-25,7423.54641667,madagascar_location1,-25.053564,46.947956
2023-02-26,7418.80341667,madagascar_location1,-25.053564,46.947956
2023-02-27,7262.42725,madagascar_location1,-25.053564,46.947956
2023-02-28,7079.1085,madagascar_location1,-25.053564,46.947956
2023-03-01,6275.84608333,madagascar_location1,-25.053564,46.947956
2023-03-02,6672.49458333,madagascar_location1,-25.053564,46.947956
2023-03-03,2774.95901389,madagascar_location1,-25.053564,46.947956
2023-03-04,2061.2035,madagascar_location1,-25.053564,46.947956
2023-03-05,1422.71779167,madagascar_location1,-25.053564,46.947956
2023-03-06,1281.02008333,madagascar_location1,-25.053564,46.947956
2023-03-07,3171.87425,madagascar_location1,-25.053564,46.947956
2023-03-08,3017.84604167,madagascar_location1,-25.053564,46.947956
2023-03-09,2727.372875,madagascar_location1,-25.053564,46.947956
2023-03-10,4796.71252778,madagascar_location1,-25.053564,46.947956
2023-03-11,5379.93754167,madagascar_location1,-25.053564,46.947956
2023-03-12,7178.04020833,madagascar_location1,-25.053564,46.947956
2023-03-13,6499.38045833,madagascar_location1,-25.053564,46.947956
2023-03-14,6135.738375,madagascar_location1,-25.053564,46.947956
2023-03-15,2567.01695833,madagascar_location1,-25.053564,46.947956
2023-03-16,4264.33820833,madagascar_location1,-25.053564,46.947956
2023-03-17,5719.98472222,madagascar_location1,-25.053564,46.947956
2023-03-18,1971.07972222,madagascar_location1,-25.053564,46.947956
2023-03-19,6482.16257292,madagascar_location1,-25.053564,46.947956
2023-03-20,5834.92216667,madagascar_location1,-25.053564,46.947956
2023-03-21,3574.71216667,madagascar_location1,-25.053564,46.947956
2023-03-22,5259.11420833,madagascar_location1,-25.053564,46.947956
2023-03-23,5738.922375,madagascar_location1,-25.053564,46.947956
2023-03-24,6461.34741667,madagascar_location1,-25.053564,46.947956
2023-03-25,1339.622,madagascar_location1,-25.053564,46.947956
2023-03-26,3162.02633333,madagascar_location1,-25.053564,46.947956
2023-03-27,5703.63525,madagascar_location1,-25.053564,46.947956
2023-03-28,6373.445875,madagascar_location1,-25.053564,46.947956
2023-03-29,6526.52758333,madagascar_location1,-25.053564,46.947956
