datetime,ghi,location,latitude,longitude
2024-01-27,221.47,somalia_location1,3.107191,43.637153
2024-01-28,5550.759,somalia_location1,3.107191,43.637153
2024-01-31,1624.788,somalia_location1,3.107191,43.637153
2024-02-01,5609.558,somalia_location1,3.107191,43.637153
2024-02-02,6353.845,somalia_location1,3.107191,43.637153
2024-02-03,5800.749,somalia_location1,3.107191,43.637153
2024-02-04,6444.199,somalia_location1,3.107191,43.637153
2024-02-05,6380.438,somalia_location1,3.107191,43.637153
2024-02-06,3843.273,somalia_location1,3.107191,43.637153
2024-02-07,6220.888,somalia_location1,3.107191,43.637153
2024-02-08,6877.617,somalia_location1,3.107191,43.637153
2024-02-09,7047.562,somalia_location1,3.107191,43.637153
2024-02-10,7029.894,somalia_location1,3.107191,43.637153
2024-02-11,7074.545,somalia_location1,3.107191,43.637153
2024-02-12,6964.142,somalia_location1,3.107191,43.637153
2024-02-13,7084.4,somalia_location1,3.107191,43.637153
2024-02-14,6948.322,somalia_location1,3.107191,43.637153
2024-02-15,7189.395,somalia_location1,3.107191,43.637153
2024-02-16,7058.828,somalia_location1,3.107191,43.637153
2024-02-17,7233.169,somalia_location1,3.107191,43.637153
2024-02-18,6453.391,somalia_location1,3.107191,43.637153
2024-02-19,6410.547,somalia_location1,3.107191,43.637153
2024-02-20,6984.274,somalia_location1,3.107191,43.637153
2024-02-21,7395.704,somalia_location1,3.107191,43.637153
2024-02-22,7171.858,somalia_location1,3.107191,43.637153
2024-02-23,6452.308,somalia_location1,3.107191,43.637153
2024-02-24,6973.18,somalia_location1,3.107191,43.637153
2024-02-25,6781.879,somalia_location1,3.107191,43.637153
2024-02-26,6068.724,somalia_location1,3.107191,43.637153
2024-02-27,7084.529,somalia_location1,3.107191,43.637153
2024-02-28,7141.998,somalia_location1,3.107191,43.637153
2024-02-29,7089.599,somalia_location1,3.107191,43.637153
2024-03-01,7151.784,somalia_location1,3.107191,43.637153
2024-03-02,7328.549,somalia_location1,3.107191,43.637153
2024-03-03,7227.127,somalia_location1,3.107191,43.637153
2024-03-04,7011.898,somalia_location1,3.107191,43.637153
2024-03-05,6297.302,somalia_location1,3.107191,43.637153
2024-03-06,6311.563,somalia_location1,3.107191,43.637153
2024-03-07,6464.619,somalia_location1,3.107191,43.637153
2024-03-08,7292.203,somalia_location1,3.107191,43.637153
2024-03-09,7455.403,somalia_location1,3.107191,43.637153
2024-03-10,7384.162,somalia_location1,3.107191,43.637153
2024-03-11,7416.469,somalia_location1,3.107191,43.637153
2024-03-12,7519.111,somalia_location1,3.107191,43.637153
2024-03-13,6758.804,somalia_location1,3.107191,43.637153
2024-03-14,7309.64,somalia_location1,3.107191,43.637153
2024-03-15,7458.043,somalia_location1,3.107191,43.637153
2024-03-16,7376.528,somalia_location1,3.107191,43.637153
2024-03-17,7147.113,somalia_location1,3.107191,43.637153
2024-03-18,6351.159,somalia_location1,3.107191,43.637153
2024-03-19,6376.534,somalia_location1,3.107191,43.637153
2024-03-20,7259.214,somalia_location1,3.107191,43.637153
2024-03-21,7357.167,somalia_location1,3.107191,43.637153
2024-03-22,7203.281,somalia_location1,3.107191,43.637153
2024-03-23,7007.622,somalia_location1,3.107191,43.637153
2024-03-24,6472.081,somalia_location1,3.107191,43.637153
2024-03-25,6100.742,somalia_location1,3.107191,43.637153
2024-03-26,6528.213,somalia_location1,3.107191,43.637153
2024-03-27,6838.033,somalia_location1,3.107191,43.637153
2024-03-28,5713.495,somalia_location1,3.107191,43.637153
2024-03-29,7007.932,somalia_location1,3.107191,43.637153
2024-03-30,6808.566,somalia_location1,3.107191,43.637153
2024-03-31,6020.129,somalia_location1,3.107191,43.637153
2024-04-01,5651.511,somalia_location1,3.107191,43.637153
2024-04-02,5898.006,somalia_location1,3.107191,43.637153
2024-04-03,4275.188,somalia_location1,3.107191,43.637153
2024-04-04,6342.302,somalia_location1,3.107191,43.637153
2024-04-05,5956.165,somalia_location1,3.107191,43.637153
2024-04-06,6323.909,somalia_location1,3.107191,43.637153
2024-04-07,6081.589,somalia_location1,3.107191,43.637153
2024-04-08,5359.873,somalia_location1,3.107191,43.637153
2024-04-09,5784.797,somalia_location1,3.107191,43.637153
2024-04-10,6897.601,somalia_location1,3.107191,43.637153
2024-04-11,5638.088,somalia_location1,3.107191,43.637153
2024-04-12,5165.464,somalia_location1,3.107191,43.637153
2024-04-13,5825.614,somalia_location1,3.107191,43.637153
2024-04-14,6636.34,somalia_location1,3.107191,43.637153
2024-04-15,4668.532,somalia_location1,3.107191,43.637153
2024-04-16,4570.071,somalia_location1,3.107191,43.637153
2024-04-17,6364.448,somalia_location1,3.107191,43.637153
2024-04-18,3768.025,somalia_location1,3.107191,43.637153
2024-04-19,5919.055,somalia_location1,3.107191,43.637153
2024-04-20,5188.47,somalia_location1,3.107191,43.637153
2024-04-21,1956.331,somalia_location1,3.107191,43.637153
2024-04-22,5719.505,somalia_location1,3.107191,43.637153
2024-04-23,4074.618,somalia_location1,3.107191,43.637153
2024-04-24,4438.976,somalia_location1,3.107191,43.637153
2024-04-25,4382.209,somalia_location1,3.107191,43.637153
2024-04-26,2053.968,somalia_location1,3.107191,43.637153
2024-04-27,5468.77,somalia_location1,3.107191,43.637153
2024-04-28,4662.753,somalia_location1,3.107191,43.637153
2024-04-29,5132.954,somalia_location1,3.107191,43.637153
2024-04-30,6395.545,somalia_location1,3.107191,43.637153
2024-05-01,5072.301,somalia_location1,3.107191,43.637153
2024-05-02,4305.17,somalia_location1,3.107191,43.637153
2024-05-03,6963.045,somalia_location1,3.107191,43.637153
2024-05-04,5401.102,somalia_location1,3.107191,43.637153
2024-05-05,3380.691,somalia_location1,3.107191,43.637153
2024-05-06,5062.738,somalia_location1,3.107191,43.637153
2024-05-07,4158.929,somalia_location1,3.107191,43.637153
2024-05-08,4839.535,somalia_location1,3.107191,43.637153
2024-05-09,5240.914,somalia_location1,3.107191,43.637153
2024-05-10,5820.576,somalia_location1,3.107191,43.637153
2024-05-11,6551.327,somalia_location1,3.107191,43.637153
2024-05-12,7147.167,somalia_location1,3.107191,43.637153
2024-05-13,6305.111,somalia_location1,3.107191,43.637153
2024-05-14,6768.936,somalia_location1,3.107191,43.637153
2024-05-15,6364.049,somalia_location1,3.107191,43.637153
2024-05-16,6843.478,somalia_location1,3.107191,43.637153
2024-05-17,6737.211,somalia_location1,3.107191,43.637153
2024-05-18,5477.665,somalia_location1,3.107191,43.637153
2024-05-19,5667.729,somalia_location1,3.107191,43.637153
2024-05-20,5842.483,somalia_location1,3.107191,43.637153
2024-05-21,4705.63,somalia_location1,3.107191,43.637153
2024-05-22,5808.492,somalia_location1,3.107191,43.637153
