datetime,Param_1,Param_2,Param_3,Param_4,Param_5
2009-12-24 17:00:00,774.68,691.03,121.89,0.017,36.42
2009-12-24 18:00:00,364.14,331.31,54.897,0.0,16.33
2009-12-24 19:00:00,86.794,76.911,14.886,0.0,7.82
2009-12-24 20:00:00,3.1875,2.1334,1.3209,0.0,4.964
2009-12-24 21:00:00,0.10282,0.0,1.1784,0.0,4.958
2009-12-24 22:00:00,0.0,0.0,1.6213,0.0,4.942
2009-12-24 23:00:00,0.0,0.0,2.0326,0.0,4.964
2009-12-25 00:00:00,0.0,0.0,1.9139,0.0,4.964
2009-12-25 01:00:00,0.00791,0.0,1.6846,0.0,4.964
2009-12-25 02:00:00,0.06327,0.0,2.3647,0.0,4.964
2009-12-25 03:00:00,0.0,0.0,2.2619,0.0,4.964
2009-12-25 04:00:00,0.0,0.0,2.2144,0.0,4.964
2009-12-25 05:00:00,0.01582,0.0,2.2065,0.0,4.964
2009-12-25 06:00:00,0.23725,0.0,3.0448,0.0,4.964
2009-12-25 07:00:00,0.45869,0.0,3.9463,0.0,4.964
2009-12-25 08:00:00,17.288,14.386,4.5315,0.0,4.964
2009-12-25 09:00:00,247.05,220.98,38.633,0.0,12.83
2009-12-25 10:00:00,504.9,448.2,78.321,0.0,12.88
2009-12-25 11:00:00,1449.6,925.21,224.24,0.383,230.1
2009-12-25 12:00:00,2201.4,1070.7,319.49,1.0,523.7
2009-12-25 13:00:00,2657.2,1466.8,383.53,1.0,417.0
2009-12-25 14:00:00,2633.6,1474.0,382.95,0.766,307.4
2009-12-25 15:00:00,1299.4,1002.0,190.73,0.233,83.0
2009-12-25 16:00:00,297.66,246.59,46.813,0.017,26.15
2009-12-25 17:00:00,345.34,309.84,49.472,0.0,24.24
2009-12-25 18:00:00,359.48,321.08,54.161,0.0,5.09
2009-12-25 19:00:00,47.612,37.989,11.547,0.0,4.975
2009-12-25 20:00:00,1.6056,0.95466,0.41129,0.0,4.964
2009-12-25 21:00:00,0.10282,0.01948,0.42708,0.0,4.964
2009-12-25 22:00:00,0.04745,0.0,0.40335,0.0,4.964
2009-12-25 23:00:00,0.00791,0.0,0.63269,0.0,4.964
2009-12-26 00:00:00,0.0,0.0,0.98856,0.0,4.964
2009-12-26 01:00:00,0.0,0.0,1.2891,0.0,4.964
2009-12-26 02:00:00,0.0,0.0,0.95693,0.0,4.964
2009-12-26 03:00:00,0.0,0.0,1.3998,0.0,4.964
2009-12-26 04:00:00,0.0,0.0,1.0835,0.0,4.964
2009-12-26 05:00:00,0.0,0.0,1.1863,0.0,4.964
2009-12-26 06:00:00,0.0,0.0,0.80667,0.0,4.964
2009-12-26 07:00:00,0.0,0.0,1.2337,0.0,4.964
2009-12-26 08:00:00,12.013,10.412,2.4358,0.0,4.964
2009-12-26 09:00:00,85.616,76.78,11.942,0.0,4.964
2009-12-26 10:00:00,260.87,236.36,36.988,0.0,5.829
2009-12-26 11:00:00,342.89,307.46,49.991,0.0,4.969
2009-12-26 12:00:00,550.52,492.18,79.912,0.0,5.372
2009-12-26 13:00:00,633.33,572.38,90.987,0.0,9.96
