datetime,ghi,location
2014-08-27,4466.666666666667,lira
2014-08-28,3577.777777777778,lira
2014-08-29,4102.222222222223,lira
2014-08-30,5077.222222222223,lira
2014-08-31,4480.833333333334,lira
2014-09-01,1914.7777777777776,lira
2014-09-02,3298.333333333333,lira
2014-09-03,4089.444444444445,lira
2014-09-04,4033.6111111111113,lira
2014-09-05,3742.777777777778,lira
2014-09-06,1961.7777777777776,lira
2014-09-07,4170.833333333334,lira
2014-09-08,5729.444444444444,lira
2014-09-09,4463.055555555556,lira
2014-09-10,6871.38888888889,lira
2014-09-11,4932.777777777778,lira
2014-09-12,5538.888888888889,lira
2014-09-13,5097.777777777778,lira
2014-09-14,6199.444444444444,lira
2014-09-15,5551.111111111111,lira
2014-09-16,5137.222222222223,lira
2014-09-17,6622.222222222223,lira
2014-09-18,3341.944444444445,lira
2014-09-19,6159.444444444444,lira
2014-09-20,4598.888888888889,lira
2014-09-21,5364.722222222223,lira
2014-09-22,4445.0,lira
2014-09-23,5732.222222222223,lira
2014-09-24,4003.055555555556,lira
2014-09-25,2742.861111111111,lira
2014-09-26,5538.611111111111,lira
2014-09-27,4585.0,lira
2014-09-28,4882.777777777778,lira
2014-09-29,2833.333333333333,lira
2014-09-30,6217.777777777778,lira
2014-10-01,4729.166666666667,lira
2014-10-02,2784.4444444444443,lira
2014-10-03,5010.277777777778,lira
2014-10-04,4678.055555555556,lira
2014-10-05,3942.5,lira
2014-10-06,4591.111111111111,lira
2014-10-07,4708.333333333334,lira
2014-10-08,5582.5,lira
2014-10-09,3702.222222222222,lira
2014-10-10,5987.5,lira
2014-10-11,7101.666666666667,lira
2014-10-12,6032.222222222223,lira
2014-10-13,3562.777777777778,lira
2014-10-14,4392.5,lira
2014-10-15,4696.111111111111,lira
2014-10-16,2672.027777777778,lira
2014-10-17,3013.333333333333,lira
2014-10-18,4651.944444444444,lira
2014-10-19,5011.944444444444,lira
2014-10-20,3498.333333333333,lira
2014-10-21,4052.222222222223,lira
2014-10-22,5650.0,lira
2014-10-23,4726.944444444444,lira
2014-10-24,3661.666666666667,lira
2014-10-25,5394.166666666667,lira
2014-10-26,3787.222222222222,lira
2014-10-27,5179.722222222223,lira
2014-10-28,2071.666666666667,lira
2014-10-29,4649.722222222223,lira
2014-10-30,5750.0,lira
2014-10-31,4810.277777777778,lira
2014-11-01,4155.0,lira
2014-11-02,6433.333333333334,lira
2014-11-03,4390.833333333334,lira
2014-11-04,4066.944444444445,lira
2014-11-05,6307.5,lira
2014-11-06,6991.666666666667,lira
2014-11-07,5192.777777777778,lira
2014-11-08,4792.5,lira
2014-11-09,4041.1111111111113,lira
2014-11-10,4692.222222222223,lira
