,58,200,12.86,0,0,-.385
102,2010,58,300,12.85,0,0,-.441
102,2010,58,400,12.85,.00958,0,-.275
102,2010,58,500,12.84,0,0,-.281
102,2010,58,600,12.84,0,0,-.27
102,2010,58,700,12.84,0,0,-.474
102,2010,58,800,12.56,57.929,0,-.551
102,2010,58,900,12.63,467.73,0,-.391
102,2010,58,1000,12.78,887.84,0,-.303
102,2010,58,1100,13.63,1534.1,0,-.248
102,2010,58,1200,13.77,1655.6,0,-.248
102,2010,58,1300,13.75,1272,0,-.281
102,2010,58,1400,13.73,2120.8,0,-.27
102,2010,58,1500,13.72,1665.7,0,-.27
102,2010,58,1600,13.71,1298.8,0,-.264
102,2010,58,1700,13.7,1207.9,0,-.264
102,2010,58,1800,13.69,761.66,0,-.308
102,2010,58,1900,13.6,178.15,0,-.33
102,2010,58,2000,13.3,4.9328,0,-.259
102,2010,58,2100,13.71,0,0,-.275
102,2010,58,2200,13.73,.03832,0,-.264
102,2010,58,2300,13.76,0,0,-.363
101,2010,58,2400,12.56,13113,0
102,2010,58,2400,13.75,0,0,-.303
102,2010,59,100,13.77,0,0,-.259
102,2010,59,200,13.77,0,0,-.27
102,2010,59,300,13.77,0,0,-.424
102,2010,59,400,13.77,0,0,-.468
102,2010,59,500,13.78,0,0,-.463
102,2010,59,600,13.78,0,0,-.523
102,2010,59,700,13.78,0,0,-.556
102,2010,59,800,13.78,63.996,0,-.6
102,2010,59,900,13.79,296.5,0,-.418
102,2010,59,1000,13.78,784.76,0,-.259
102,2010,59,1100,13.76,904.65,0,-.27
102,2010,59,1200,13.74,1513.4,0,-.231
102,2010,59,1300,13.73,1231.2,0,-.248
102,2010,59,1400,13.72,845.1,0,-.264
102,2010,59,1500,13.75,329.45,0,-.286
102,2010,59,1600,13.75,938.59,0,-.27
102,2010,59,1700,13.73,977.37,0,-.242
102,2010,59,1800,13.72,1482.6,0,-.248
102,2010,59,1900,13.72,331.06,0,-.303
102,2010,59,2000,13.72,8.6207,0,-.226
102,2010,59,2100,13.73,0,0,-.27
102,2010,59,2200,13.73,1.0728,0,-.528
102,2010,59,2300,13.75,.09579,0,-.606
101,2010,59,2400,13.72,9709,0
102,2010,59,2400,13.75,.49812,0,.688
102,2010,60,100,13.76,1.1495,.083,2.004
102,2010,60,200,13.78,.0958,0,1.063
102,2010,60,300,13.78,.07664,0,.986
102,2010,60,400,13.78,.03832,0,1.327
102,2010,60,500,13.79,.03832,0,2.417
102,2010,60,600,13.79,0,0,7.3
102,2010,60,700,13.79,0,0,5.836
102,2010,60,800,13.8,36.357,0,6.464
102,2010,60,900,13.8,235.59,0,6.927
102,2010,60,1000,12.42,218.37,0,8.4
102,2010,60,1100,12.63,392.21,0,3.502
102,2010,60,1200,12.75,805.95,0,-.011
102,2010,60,1300,12.98,1278.1,0,-.275
102,2010,60,1400,13.61,1916.9,0,-.248
102,2010,60,1500,13.62,1781.6,0,-.253
102,2010,60,1600,12.87,1445.8,0,-.275
102,2010,60,1700,13.63,1233.3,0,-.275
102,2010,60,1800,13.13,1218.6,0,-.319
102,2010,60,1900,13.36,210.76,0,-.314
102,2010,60,2000,13.2,18.315,0,-.248
102,2010,60,2100,13.07,0,0,-.242
102,2010,60,2200,12.99,0,0,-.264
102,2010,60,2300,12.93,0,0,-.259
101,2010,60,2400,12.42,10793,.083
102,2010,60,2400,12.9,0,0,-.242
102,2010,61,100,12.87,0,0,-.286
102,2010,61,200,12.85,0,0,-.259
102,2010,61,300,12.84,0,0,-.281
102,2010,61,400,12.84,0,0,-.292
102,2010,61,500,12.83,0,0,-.468
102,2010,61,600,12.83,0,0,-.562
102,2010,61,700,12.83,0,0,-.463
102,2010,61,800,12.83,44.739,0,-.435
102,2010,61,900,13.11,406.8,0,-.292
102,2010,61,1000,13.67,954.25,0,-.237
102,2010,61,1100,13.76,1139.3,0,-.253
102,2010,61,1200,13.74,672.52,0,-.226
102,2010,61,1300,13.73,548.65,0,-.248
102,2010,61,1400,13.71,668.12,0,-.237
102,2010,61,1500,13.7,774.15,0,-.281
102,2010,61,1600,13.6,1529.8,0,-.286
102,2010,61,1700,13.36,1518.2,0,-.231
102,2010,61,1800,13.4,1239.6,0,-.275
102,2010,61,1900,13.59,461.27,0,-.297
102,2010,61,2000,13.19,17.969,0,-.281
102,2010,61,2100,13.06,0,0,-.292
102,2010,61,2200,12.97,0,0,-.264
102,2010,61,2300,12.91,0,0,-.292
101,2010,61,2400,12.83,9975.3,0
102,2010,61,2400,12.87,0,0,-.242
102,2010,62,100,12.84,0,0,-.264
102,2010,62,200,12.81,0,0,-.248
102,2010,62,300,12.8,0,0,-.242
102,2010,62,400,12.79,.02874,0,-.264
102,2010,62,500,12.79,.05747,0,-.281
102,2010,62,600,12.79,.09579,0,-.231
102,2010,62,700,12.8,.00958,0,-.297
102,2010,62,800,12.8,38.815,0,-.281
102,2010,62,900,13.75,382.63,0,-.281
102,2010,62,1000,13.73,476.75,0,-.319
102,2010,62,1100,13.73,759.87,0,-.303
102,2010,62,1200,13.71,903,0,-.297
102,2010,62,1300,13.7,901.94,0,-.259
102,2010,62,1400,13.67,838.13,0,-.275
102,2010,62,1500,13.67,881.19,0,-.314
102,2010,62,1600,13.65,927,0,-.292
102,2010,62,1700,13.65,879.78,0,-.259
102,2010,62,1800,13.65,634.49,0,-.242
102,2010,62,1900,13.66,146.65,0,-.204
102,2010,62,2000,13.67,3.0076,0,-.22
102,2010,62,2100,13.69,0,0,-.242
102,2010,62,2200,13.71,0,0,-.242
102,2010,62,2300,13.72,0,0,-.264
101,2010,62,2400,12.79,7773.4,0
102,2010,62,2400,13.73,0,0,-.259
102,2010,63,100,13.73,0,0,-.253
102,2010,63,200,13.73,0,0,-.231
102,2010,63,300,13.75,0,0,-.253
102,2010,63,400,13.75,0,0,-.187
102,2010,63,500,13.75,0,0,-.242
102,2010,63,600,13.76,0,0,-.54
102,2010,63,700,13.77,0,0,-.501
102,2010,63,800,13.77,44.335,0,-.518
102,2010,63,900,13.78,343.62,0,-.204
102,2010,63,1000,13.78,577.58,0,-.27
102,2010,63,1100,13.77,1064,0,-.286
102,2010,63,1200,13.75,1240.2,0,-.308
102,2010,63,1300,13.73,972.65,0,-.292
102,2010,63,1400,13.71,1317.8,0,-.314
102,2010,63,1500,13.7,898.28,0,-.303
102,2010,63,1600,13.7,670.67,0,-.281
102,2010,63,1700,13.7,428.18,0,-.253
102,2010,63,1800,13.73,95.473,0,-.237
102,2010,63,1900,13.73,76.335,0,-.567
102,2010,63,2000,13.74,8.9945,0,-.523
102,2010,63,2100,13.75,0,0,-.539
102,2010,63,2200,13.76,0,0,-.589
102,2010,63,2300,13.76,0,0,-.589
101,2010,63,2400,13.7,7738.1,0
102,2010,63,2400,13.77,0,0,-.567
102,2010,64,100,13.78,0,0,-.556
102,2010,64,200,13.78,0,0,-.54
102,2010,64,300,13.79,0,0,-.529
102,2010,64,400,13.79,0,0,-.556
102,2010,64,500,13.8,0,0,-.468
102,2010,64,600,13.8,0,0,-.534
102,2010,64,700,13.81,0,0,-.562
102,2010,64,800,13.82,54.52,0,-.551
102,2010,64,900,13.82,186.28,0,-.286
102,2010,64,1000,13.8,256.41,0,-.253
102,2010,64,1100,13.66,295.82,0,-.253
102,2010,64,1200,13.56,328.81,0,-.297
102,2010,64,1300,13.74,462.42,0,-.281
102,2010,64,1400,13.72,795.59,0,-.27
102,2010,64,1500,13.71,2413.5,0,-.264
102,2010,64,1600,13.69,2442.9,0,-.281
102,2010,64,1700,13.68,1763,0,-.27
102,2010,64,1800,12.65,458.28,0,-.281
102,2010,64,1900,13.68,184.21,0,-.275
102,2010,64,2000,13.68,28.419,0,-.242
102,2010,64,2100,13.7,0,0,-.22
102,2010,64,2200,13.71,0,0,-.226
102,2010,64,2300,13.72,.06705,0,-.27
101,2010,64,2400,12.65,9670.3,0
102,2010,64,2400,13.73,0,0,-.264
102,2010,65,100,13.73,.0479,0,-.281
102,2010,65,200,13.73,.67053,0,-.407
