datetime,SUN,BHI (W/m2),GHI (W/m2)
2008-12-09 22:00:00,0.0,4.396,0.0
2008-12-09 23:00:00,0.0,4.418,0.0
2008-12-10 00:00:00,0.0,4.407,0.0
2008-12-10 01:00:00,0.0,4.358,0.0
2008-12-10 02:00:00,0.0,4.341,0.0
2008-12-10 03:00:00,0.0,4.341,0.0
2008-12-10 04:00:00,0.0,4.319,0.0
2008-12-10 05:00:00,0.0,4.308,0.0
2008-12-10 06:00:00,0.0,4.281,0.0
2008-12-10 07:00:00,0.0,4.27,0.008155555555555557
2008-12-10 08:00:00,0.333,80.7,26.75916666666667
2008-12-10 09:00:00,0.95,315.2,87.81944444444444
2008-12-10 10:00:00,1.0,551.3,148.12222222222223
2008-12-10 11:00:00,0.7,432.9,190.2388888888889
2008-12-10 12:00:00,0.283,217.3,191.47222222222223
2008-12-10 13:00:00,0.883,634.4,267.5
2008-12-10 14:00:00,0.566,401.5,269.44166666666666
2008-12-10 15:00:00,0.716,492.8,186.23611111111114
2008-12-10 16:00:00,1.0,715.0,233.3
2008-12-10 17:00:00,0.333,205.9,124.25000000000001
2008-12-10 18:00:00,0.0,4.892,26.97027777777778
2008-12-10 19:00:00,0.0,4.413,7.5408333333333335
2008-12-10 20:00:00,0.0,4.297,0.3527777777777778
2008-12-10 21:00:00,0.0,4.303,0.0
2008-12-10 22:00:00,0.0,4.303,0.0
2008-12-10 23:00:00,0.0,4.314,0.0
2008-12-11 00:00:00,0.0,4.347,0.0
2008-12-11 01:00:00,0.0,4.319,0.0
2008-12-11 02:00:00,0.0,4.352,0.0
2008-12-11 03:00:00,0.0,4.325,0.0
2008-12-11 04:00:00,0.0,4.314,0.0
2008-12-11 05:00:00,0.0,4.292,0.0
2008-12-11 06:00:00,0.0,4.292,0.0
2008-12-11 07:00:00,0.0,4.292,0.0
2008-12-11 08:00:00,0.317,97.7,28.95
2008-12-11 09:00:00,0.933,382.5,87.75
2008-12-11 10:00:00,1.0,634.9,106.33333333333334
2008-12-11 11:00:00,1.0,721.0,107.69166666666668
2008-12-11 12:00:00,1.0,773.0,125.79444444444445
2008-12-11 13:00:00,0.983,750.0,144.4388888888889
2008-12-11 14:00:00,0.833,616.3,168.9888888888889
2008-12-11 15:00:00,0.983,767.0,143.41944444444442
2008-12-11 16:00:00,0.983,753.0,194.05
2008-12-11 17:00:00,0.916,616.2,161.1611111111111
2008-12-11 18:00:00,0.25,154.9,81.22222222222221
2008-12-11 19:00:00,0.317,133.7,59.547222222222224
2008-12-11 20:00:00,0.0,5.711,2.5040555555555555
2008-12-11 21:00:00,0.0,4.341,0.08360555555555557
2008-12-11 22:00:00,0.0,4.308,0.0
2008-12-11 23:00:00,0.0,4.297,0.0
2008-12-12 00:00:00,0.0,4.297,0.0
2008-12-12 01:00:00,0.0,4.297,0.0
2008-12-12 02:00:00,0.0,4.286,0.0
2008-12-12 03:00:00,0.0,4.297,0.0
2008-12-12 04:00:00,0.0,4.275,0.0
2008-12-12 05:00:00,0.0,4.281,0.0
2008-12-12 06:00:00,0.0,4.275,0.0
2008-12-12 07:00:00,0.0,4.275,0.0
2008-12-12 08:00:00,0.317,97.6,27.442777777777778
2008-12-12 09:00:00,0.95,382.2,90.3138888888889
2008-12-12 10:00:00,1.0,628.4,111.80833333333334
2008-12-12 11:00:00,1.0,719.0,108.14722222222223
2008-12-12 12:00:00,1.0,775.0,120.01666666666667
2008-12-12 13:00:00,1.0,792.0,118.62222222222223
2008-12-12 14:00:00,0.95,715.0,131.33333333333334
2008-12-12 15:00:00,1.0,774.0,143.30555555555554
2008-12-12 16:00:00,1.0,765.0,168.98333333333335
2008-12-12 17:00:00,1.0,717.0,167.77222222222224
2008-12-12 18:00:00,0.683,288.9,120.63611111111112
2008-12-12 19:00:00,0.533,180.1,44.833333333333336
2008-12-12 20:00:00,0.0,5.15,1.009388888888889
2008-12-12 21:00:00,0.0,4.38,0.0
2008-12-12 22:00:00,0.0,4.341,0.0
2008-12-12 23:00:00,0.0,4.336,0.0
2008-12-13 00:00:00,0.0,4.479,0.0
2008-12-13 01:00:00,0.0,4.462,0.0
2008-12-13 02:00:00,0.0,4.308,0.0
2008-12-13 03:00:00,0.0,4.275,0.0
2008-12-13 04:00:00,0.0,4.286,0.0
2008-12-13 05:00:00,0.0,4.286,0.0
2008-12-13 06:00:00,0.0,4.286,0.0
2008-12-13 07:00:00,0.0,4.275,0.0
2008-12-13 08:00:00,0.3,107.0,25.43638888888889
2008-12-13 09:00:00,0.95,416.5,92.75833333333334
2008-12-13 10:00:00,1.0,654.6,106.15833333333335
2008-12-13 11:00:00,1.0,747.0,85.51944444444445
2008-12-13 12:00:00,1.0,786.0,103.72500000000001
2008-12-13 13:00:00,1.0,827.0,93.82222222222222
2008-12-13 14:00:00,1.0,783.0,98.94444444444444
2008-12-13 15:00:00,1.0,798.0,103.99166666666667
2008-12-13 16:00:00,0.983,749.0,133.675
2008-12-13 17:00:00,0.983,667.5,129.76944444444445
2008-12-13 18:00:00,1.0,618.3,96.12222222222223
2008-12-13 19:00:00,0.783,258.7,57.36388888888889
2008-12-13 20:00:00,0.0,4.968,0.7178333333333334
2008-12-13 21:00:00,0.0,4.319,0.0
2008-12-13 22:00:00,0.0,4.336,0.0
2008-12-13 23:00:00,0.0,4.33,0.0
2008-12-14 00:00:00,0.0,4.336,0.0
2008-12-14 01:00:00,0.0,4.325,0.0
2008-12-14 02:00:00,0.0,4.303,0.0
2008-12-14 03:00:00,0.0,4.297,0.0
2008-12-14 04:00:00,0.0,4.314,0.0
2008-12-14 05:00:00,0.0,4.308,0.0
2008-12-14 06:00:00,0.0,4.297,0.0
2008-12-14 07:00:00,0.0,4.253,0.0
2008-12-14 08:00:00,0.067,25.81,19.493611111111115
2008-12-14 09:00:00,0.716,290.8,120.175
2008-12-14 10:00:00,1.0,618.2,128.125
2008-12-14 11:00:00,1.0,711.0,107.1888888888889
2008-12-14 12:00:00,1.0,772.0,104.28333333333335
2008-12-14 13:00:00,1.0,773.0,116.79722222222223
2008-12-14 14:00:00,1.0,734.0,135.86111111111111
2008-12-14 15:00:00,1.0,775.0,138.50555555555556
2008-12-14 16:00:00,1.0,730.0,189.54444444444445
2008-12-14 17:00:00,0.75,515.3,156.42222222222222
2008-12-14 18:00:00,1.0,509.2,133.88055555555556
2008-12-14 19:00:00,0.7,214.4,60.13611111111111
2008-12-14 20:00:00,0.0,5.05,1.317361111111111
2008-12-14 21:00:00,0.0,4.401,0.0
2008-12-14 22:00:00,0.0,4.341,0.0
2008-12-14 23:00:00,0.0,4.38,0.0
2008-12-15 00:00:00,0.0,4.319,0.0
