Day,Temperature (C),Temperature (SAT) (C),Rain (mm),GHI_1 (kWh/m2/day),GHI_2 (kWh/m2/day),GHI_SAT (kWh/m2/day),GHI (1) vs (2) (%),GHI (1) vs (SAT) (%),DHI (1) (kWh/m2/day),DHI (SAT) (kWh/m2/day),DHI (1) vs (SAT) (%)
2020-02-01,21.04,23.72,25.6,2.55,2.55,2.32,-0.07,8.87,2.15,1.9,11.83
2020-02-02,23.56,24.66,0.0,6.1,6.13,6.21,-0.45,-1.67,2.85,2.64,7.3
2020-02-03,21.84,23.82,3.2,4.69,4.71,4.46,-0.56,4.91,2.21,2.32,-4.84
2020-02-04,22.73,24.28,1.6,6.69,6.72,6.62,-0.46,1.01,2.13,2.28,-6.7
2020-02-05,23.03,23.88,18.6,6.03,6.06,6.49,-0.37,-7.61,2.53,2.79,-10.35
2020-02-06,22.44,24.1,1.4,5.24,5.27,5.36,-0.53,-2.24,3.42,2.99,12.63
2020-02-07,24.82,24.58,0.0,7.56,7.61,7.61,-0.68,-0.56,1.41,1.62,-15.25
2020-02-08,24.79,24.03,0.0,7.55,7.59,7.79,-0.55,-3.28,1.27,1.48,-15.96
2020-02-09,24.54,24.12,0.0,7.34,7.38,7.73,-0.54,-5.36,1.61,1.51,6.06
2020-02-10,25.25,24.22,0.0,7.48,7.52,7.81,-0.54,-4.38,1.2,1.49,-24.69
2020-02-11,25.14,24.67,0.0,7.46,7.5,7.65,-0.56,-2.46,1.18,1.49,-26.11
2020-02-12,25.59,24.42,0.0,6.9,6.94,7.42,-0.5,-7.41,2.01,1.84,8.66
2020-02-13,25.41,25.1,0.0,6.12,6.15,6.61,-0.47,-8.01,2.43,2.28,6.2
2020-02-14,25.47,25.42,0.0,6.32,6.36,6.87,-0.54,-8.72,2.1,2.54,-20.69
2020-02-15,25.45,25.45,0.0,7.33,7.39,7.28,-0.81,0.7,1.77,2.21,-24.69
2020-02-16,25.54,25.87,0.0,7.17,7.21,6.85,-0.47,4.52,1.24,1.92,-54.8
2020-02-17,26.66,26.2,0.2,7.41,7.44,7.58,-0.45,-2.35,1.14,1.61,-41.35
2020-02-18,26.69,26.1,0.0,7.54,7.58,7.43,-0.52,1.49,1.48,1.88,-26.86
2020-02-19,25.5,25.97,0.0,6.89,6.92,7.21,-0.5,-4.75,1.77,2.39,-35.38
2020-02-20,26.23,26.07,0.0,7.09,7.14,7.15,-0.62,-0.79,1.77,2.17,-22.71
2020-02-21,25.8,25.73,0.0,6.63,6.67,6.49,-0.54,2.14,2.0,2.51,-25.16
2020-02-22,26.29,26.33,0.0,6.85,6.89,6.8,-0.48,0.74,2.08,2.2,-6.21
2020-02-23,27.11,26.73,0.0,7.51,7.55,7.5,-0.47,0.13,1.67,1.85,-10.57
2020-02-24,27.09,26.25,0.0,7.25,7.29,7.3,-0.46,-0.7,2.06,2.1,-1.95
2020-02-25,25.8,26.17,0.0,5.48,5.5,5.41,-0.48,1.22,3.61,3.39,6.28
2020-02-26,26.56,26.78,0.0,6.8,6.83,6.83,-0.46,-0.53,2.42,3.12,-29.28
2020-02-27,26.94,26.14,0.0,6.03,6.05,6.42,-0.47,-6.48,2.96,3.18,-7.39
2020-02-28,25.96,26.26,0.0,6.1,6.13,6.04,-0.42,1.08,2.53,2.92,-15.25
2020-02-29,25.89,26.25,0.0,5.73,5.75,6.45,-0.49,-12.67,2.89,3.09,-7.14
2020-03-01,25.91,25.46,0.0,6.72,6.75,5.86,-0.44,12.79,2.22,2.9,-30.43
2020-03-02,24.4,25.39,0.0,4.26,4.28,5.22,-0.39,-22.49,2.88,3.21,-11.18
2020-03-03,25.16,24.09,0.0,4.99,5.01,5.09,-0.36,-1.86,3.59,3.75,-4.46
2020-03-04,22.05,24.1,10.2,1.91,1.92,2.14,-0.52,-12.26,1.5,1.9,-26.49
2020-03-05,24.3,25.14,0.6,7.13,7.2,7.24,-0.89,-1.45,2.0,2.37,-18.5
2020-03-06,26.24,25.33,4.6,7.89,7.92,7.54,-0.45,4.36,1.32,1.91,-44.76
2020-03-07,26.16,26.0,1.8,7.6,7.64,7.4,-0.48,2.6,1.72,2.1,-22.36
2020-03-08,25.58,25.65,10.6,7.34,7.38,6.65,-0.53,9.44,2.71,2.68,1.07
2020-03-09,21.38,24.2,2.4,3.32,3.33,2.95,-0.42,11.21,2.72,2.56,5.86
2020-03-10,23.93,25.12,0.0,6.53,6.56,6.61,-0.47,-1.22,2.77,2.82,-1.77
2020-03-11,24.56,24.59,15.2,7.38,7.41,6.84,-0.34,7.26,2.07,2.73,-32.21
2020-03-12,24.49,24.45,0.8,6.46,6.49,6.79,-0.37,-5.01,2.49,2.6,-4.23
2020-03-13,25.43,24.58,0.0,6.83,6.85,6.65,-0.38,2.61,2.42,2.99,-23.28
2020-03-14,25.43,24.6,0.0,5.98,6.01,6.91,-0.43,-15.48,2.6,2.91,-12.05
2020-03-15,24.57,25.16,18.6,5.98,6.01,5.71,-0.45,4.5,2.67,3.13,-17.13
2020-03-16,22.52,24.36,0.6,5.34,5.36,5.42,-0.38,-1.54,3.64,3.17,12.97
2020-03-17,22.73,24.26,1.0,5.38,5.4,5.38,-0.33,0.06,1.82,2.15,-18.37
2020-03-18,22.88,24.63,22.0,5.37,5.4,5.63,-0.51,-4.71,2.22,2.58,-16.06
2020-03-19,23.33,24.07,0.6,7.46,7.49,7.24,-0.43,2.88,2.37,2.04,13.83
2020-03-20,25.4,24.28,0.0,7.9,7.93,7.54,-0.45,4.6,1.57,1.9,-20.96
2020-03-21,25.05,24.49,0.0,6.29,6.32,6.68,-0.47,-6.2,2.39,2.55,-6.8
2020-03-22,25.05,24.3,0.0,7.17,7.2,7.01,-0.42,2.24,2.63,2.43,7.49
2020-03-23,25.18,23.4,0.0,7.15,7.18,6.89,-0.37,3.67,1.98,2.15,-8.69
2020-03-24,24.61,24.43,0.0,6.33,6.35,6.46,-0.41,-2.15,1.45,1.96,-35.34
2020-03-25,23.26,23.87,0.0,5.91,5.95,5.63,-0.58,4.72,1.73,2.3,-32.8
2020-03-26,23.98,22.01,0.0,6.67,6.69,6.7,-0.37,-0.55,2.43,2.51,-3.37
2020-03-27,22.56,22.58,25.4,4.39,4.41,3.73,-0.45,15.07,2.38,2.5,-4.97
2020-03-28,21.49,23.78,2.0,4.36,4.37,4.17,-0.33,4.23,2.78,2.74,1.29
2020-03-29,22.24,23.68,0.0,4.43,4.44,4.94,-0.3,-11.62,3.35,2.92,12.72
2020-03-30,24.92,23.72,0.2,7.75,7.78,7.55,-0.48,2.53,1.2,2.03,-68.58
2020-03-31,25.25,24.28,0.0,6.95,6.97,7.33,-0.33,-5.42,1.98,2.15,-8.78
2020-04-01,26.15,24.0,0.0,7.34,7.37,7.24,-0.47,1.33,2.16,2.35,-8.8
2020-04-02,26.3,24.27,0.0,7.57,7.6,7.65,-0.3,-1.03,1.24,1.74,-40.46
2020-04-03,26.24,24.3,0.0,6.82,6.85,7.25,-0.4,-6.25,1.88,2.08,-10.79
2020-04-04,26.11,24.28,0.0,6.82,6.84,7.0,-0.37,-2.67,2.33,2.53,-8.64
2020-04-05,25.84,24.72,0.0,6.74,6.77,6.66,-0.49,1.15,2.8,2.74,2.16
2020-04-06,25.65,24.65,0.0,6.82,6.85,7.04,-0.42,-3.18,2.27,2.42,-6.48
2020-04-07,26.64,24.55,0.0,7.42,7.45,7.6,-0.44,-2.36,1.3,1.67,-29.01
2020-04-08,26.78,24.5,0.0,7.43,7.46,7.51,-0.39,-1.11,1.39,1.83,-31.22
2020-04-09,26.85,24.2,0.0,6.7,6.73,6.62,-0.43,1.23,2.8,2.75,2.03
2020-04-10,26.3,23.78,0.0,6.53,6.55,6.42,-0.39,1.58,2.25,2.96,-31.52
2020-04-11,26.27,23.23,0.0,6.25,6.28,6.43,-0.42,-2.74,2.05,2.98,-44.9
2020-04-12,24.43,23.32,8.4,5.19,5.21,5.43,-0.44,-4.7,2.71,3.27,-20.64
2020-04-13,22.81,22.53,5.6,5.19,5.21,5.23,-0.45,-0.87,3.16,3.11,1.67
2020-04-14,23.01,23.34,0.0,5.92,5.95,5.85,-0.43,1.33,2.97,3.21,-8.02
2020-04-15,24.36,23.01,0.0,7.25,7.27,6.68,-0.24,7.84,1.71,1.98,-15.48
2020-04-16,24.93,23.43,15.2,6.1,6.12,6.14,-0.32,-0.71,2.07,2.58,-24.83
2020-04-17,23.96,21.22,7.0,6.7,6.72,6.71,-0.29,-0.18,2.36,2.26,4.09
2020-04-18,22.48,20.75,2.6,4.7,4.72,4.02,-0.37,14.35,3.12,2.39,23.44
2020-04-19,22.66,22.29,17.2,5.11,5.13,5.63,-0.49,-10.18,2.33,2.8,-20.3
2020-04-20,20.81,21.58,5.6,2.18,2.19,1.78,-0.23,18.67,1.97,1.69,14.18
2020-04-21,22.32,20.94,0.2,4.18,4.2,2.84,-0.32,32.21,3.44,2.38,30.97
2020-04-22,22.69,21.9,6.8,5.46,5.48,4.63,-0.27,15.25,2.34,2.66,-13.6
2020-04-23,22.33,22.66,0.2,4.06,4.08,4.75,-0.35,-16.98,3.16,3.1,1.85
2020-04-24,23.37,21.89,0.0,5.54,5.56,5.53,-0.34,0.18,3.2,2.77,13.33
2020-04-25,24.03,22.37,0.0,5.93,5.95,6.45,-0.35,-8.73,2.33,2.49,-6.45
2020-04-26,24.0,22.11,0.0,6.6,6.63,6.4,-0.5,3.05,1.5,2.12,-41.31
2020-04-27,24.39,22.68,10.4,6.75,6.78,6.68,-0.41,1.04,2.42,2.31,4.58
2020-04-28,22.54,23.56,9.8,5.57,5.59,6.01,-0.37,-7.86,2.33,2.42,-3.77
2020-04-29,23.52,22.29,6.4,7.04,7.07,6.72,-0.41,4.58,2.26,2.05,9.03
2020-04-30,22.87,23.03,4.6,5.98,6.0,5.94,-0.32,0.79,2.68,2.11,21.21
2020-05-01,23.71,22.03,0.0,7.1,7.13,7.13,-0.42,-0.51,1.46,1.45,0.52
2020-05-02,22.13,22.47,0.0,3.31,3.32,3.34,-0.34,-0.79,2.81,2.63,6.33
2020-05-03,23.27,23.29,1.2,4.61,4.63,5.5,-0.3,-19.17,2.23,2.61,-16.8
2020-05-04,23.9,21.99,0.0,6.16,6.18,5.92,-0.3,3.86,1.45,1.98,-36.06
2020-05-05,23.03,23.6,1.4,5.38,5.4,6.17,-0.43,-14.75,2.04,2.43,-18.91
2020-05-06,23.9,24.23,20.8,6.75,6.79,6.87,-0.54,-1.81,2.02,2.03,-0.56
2020-05-07,23.83,23.89,6.6,5.48,5.51,6.73,-0.53,-22.81,1.92,2.07,-7.85
2020-05-08,22.7,21.93,11.4,5.09,5.11,4.76,-0.32,6.46,2.49,2.52,-1.04
2020-05-09,23.98,22.51,0.4,5.67,5.69,6.19,-0.35,-9.14,1.67,2.51,-50.18
2020-05-10,23.16,22.97,2.6,5.33,5.43,5.61,-1.77,-5.31,2.4,2.68,-11.6
2020-05-11,24.79,22.7,0.0,6.25,6.27,6.27,-0.37,-0.33,2.0,2.39,-19.4
2020-05-12,23.92,23.08,0.0,5.94,5.97,5.78,-0.45,2.75,2.11,2.66,-26.28
2020-05-13,23.76,24.0,0.4,5.89,5.91,6.45,-0.34,-9.54,1.8,2.09,-15.91
2020-05-14,24.89,23.19,0.0,6.38,6.41,6.25,-0.4,2.07,1.74,2.44,-39.93
2020-05-15,23.99,23.79,0.0,4.25,4.27,4.98,-0.41,-17.24,3.1,2.93,5.24
2020-05-16,24.62,24.15,0.0,6.87,6.87,6.43,0.05,6.4,1.7,2.39,-40.03
2020-05-17,24.17,24.27,0.2,5.53,5.55,5.51,-0.39,0.24,2.05,2.45,-19.52
2020-05-18,23.79,22.94,3.2,5.51,5.54,5.82,-0.4,-5.64,2.52,2.68,-6.35
2020-05-19,24.09,22.59,7.0,5.99,6.01,5.72,-0.35,4.39,2.42,2.12,12.08
2020-05-20,25.06,22.94,0.0,6.18,6.21,6.63,-0.4,-7.31,1.69,2.2,-30.44
2020-05-21,24.53,23.52,0.0,4.86,4.89,5.96,-0.66,-22.59,2.02,2.76,-36.25
2020-05-22,22.25,21.09,10.2,4.96,4.98,4.28,-0.3,13.75,2.86,2.24,21.77
2020-05-23,23.84,23.58,7.2,5.79,5.83,5.95,-0.71,-2.74,1.56,2.31,-47.75
2020-05-24,23.97,23.93,7.2,6.32,6.35,6.62,-0.48,-4.67,1.8,2.2,-22.05
2020-05-25,25.04,24.12,0.0,6.74,6.76,6.57,-0.41,2.42,1.77,2.34,-32.11
2020-05-26,25.11,24.15,1.8,6.38,6.4,6.4,-0.38,-0.34,1.85,2.44,-31.46
2020-05-27,24.9,23.17,0.0,6.57,6.59,6.74,-0.38,-2.61,1.57,2.0,-27.77
2020-05-28,25.43,23.83,0.0,5.98,6.01,6.16,-0.46,-2.98,1.69,2.49,-47.62
2020-05-29,24.71,23.78,2.4,6.42,6.44,6.33,-0.39,1.36,2.1,2.45,-16.75
2020-05-30,24.07,21.34,16.8,6.19,6.21,6.43,-0.33,-3.81,1.81,2.39,-32.35
2020-05-31,23.88,21.98,3.6,5.66,5.68,5.82,-0.4,-2.85,2.4,2.26,5.58
2020-06-01,24.17,23.12,0.0,4.98,5.01,5.16,-0.47,-3.42,2.28,2.75,-20.32
2020-06-02,24.37,23.19,0.0,6.48,6.5,6.22,-0.39,3.95,2.08,2.64,-26.47
2020-06-03,24.3,22.65,0.0,6.41,6.43,6.19,-0.34,3.37,2.1,2.39,-13.93
2020-06-04,23.73,22.98,0.0,5.47,5.49,5.97,-0.39,-9.01,2.6,2.79,-7.37
2020-06-05,23.87,23.77,0.0,5.6,5.62,5.89,-0.35,-5.18,2.98,2.72,8.71
2020-06-06,23.83,22.65,0.0,5.42,5.44,5.72,-0.34,-5.47,2.58,2.57,0.48
2020-06-07,24.5,22.09,0.0,6.32,6.34,6.12,-0.31,3.17,2.19,2.37,-8.36
2020-06-08,22.01,23.45,0.6,3.34,3.36,2.62,-0.42,21.75,2.61,2.03,22.12
2020-06-09,23.83,20.58,2.2,5.86,5.88,5.47,-0.32,6.75,1.91,2.69,-40.76
2020-06-10,22.39,22.35,10.0,4.94,4.96,5.2,-0.33,-5.21,2.25,2.41,-7.04
2020-06-11,22.88,23.17,0.0,6.32,6.33,6.34,-0.15,-0.2,2.08,2.67,-28.52
2020-06-12,22.36,23.18,4.4,4.79,4.82,5.56,-0.56,-15.9,2.16,2.28,-5.47
2020-06-13,22.85,22.26,0.0,6.91,6.93,6.38,-0.21,7.66,2.02,2.14,-5.99
2020-06-14,23.44,21.67,0.0,5.42,5.44,5.9,-0.39,-8.84,2.3,2.66,-15.52
2020-06-15,21.75,21.43,0.0,3.29,3.31,3.51,-0.4,-6.62,2.47,2.43,1.64
