Day,Temperature (C),Temperature (SAT) (C),Rain (mm),GHI_1 (kWh/m2/day),GHI_2 (kWh/m2/day),GHI_SAT (kWh/m2/day),GHI (1) vs (2) (%),GHI (1) vs (SAT) (%),DHI (1) (kWh/m2/day),DHI (SAT) (kWh/m2/day),DHI (1) vs (SAT) (%)
2021-01-01,20.31,24.67,8.4,3.1,3.11,2.53,-0.35,18.5,2.25,1.6,28.86
2021-01-02,22.86,25.09,0.0,6.03,6.05,6.83,-0.29,-13.14,1.5,1.9,-26.98
2021-01-03,24.08,25.08,0.0,6.54,6.58,6.86,-0.66,-4.88,1.73,1.87,-7.77
2021-01-04,24.65,25.67,0.0,6.57,6.61,6.64,-0.65,-1.01,2.3,2.07,10.15
2021-01-05,24.87,25.31,0.0,6.51,6.54,6.83,-0.6,-4.97,1.77,1.84,-3.67
2021-01-06,25.38,25.22,0.0,7.28,7.32,7.32,-0.65,-0.6,1.23,1.14,7.62
2021-01-07,25.14,25.2,0.0,6.86,6.9,7.12,-0.65,-3.79,1.42,1.5,-5.91
2021-01-08,25.87,25.1,0.0,7.08,7.13,7.05,-0.64,0.48,1.66,1.76,-5.86
2021-01-09,24.57,25.78,0.0,5.83,5.86,5.92,-0.57,-1.59,2.58,3.14,-22.05
2021-01-10,21.45,25.28,27.6,4.34,4.36,5.19,-0.46,-19.68,2.86,3.1,-8.59
2021-01-11,23.88,25.82,0.0,5.54,5.58,5.36,-0.58,3.27,2.65,3.29,-24.48
2021-01-12,23.71,26.53,0.0,5.32,5.36,6.19,-0.76,-16.38,2.72,2.79,-2.59
2021-01-13,24.84,26.38,0.0,6.79,6.83,7.01,-0.62,-3.29,1.76,1.99,-12.93
2021-01-14,24.84,26.28,0.0,5.22,5.25,6.13,-0.54,-17.33,2.31,2.09,9.63
2021-01-15,24.62,26.78,0.8,5.87,5.9,6.03,-0.6,-2.71,2.28,2.5,-9.59
2021-01-16,21.61,25.23,8.0,4.05,4.08,4.22,-0.57,-4.14,1.98,2.13,-7.38
2021-01-17,22.85,25.3,1.0,6.05,6.09,6.37,-0.63,-5.21,2.23,2.7,-20.92
2021-01-18,23.09,25.3,0.0,5.29,5.31,5.32,-0.53,-0.59,2.44,2.54,-3.91
2021-01-19,23.64,26.68,0.0,4.98,5.01,5.51,-0.69,-10.65,2.4,2.92,-21.52
2021-01-20,24.63,26.5,0.0,6.76,6.8,6.8,-0.56,-0.57,2.18,2.26,-3.66
2021-01-21,24.57,25.85,0.0,6.25,6.28,6.54,-0.56,-4.58,2.67,2.48,7.2
2021-01-22,24.5,25.32,0.0,6.11,6.13,6.09,-0.45,0.25,2.98,2.77,7.32
2021-01-23,25.0,25.76,0.0,6.42,6.45,5.91,-0.44,7.97,2.02,2.53,-25.4
2021-01-24,24.72,26.17,0.0,7.3,7.33,7.11,-0.47,2.65,1.58,1.85,-17.13
2021-01-25,25.34,25.81,0.0,6.22,6.25,6.53,-0.49,-4.95,2.05,2.41,-17.21
2021-01-26,25.12,25.8,0.0,6.47,6.51,7.13,-0.72,-10.32,1.7,1.83,-7.05
2021-01-27,25.61,25.62,0.0,7.3,7.35,7.41,-0.66,-1.46,1.61,1.45,10.17
2021-01-28,25.92,25.68,0.0,7.38,7.41,7.42,-0.41,-0.54,1.51,1.54,-2.04
2021-01-29,26.65,26.24,0.0,6.81,6.86,7.16,-0.7,-5.1,1.55,1.83,-18.11
2021-01-30,25.71,26.23,0.0,6.13,6.16,6.28,-0.57,-2.48,2.47,2.56,-3.74
2021-01-31,25.7,26.15,0.0,7.04,7.06,7.37,-0.28,-4.63,1.85,1.59,14.17
2021-02-01,25.67,25.65,0.0,7.45,7.49,7.62,-0.51,-2.26,1.75,1.19,32.06
2021-02-02,26.45,25.19,0.0,7.56,7.6,7.47,-0.49,1.26,1.54,1.4,8.87
2021-02-03,26.87,24.91,0.0,7.63,7.67,7.66,-0.54,-0.41,1.07,1.25,-17.04
2021-02-04,26.56,26.03,0.0,7.26,7.3,7.4,-0.46,-1.87,1.41,1.61,-13.76
2021-02-05,25.47,26.75,0.0,5.95,5.97,5.27,-0.44,11.44,2.9,2.97,-2.31
2021-02-06,25.04,27.57,0.0,5.83,5.86,6.73,-0.48,-15.38,2.95,2.86,3.03
2021-02-07,24.66,27.87,0.0,5.37,5.4,6.89,-0.51,-28.27,2.95,2.81,4.73
2021-02-08,25.02,26.83,0.0,5.96,5.99,6.99,-0.48,-17.2,2.62,2.69,-2.97
2021-02-09,26.6,26.89,0.0,6.33,6.36,7.06,-0.53,-11.53,2.27,2.48,-9.03
2021-02-10,27.47,27.55,0.0,6.69,6.72,6.22,-0.54,6.97,2.31,2.77,-19.8
2021-02-11,24.22,26.4,3.4,3.45,3.46,3.18,-0.31,7.75,2.93,2.6,11.35
2021-02-12,25.33,26.35,0.0,5.59,5.62,6.02,-0.51,-7.68,2.6,3.01,-15.75
2021-02-13,23.53,26.79,3.4,5.43,5.46,5.46,-0.44,-0.57,2.55,2.67,-4.84
2021-02-14,25.71,26.5,0.0,6.39,6.41,6.29,-0.45,1.46,2.83,2.61,7.73
2021-02-15,27.38,26.78,0.0,7.12,7.15,7.18,-0.39,-0.79,2.1,2.25,-6.94
2021-02-16,25.69,28.33,0.0,5.95,5.97,5.68,-0.46,4.4,2.92,2.94,-0.74
2021-02-17,25.54,27.46,0.0,5.27,5.3,5.91,-0.49,-12.16,3.53,3.13,11.39
2021-02-18,25.48,26.95,0.0,5.78,5.8,6.29,-0.39,-8.81,3.32,3.32,-0.03
2021-02-19,24.52,26.49,0.0,5.34,5.37,5.4,-0.41,-0.95,4.15,3.41,17.94
2021-02-20,24.68,27.16,0.0,5.83,5.85,6.42,-0.41,-10.11,3.79,3.36,11.31
2021-02-21,25.9,26.1,0.0,5.93,5.96,6.44,-0.44,-8.62,3.23,3.42,-5.71
2021-02-22,24.11,25.51,0.0,4.05,4.06,4.16,-0.35,-2.72,3.06,2.83,7.35
2021-02-23,25.14,25.57,0.0,5.79,5.82,6.13,-0.42,-5.84,2.47,2.7,-9.24
2021-02-24,23.94,25.45,2.0,5.62,5.64,4.99,-0.27,11.24,2.81,2.48,11.82
2021-02-25,24.56,26.7,0.0,6.67,6.71,7.03,-0.49,-5.32,2.77,2.48,10.59
2021-02-26,26.41,26.91,0.0,6.74,6.77,7.57,-0.42,-12.26,1.97,1.81,8.02
2021-02-27,26.56,26.93,0.0,6.16,6.19,6.74,-0.48,-9.39,2.23,2.13,4.41
2021-02-28,27.29,27.2,0.0,5.93,5.96,6.61,-0.52,-11.53,2.14,2.48,-15.54
2021-03-01,28.11,27.05,0.0,6.9,6.92,7.17,-0.2,-3.84,1.56,1.76,-12.53
2021-03-02,29.07,26.95,0.0,7.41,7.43,7.41,-0.36,0.02,1.62,1.7,-5.03
2021-03-03,27.73,26.8,0.0,6.15,6.17,6.02,-0.37,2.16,2.86,3.14,-9.86
2021-03-04,25.09,26.43,0.8,4.78,4.81,4.38,-0.54,8.48,2.31,2.3,0.56
2021-03-05,26.67,26.44,1.4,6.44,6.46,7.12,-0.3,-10.53,2.02,2.07,-2.42
2021-03-06,25.76,26.55,1.4,5.63,5.65,7.0,-0.46,-24.38,2.37,2.5,-5.4
2021-03-07,26.19,27.23,0.0,6.97,7.0,7.36,-0.34,-5.62,2.08,2.33,-11.88
