Day,Temperature (C),Temperature (SAT) (C),Rain (mm),GHI_1 (kWh/m2/day),GHI_2 (kWh/m2/day),GHI_SAT (kWh/m2/day),GHI (1) vs (2) (%),GHI (1) vs (SAT) (%),DHI (1) (kWh/m2/day),DHI (SAT) (kWh/m2/day),DHI (1) vs (SAT) (%)
2021-01-01,23.55,27.44,0.0,4.04,4.04,4.58,0.12,-13.16,2.25,2.3,-1.88
2021-01-02,22.51,27.82,1.4,3.98,3.97,3.15,0.26,20.81,2.3,1.93,16.26
2021-01-03,24.13,28.5,0.0,6.61,6.59,6.83,0.3,-3.41,1.31,1.69,-28.71
2021-01-04,25.36,29.7,0.0,6.19,6.17,6.31,0.32,-2.04,2.06,2.04,1.02
2021-01-05,25.51,30.06,0.0,6.16,6.14,6.7,0.37,-8.74,1.78,1.81,-1.66
2021-01-06,25.99,30.13,0.0,6.4,6.37,6.99,0.44,-9.3,1.46,1.52,-4.07
2021-01-07,25.16,29.73,0.0,6.37,6.35,6.85,0.32,-7.47,1.47,1.88,-27.85
2021-01-08,24.83,30.49,0.0,5.92,5.91,6.65,0.23,-12.33,1.85,2.46,-32.99
2021-01-09,24.89,29.63,0.0,5.22,5.19,5.87,0.47,-12.58,2.21,2.99,-34.89
2021-01-10,25.66,29.76,0.0,5.45,5.43,6.41,0.33,-17.59,2.01,2.79,-39.17
2021-01-11,25.69,30.18,0.0,5.38,5.37,6.42,0.22,-19.45,2.06,2.85,-38.28
2021-01-12,25.52,30.51,0.0,5.48,5.47,6.33,0.25,-15.49,2.11,2.93,-38.54
2021-01-13,26.25,30.18,0.0,5.88,5.86,6.48,0.37,-10.32,2.1,2.76,-31.41
2021-01-14,26.48,29.83,0.0,5.45,5.43,5.79,0.32,-6.35,2.96,3.08,-4.08
2021-01-15,26.55,30.12,0.0,3.48,3.48,3.19,0.09,8.38,2.16,2.12,1.92
2021-01-16,26.21,29.07,0.0,4.88,4.86,5.84,0.37,-19.72,2.52,3.22,-27.66
2021-01-17,26.04,29.01,0.0,5.57,5.55,6.42,0.34,-15.15,1.96,3.0,-53.07
2021-01-18,24.26,30.05,0.0,5.32,5.31,5.98,0.24,-12.23,2.35,3.21,-36.75
2021-01-19,25.35,29.98,0.0,5.48,5.47,6.23,0.18,-13.81,2.23,3.09,-38.33
2021-01-20,23.46,30.0,0.0,5.12,5.11,5.71,0.31,-11.52,3.08,3.22,-4.57
2021-01-21,23.19,29.7,0.0,5.61,5.59,6.55,0.25,-16.77,2.38,2.76,-15.89
2021-01-22,24.24,29.61,0.0,5.4,5.39,6.01,0.16,-11.33,2.76,2.93,-6.05
2021-01-23,25.1,29.78,0.0,4.79,4.79,5.35,0.1,-11.6,3.23,2.64,18.44
2021-01-24,26.65,29.16,0.2,5.83,5.8,6.48,0.43,-11.23,2.18,2.4,-9.75
2021-01-25,26.46,29.09,0.0,5.87,5.85,6.49,0.39,-10.56,2.54,2.43,4.6
2021-01-26,25.88,29.28,0.2,6.03,6.01,6.79,0.38,-12.52,1.92,2.25,-17.25
2021-01-27,27.29,30.55,0.4,6.61,6.59,7.16,0.24,-8.39,1.79,1.93,-8.2
2021-01-28,26.96,30.4,0.0,6.35,6.33,7.05,0.31,-11.03,2.12,2.09,1.22
2021-01-29,27.53,30.24,0.0,5.29,5.27,6.71,0.5,-26.66,2.02,2.44,-20.92
2021-01-30,27.61,30.65,0.0,6.06,6.05,6.9,0.31,-13.83,1.99,2.36,-18.86
2021-01-31,26.34,30.6,0.0,5.48,5.47,6.67,0.19,-21.61,2.87,2.91,-1.43
2021-02-01,25.68,29.27,0.0,5.73,5.7,7.0,0.41,-22.15,2.51,2.22,11.64
2021-02-02,26.17,29.31,0.0,5.92,5.89,6.79,0.43,-14.72,2.57,2.28,11.14
2021-02-03,26.44,29.47,0.0,6.49,6.45,7.34,0.51,-13.17,1.69,1.62,4.46
2021-02-04,27.55,30.35,0.0,6.08,6.07,7.24,0.3,-18.92,1.8,1.96,-9.19
2021-02-05,27.41,30.56,0.0,4.92,4.9,6.47,0.38,-31.53,2.47,3.09,-24.96
2021-02-06,25.74,30.43,0.0,5.79,5.77,6.86,0.28,-18.58,2.93,2.77,5.34
2021-02-07,23.71,28.85,0.0,5.93,5.92,7.09,0.25,-19.43,2.57,2.58,-0.23
2021-02-08,23.33,27.89,0.0,5.6,5.58,6.88,0.44,-22.75,2.49,2.92,-17.34
2021-02-09,24.79,29.47,0.0,6.17,6.14,7.01,0.39,-13.71,1.88,2.77,-47.4
2021-02-10,26.12,31.27,0.0,6.19,6.16,6.92,0.36,-11.88,2.06,2.8,-36.08
2021-02-11,27.45,31.6,0.0,5.02,5.01,5.63,0.23,-12.24,3.35,3.43,-2.45
2021-02-12,27.12,32.39,0.0,6.18,6.15,6.86,0.39,-11.08,2.24,2.94,-31.04
2021-02-13,27.08,31.4,0.0,4.37,4.35,5.65,0.25,-29.37,3.04,3.43,-12.57
2021-02-14,27.72,31.36,0.0,5.43,5.41,6.68,0.37,-23.11,2.19,2.83,-28.96
2021-02-15,28.71,30.52,0.0,5.5,5.47,6.34,0.48,-15.25,2.28,2.61,-14.32
2021-02-16,27.12,30.44,2.8,4.74,4.73,4.55,0.21,3.92,3.33,3.26,1.86
2021-02-17,28.38,29.56,0.4,5.33,5.32,5.66,0.27,-6.08,2.96,2.67,9.95
2021-02-18,27.04,29.45,2.4,5.75,5.74,6.45,0.2,-12.21,3.72,3.08,17.21
2021-02-19,24.99,29.48,0.0,4.98,4.97,5.88,0.22,-18.19,4.12,3.59,12.76
2021-02-20,24.13,29.29,0.0,5.7,5.7,6.7,0.01,-17.51,3.68,3.14,14.61
2021-02-21,25.09,29.97,0.0,5.81,5.79,6.65,0.43,-14.3,3.45,3.18,7.72
2021-02-22,26.13,28.86,0.0,5.82,5.8,6.6,0.25,-13.36,2.96,3.19,-8.07
2021-02-23,25.44,28.05,0.0,4.15,4.15,4.05,0.16,2.56,3.05,2.76,9.53
2021-02-24,26.31,28.54,0.0,4.64,4.62,5.6,0.35,-20.64,2.92,3.33,-14.21
2021-02-25,23.72,27.65,0.0,4.14,4.12,4.68,0.4,-12.93,3.54,3.4,3.96
2021-02-26,25.09,29.43,0.0,6.6,6.58,7.47,0.36,-13.12,2.31,2.22,3.8
2021-02-27,27.63,30.45,0.0,6.42,6.4,7.44,0.26,-15.85,2.41,2.13,11.37
2021-02-28,28.53,31.28,0.0,6.6,6.58,7.6,0.32,-15.15,1.89,1.9,-0.63
2021-03-01,29.5,31.53,0.0,6.94,6.92,7.49,0.33,-7.82,1.63,2.26,-38.45
2021-03-02,30.14,31.02,0.0,6.6,6.58,7.41,0.35,-12.29,2.22,2.13,3.94
2021-03-03,29.75,30.94,0.0,5.52,5.5,6.17,0.27,-11.79,3.05,3.02,0.86
2021-03-04,29.65,30.36,0.0,5.83,5.81,6.38,0.28,-9.44,2.77,3.37,-21.65
2021-03-05,29.18,29.47,0.0,5.47,5.46,6.77,0.13,-23.9,2.32,3.18,-37.23
2021-03-06,28.33,29.79,1.8,6.19,6.18,6.64,0.18,-7.39,2.46,2.75,-11.72
2021-03-07,27.89,30.54,6.6,5.73,5.71,6.31,0.33,-9.97,2.43,2.77,-14.33
2021-03-08,27.66,29.71,0.0,4.52,4.52,5.31,0.07,-17.37,2.52,3.18,-26.18
2021-03-09,27.17,29.52,0.0,6.89,6.87,6.71,0.23,2.6,1.95,3.32,-69.77
2021-03-10,28.43,30.1,1.0,7.23,7.22,7.49,0.22,-3.52,1.61,2.49,-55.27
2021-03-11,29.55,30.32,0.0,7.13,7.11,7.61,0.3,-6.7,1.73,1.89,-9.18
2021-03-12,29.98,29.5,0.0,6.58,6.56,7.47,0.22,-13.55,2.36,1.97,16.31
2021-03-13,30.52,29.73,0.0,6.84,6.8,7.39,0.48,-8.16,2.23,2.2,1.34
2021-03-14,29.75,29.97,0.0,6.04,6.03,6.46,0.28,-6.84,2.47,2.7,-9.6
2021-03-15,27.15,29.47,0.0,5.39,5.37,4.75,0.22,11.76,3.21,3.03,5.64
