Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-February-20,21.04,23.72,25.60
02-February-20,23.56,24.66,0.00
03-February-20,21.84,23.82,3.20
04-February-20,22.73,24.28,1.60
05-February-20,23.03,23.88,18.60
06-February-20,22.44,24.10,1.40
07-February-20,24.82,24.58,0.00
08-February-20,24.79,24.03,0.00
09-February-20,24.54,24.12,0.00
10-February-20,25.25,24.22,0.00
11-February-20,25.14,24.67,0.00
12-February-20,25.59,24.42,0.00
13-February-20,25.41,25.10,0.00
14-February-20,25.47,25.42,0.00
15-February-20,25.45,25.45,0.00
16-February-20,25.54,25.87,0.00
17-February-20,26.66,26.20,0.20
18-February-20,26.69,26.10,0.00
19-February-20,25.50,25.97,0.00
20-February-20,26.23,26.07,0.00
21-February-20,25.80,25.73,0.00
22-February-20,26.29,26.33,0.00
23-February-20,27.11,26.73,0.00
24-February-20,27.09,26.25,0.00
25-February-20,25.80,26.17,0.00
26-February-20,26.56,26.78,0.00
27-February-20,26.94,26.14,0.00
28-February-20,25.96,26.26,0.00
29-February-20,25.89,26.25,0.00
Average,25.14,25.29,
Maximum,27.11,26.78,25.60
Minimum,21.04,23.72,0.00
Total,,,50.60
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 February '20,2.55 2.55,2.32,,-0.07,8.87
02 February '20,6.10 6.13,6.21,,-0.45,-1.67
03 February '20,4.69 4.71,4.46,,-0.56,4.91
04 February '20,6.69 6.72,6.62,,-0.46,1.01
05 February '20,6.03 6.06,6.49,,-0.37,-7.61
06 February '20,5.24 5.27,5.36,,-0.53,-2.24
07 February '20,7.56 7.61,7.61,,-0.68,-0.56
08 February '20,7.55 7.59,7.79,,-0.55,-3.28
09 February '20,7.34 7.38,7.73,,-0.54,-5.36
10 February '20,7.48 7.52,7.81,,-0.54,-4.38
11 February '20,7.46 7.50,7.65,,-0.56,-2.46
12 February '20,6.90 6.94,7.42,,-0.50,-7.41
13 February '20,6.12 6.15,6.61,,-0.47,-8.01
14 February '20,6.32 6.36,6.87,,-0.54,-8.72
15 February '20,7.33 7.39,7.28,,-0.81,0.70
16 February '20,7.17 7.21,6.85,,-0.47,4.52
17 February '20,7.41 7.44,7.58,,-0.45,-2.35
18 February '20,7.54 7.58,7.43,,-0.52,1.49
19 February '20,6.89 6.92,7.21,,-0.50,-4.75
20 February '20,7.09 7.14,7.15,,-0.62,-0.79
21 February '20,6.63 6.67,6.49,,-0.54,2.14
22 February '20,6.85 6.89,6.80,,-0.48,0.74
23 February '20,7.51 7.55,7.50,,-0.47,0.13
24 February '20,7.25 7.29,7.30,,-0.46,-0.70
25 February '20,5.48 5.50,5.41,,-0.48,1.22
26 February '20,6.80 6.83,6.83,,-0.46,-0.53
27 February '20,6.03 6.05,6.42,,-0.47,-6.48
28 February '20,6.10 6.13,6.04,,-0.42,1.08
29 February '20,5.73 5.75,6.45,,-0.49,-12.67
Average,6.55 6.58,6.68,,0.50*,3.68*
Maximum,7.56 7.61,7.81,,-0.81,-12.67
Minimum,2.55 2.55,2.32,,-0.07,0.13
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 February '20,2.15 1.90,,11.83
02 February '20,2.85 2.64,,7.30
03 February '20,2.21 2.32,,-4.84
04 February '20,2.13 2.28,,-6.70
05 February '20,2.53 2.79,,-10.35
06 February '20,3.42 2.99,,12.63
07 February '20,1.41 1.62,,-15.25
08 February '20,1.27 1.48,,-15.96
09 February '20,1.61 1.51,,6.06
10 February '20,1.20 1.49,,-24.69
11 February '20,1.18 1.49,,-26.11
12 February '20,2.01 1.84,,8.66
13 February '20,2.43 2.28,,6.20
14 February '20,2.10 2.54,,-20.69
15 February '20,1.77 2.21,,-24.69
16 February '20,1.24 1.92,,-54.80
17 February '20,1.14 1.61,,-41.35
18 February '20,1.48 1.88,,-26.86
19 February '20,1.77 2.39,,-35.38
20 February '20,1.77 2.17,,-22.71
21 February '20,2.00 2.51,,-25.16
22 February '20,2.08 2.20,,-6.21
23 February '20,1.67 1.85,,-10.57
24 February '20,2.06 2.10,,-1.95
25 February '20,3.61 3.39,,6.28
26 February '20,2.42 3.12,,-29.28
27 February '20,2.96 3.18,,-7.39
28 February '20,2.53 2.92,,-15.25
29 February '20,2.89 3.09,,-7.14
Average,2.07 2.27,,16.97*
Maximum,3.61 3.39,,-54.80
Minimum,1.14 1.48,,-1.95
Day,GTI (Clean) GTI (Soil),GTI (Monthly),,GTI (Clean) vs,GTI (Clean) vs
"",,,,(Soil),(Monthly)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 February '20,2.53 2.53,2.53,,-0.20,0.05
02 February '20,6.14 6.16,6.14,,-0.26,0.11
03 February '20,4.70 4.68,4.54,,0.32,3.48
04 February '20,6.75 6.75,6.71,,-0.03,0.60
05 February '20,6.07 6.07,6.03,,0.02,0.64
06 February '20,5.17 5.18,5.15,,-0.16,0.36
07 February '20,7.64 7.65,7.61,,-0.08,0.41
08 February '20,7.59 7.58,7.55,,0.07,0.50
09 February '20,7.36 7.34,7.31,,0.27,0.66
10 February '20,7.53 7.49,7.46,,0.47,0.83
11 February '20,7.52 7.48,7.45,,0.63,0.91
12 February '20,6.91 6.84,6.82,,0.97,1.24
13 February '20,6.07 6.03,6.00,,0.56,1.10
14 February '20,6.27 6.18,6.16,,1.36,1.76
15 February '20,7.28 7.16,7.13,,1.70,2.07
16 February '20,7.17 7.02,7.01,,1.97,2.18
17 February '20,7.42 7.24,7.22,,2.41,2.65
18 February '20,7.52 7.49,7.47,,0.30,0.63
19 February '20,6.83 6.79,6.76,,0.52,0.91
20 February '20,7.07 7.01,6.97,,0.91,1.38
21 February '20,6.57 6.48,6.46,,1.35,1.69
22 February '20,6.78 6.67,6.63,,1.70,2.18
23 February '20,7.40 7.23,7.20,,2.26,2.68
24 February '20,7.12 6.92,6.90,,2.79,3.08
25 February '20,5.36 5.16,5.15,,3.62,3.82
26 February '20,6.69 6.47,6.44,,3.22,3.77
27 February '20,5.92 5.69,5.65,,3.84,4.49
28 February '20,5.98 5.72,5.68,,4.29,4.89
