Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-March-20,25.91,25.46,0.00
02-March-20,24.40,25.39,0.00
03-March-20,25.16,24.09,0.00
04-March-20,22.05,24.10,10.20
05-March-20,24.30,25.14,0.60
06-March-20,26.24,25.33,4.60
07-March-20,26.16,26.00,1.80
08-March-20,25.58,25.65,10.60
09-March-20,21.38,24.20,2.40
10-March-20,23.93,25.12,0.00
11-March-20,24.56,24.59,15.20
12-March-20,24.49,24.45,0.80
13-March-20,25.43,24.58,0.00
14-March-20,25.43,24.60,0.00
15-March-20,24.57,25.16,18.60
16-March-20,22.52,24.36,0.60
17-March-20,22.73,24.26,1.00
18-March-20,22.88,24.63,22.00
19-March-20,23.33,24.07,0.60
20-March-20,25.40,24.28,0.00
21-March-20,25.05,24.49,0.00
22-March-20,25.05,24.30,0.00
23-March-20,25.18,23.40,0.00
24-March-20,24.61,24.43,0.00
25-March-20,23.26,23.87,0.00
26-March-20,23.98,22.01,0.00
27-March-20,22.56,22.58,25.40
28-March-20,21.49,23.78,2.00
29-March-20,22.24,23.68,0.00
30-March-20,24.92,23.72,0.20
31-March-20,25.25,24.28,0.00
Average,24.19,24.39,
Maximum,26.24,26.00,25.40
Minimum,21.38,22.01,0.00
Total,,,116.60
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 March '20,6.72 6.75,5.86,,-0.44,12.79
02 March '20,4.26 4.28,5.22,,-0.39,-22.49
03 March '20,4.99 5.01,5.09,,-0.36,-1.86
04 March '20,1.91 1.92,2.14,,-0.52,-12.26
05 March '20,7.13 7.20,7.24,,-0.89,-1.45
06 March '20,7.89 7.92,7.54,,-0.45,4.36
07 March '20,7.60 7.64,7.40,,-0.48,2.60
08 March '20,7.34 7.38,6.65,,-0.53,9.44
09 March '20,3.32 3.33,2.95,,-0.42,11.21
10 March '20,6.53 6.56,6.61,,-0.47,-1.22
11 March '20,7.38 7.41,6.84,,-0.34,7.26
12 March '20,6.46 6.49,6.79,,-0.37,-5.01
13 March '20,6.83 6.85,6.65,,-0.38,2.61
14 March '20,5.98 6.01,6.91,,-0.43,-15.48
15 March '20,5.98 6.01,5.71,,-0.45,4.50
16 March '20,5.34 5.36,5.42,,-0.38,-1.54
17 March '20,5.38 5.40,5.38,,-0.33,0.06
18 March '20,5.37 5.40,5.63,,-0.51,-4.71
19 March '20,7.46 7.49,7.24,,-0.43,2.88
20 March '20,7.90 7.93,7.54,,-0.45,4.60
21 March '20,6.29 6.32,6.68,,-0.47,-6.20
22 March '20,7.17 7.20,7.01,,-0.42,2.24
23 March '20,7.15 7.18,6.89,,-0.37,3.67
24 March '20,6.33 6.35,6.46,,-0.41,-2.15
25 March '20,5.91 5.95,5.63,,-0.58,4.72
26 March '20,6.67 6.69,6.70,,-0.37,-0.55
27 March '20,4.39 4.41,3.73,,-0.45,15.07
28 March '20,4.36 4.37,4.17,,-0.33,4.23
29 March '20,4.43 4.44,4.94,,-0.30,-11.62
30 March '20,7.75 7.78,7.55,,-0.48,2.53
31 March '20,6.95 6.97,7.33,,-0.33,-5.42
Average,6.10 6.13,6.06,,0.44*,6.02*
Maximum,7.90 7.93,7.55,,-0.89,-22.49
Minimum,1.91 1.92,2.14,,-0.30,0.06
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 March '20,2.22 2.90,,-30.43
02 March '20,2.88 3.21,,-11.18
03 March '20,3.59 3.75,,-4.46
04 March '20,1.50 1.90,,-26.49
05 March '20,2.00 2.37,,-18.50
06 March '20,1.32 1.91,,-44.76
07 March '20,1.72 2.10,,-22.36
08 March '20,2.71 2.68,,1.07
