Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-May-20,23.71,22.03,0.00
02-May-20,22.13,22.47,0.00
03-May-20,23.27,23.29,1.20
04-May-20,23.90,21.99,0.00
05-May-20,23.03,23.60,1.40
06-May-20,23.90,24.23,20.80
07-May-20,23.83,23.89,6.60
08-May-20,22.70,21.93,11.40
09-May-20,23.98,22.51,0.40
10-May-20,23.16,22.97,2.60
11-May-20,24.79,22.70,0.00
12-May-20,23.92,23.08,0.00
13-May-20,23.76,24.00,0.40
14-May-20,24.89,23.19,0.00
15-May-20,23.99,23.79,0.00
16-May-20,24.62,24.15,0.00
17-May-20,24.17,24.27,0.20
18-May-20,23.79,22.94,3.20
19-May-20,24.09,22.59,7.00
20-May-20,25.06,22.94,0.00
21-May-20,24.53,23.52,0.00
22-May-20,22.25,21.09,10.20
23-May-20,23.84,23.58,7.20
24-May-20,23.97,23.93,7.20
25-May-20,25.04,24.12,0.00
26-May-20,25.11,24.15,1.80
27-May-20,24.90,23.17,0.00
28-May-20,25.43,23.83,0.00
29-May-20,24.71,23.78,2.40
30-May-20,24.07,21.34,16.80
31-May-20,23.88,21.98,3.60
Average,24.01,23.13,
Maximum,25.43,24.27,20.80
Minimum,22.13,21.09,0.00
Total,,,104.40
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 May '20,7.10 7.13,7.13,,-0.42,-0.51
02 May '20,3.31 3.32,3.34,,-0.34,-0.79
03 May '20,4.61 4.63,5.50,,-0.30,-19.17
04 May '20,6.16 6.18,5.92,,-0.30,3.86
05 May '20,5.38 5.40,6.17,,-0.43,-14.75
06 May '20,6.75 6.79,6.87,,-0.54,-1.81
07 May '20,5.48 5.51,6.73,,-0.53,-22.81
08 May '20,5.09 5.11,4.76,,-0.32,6.46
09 May '20,5.67 5.69,6.19,,-0.35,-9.14
10 May '20,5.33 5.43,5.61,,-1.77,-5.31
11 May '20,6.25 6.27,6.27,,-0.37,-0.33
12 May '20,5.94 5.97,5.78,,-0.45,2.75
13 May '20,5.89 5.91,6.45,,-0.34,-9.54
14 May '20,6.38 6.41,6.25,,-0.40,2.07
15 May '20,4.25 4.27,4.98,,-0.41,-17.24
16 May '20,6.87 6.87,6.43,,0.05,6.40
17 May '20,5.53 5.55,5.51,,-0.39,0.24
18 May '20,5.51 5.54,5.82,,-0.40,-5.64
19 May '20,5.99 6.01,5.72,,-0.35,4.39
20 May '20,6.18 6.21,6.63,,-0.40,-7.31
21 May '20,4.86 4.89,5.96,,-0.66,-22.59
22 May '20,4.96 4.98,4.28,,-0.30,13.75
23 May '20,5.79 5.83,5.95,,-0.71,-2.74
24 May '20,6.32 6.35,6.62,,-0.48,-4.67
25 May '20,6.74 6.76,6.57,,-0.41,2.42
26 May '20,6.38 6.40,6.40,,-0.38,-0.34
27 May '20,6.57 6.59,6.74,,-0.38,-2.61
28 May '20,5.98 6.01,6.16,,-0.46,-2.98
29 May '20,6.42 6.44,6.33,,-0.39,1.36
30 May '20,6.19 6.21,6.43,,-0.33,-3.81
31 May '20,5.66 5.68,5.82,,-0.40,-2.85
Average,5.79 5.82,5.98,,0.44*,6.47*
Maximum,7.10 7.13,7.13,,-1.77,-22.81
Minimum,3.31 3.32,3.34,,0.05,0.24
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 May '20,1.46 1.45,,0.52
02 May '20,2.81 2.63,,6.33
03 May '20,2.23 2.61,,-16.80
04 May '20,1.45 1.98,,-36.06
05 May '20,2.04 2.43,,-18.91
06 May '20,2.02 2.03,,-0.56
07 May '20,1.92 2.07,,-7.85
08 May '20,2.49 2.52,,-1.04
09 May '20,1.67 2.51,,-50.18
10 May '20,2.40 2.68,,-11.60
11 May '20,2.00 2.39,,-19.40
12 May '20,2.11 2.66,,-26.28
13 May '20,1.80 2.09,,-15.91
14 May '20,1.74 2.44,,-39.93
15 May '20,3.10 2.93,,5.24
16 May '20,1.70 2.39,,-40.03
17 May '20,2.05 2.45,,-19.52
18 May '20,2.52 2.68,,-6.35
19 May '20,2.42 2.12,,12.08
20 May '20,1.69 2.20,,-30.44
21 May '20,2.02 2.76,,-36.25
22 May '20,2.86 2.24,,21.77
23 May '20,1.56 2.31,,-47.75
24 May '20,1.80 2.20,,-22.05
25 May '20,1.77 2.34,,-32.11
26 May '20,1.85 2.44,,-31.46
27 May '20,1.57 2.00,,-27.77
28 May '20,1.69 2.49,,-47.62
29 May '20,2.10 2.45,,-16.75
30 May '20,1.81 2.39,,-32.35
31 May '20,2.40 2.26,,5.58
Average,2.03 2.36,,22.14*
Maximum,3.10 2.93,,-50.18
Minimum,1.45 1.45,,0.52
Day,GTI (Clean) GTI (Soil),GTI (Monthly),,GTI (Clean) vs,GTI (Clean) vs
"",,,,(Soil),(Monthly)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 May '20,6.32 6.33,6.33,,-0.13,-0.18
02 May '20,3.12 3.13,3.13,,-0.04,-0.11
03 May '20,4.19 4.18,4.19,,0.07,-0.14
04 May '20,5.56 5.55,5.56,,0.26,0.00
05 May '20,4.82 4.80,4.83,,0.30,-0.20
06 May '20,5.98 5.97,5.99,,0.06,-0.21
07 May '20,4.84 4.84,4.85,,0.11,-0.22
08 May '20,4.69 4.69,4.69,,0.02,0.00
09 May '20,5.10 5.11,5.11,,-0.09,-0.10
10 May '20,4.81 4.81,4.82,,0.10,-0.08
11 May '20,5.55 5.55,5.56,,0.03,-0.13
12 May '20,5.28 5.29,5.28,,-0.06,-0.01
13 May '20,5.23 5.22,5.21,,0.16,0.26
14 May '20,5.65 5.65,5.64,,-0.01,0.17
15 May '20,3.94 3.94,3.92,,0.01,0.55
16 May '20,5.98 5.96,5.93,,0.34,0.76
17 May '20,4.94 4.90,4.88,,0.76,1.22
18 May '20,4.91 4.91,4.88,,-0.13,0.46
19 May '20,5.23 5.26,5.23,,-0.42,-0.02
20 May '20,5.35 5.36,5.34,,-0.15,0.15
21 May '20,4.36 4.36,4.35,,-0.03,0.26
22 May '20,4.44 4.46,4.44,,-0.48,0.03
23 May '20,4.97 4.97,4.95,,0.06,0.29
24 May '20,5.45 5.46,5.45,,-0.26,-0.04
25 May '20,5.78 5.79,5.78,,-0.10,0.08
26 May '20,5.51 5.51,5.49,,0.08,0.37
27 May '20,5.62 5.63,5.62,,-0.13,0.09
28 May '20,5.16 5.16,5.14,,-0.03,0.34
29 May '20,5.57 5.57,5.54,,0.16,0.56
30 May '20,5.34 5.34,5.33,,-0.11,0.11
31 May '20,4.93 4.95,4.93,,-0.26,0.07
Average,5.12 5.12,5.11,,0.16*,0.23*
Maximum,6.32 6.33,6.33,,0.76,1.22
Minimum,3.12 3.13,3.13,,-0.01,0.00
