Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-June-20,24.17,23.12,0.00
02-June-20,24.37,23.19,0.00
03-June-20,24.30,22.65,0.00
04-June-20,23.73,22.98,0.00
05-June-20,23.87,23.77,0.00
06-June-20,23.83,22.65,0.00
07-June-20,24.50,22.09,0.00
08-June-20,22.01,23.45,0.60
09-June-20,23.83,20.58,2.20
10-June-20,22.39,22.35,10.00
11-June-20,22.88,23.17,0.00
12-June-20,22.36,23.18,4.40
13-June-20,22.85,22.26,0.00
14-June-20,23.44,21.67,0.00
15-June-20,21.75,21.43,0.00
16-June-20,23.54,23.03,0.00
17-June-20,24.14,22.21,1.60
18-June-20,24.31,21.84,0.00
19-June-20,23.06,22.91,2.80
20-June-20,23.60,22.60,1.40
21-June-20,22.81,21.83,0.00
22-June-20,23.20,22.32,0.00
23-June-20,23.96,22.95,0.40
24-June-20,23.08,22.77,13.40
25-June-20,23.40,22.29,0.00
26-June-20,22.28,23.48,0.40
27-June-20,22.76,22.41,0.20
28-June-20,23.47,23.30,9.00
29-June-20,24.02,22.73,0.00
30-June-20,24.69,22.48,0.00
Average,23.42,22.59,
Maximum,24.69,23.77,13.40
Minimum,21.75,20.58,0.00
Total,,,46.40
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 June '20,4.98 5.01,5.16,,-0.47,-3.42
02 June '20,6.48 6.50,6.22,,-0.39,3.95
03 June '20,6.41 6.43,6.19,,-0.34,3.37
04 June '20,5.47 5.49,5.97,,-0.39,-9.01
05 June '20,5.60 5.62,5.89,,-0.35,-5.18
06 June '20,5.42 5.44,5.72,,-0.34,-5.47
07 June '20,6.32 6.34,6.12,,-0.31,3.17
08 June '20,3.34 3.36,2.62,,-0.42,21.75
09 June '20,5.86 5.88,5.47,,-0.32,6.75
10 June '20,4.94 4.96,5.20,,-0.33,-5.21
11 June '20,6.32 6.33,6.34,,-0.15,-0.20
12 June '20,4.79 4.82,5.56,,-0.56,-15.90
13 June '20,6.91 6.93,6.38,,-0.21,7.66
14 June '20,5.42 5.44,5.90,,-0.39,-8.84
15 June '20,3.29 3.31,3.51,,-0.40,-6.62
16 June '20,5.66 5.68,6.09,,-0.36,-7.72
17 June '20,5.99 6.01,6.03,,-0.36,-0.74
18 June '20,6.03 6.05,6.04,,-0.36,-0.21
19 June '20,5.53 5.55,5.72,,-0.38,-3.50
20 June '20,4.73 4.75,5.29,,-0.38,-11.69
21 June '20,5.00 5.01,4.99,,-0.27,0.31
22 June '20,5.31 5.33,5.78,,-0.38,-8.87
23 June '20,5.37 5.40,5.59,,-0.42,-4.10
24 June '20,5.53 5.55,5.62,,-0.42,-1.75
25 June '20,5.19 5.21,5.62,,-0.41,-8.30
26 June '20,4.88 4.90,3.72,,-0.35,23.80
27 June '20,5.57 5.59,5.72,,-0.42,-2.69
28 June '20,6.75 6.78,6.47,,-0.42,4.10
29 June '20,6.20 6.23,6.39,,-0.41,-3.02
30 June '20,6.20 6.22,6.54,,-0.33,-5.43
Average,5.52 5.54,5.59,,0.37*,6.42*
Maximum,6.91 6.93,6.54,,-0.56,23.80
Minimum,3.29 3.31,2.62,,-0.15,-0.20
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 June '20,2.28 2.75,,-20.32
02 June '20,2.08 2.64,,-26.47
03 June '20,2.10 2.39,,-13.93
04 June '20,2.60 2.79,,-7.37
05 June '20,2.98 2.72,,8.71
06 June '20,2.58 2.57,,0.48
07 June '20,2.19 2.37,,-8.36
08 June '20,2.61 2.03,,22.12
09 June '20,1.91 2.69,,-40.76
10 June '20,2.25 2.41,,-7.04
11 June '20,2.08 2.67,,-28.52
12 June '20,2.16 2.28,,-5.47
13 June '20,2.02 2.14,,-5.99
14 June '20,2.30 2.66,,-15.52
15 June '20,2.47 2.43,,1.64
16 June '20,1.85 2.31,,-24.63
17 June '20,2.19 2.49,,-13.75
18 June '20,2.16 2.75,,-27.52
19 June '20,2.48 2.90,,-17.03
20 June '20,2.42 3.08,,-27.54
21 June '20,2.61 2.31,,11.27
22 June '20,2.88 2.93,,-2.01
23 June '20,2.34 2.79,,-18.90
24 June '20,1.88 2.39,,-27.35
25 June '20,2.33 2.51,,-7.83
26 June '20,2.48 2.28,,7.98
27 June '20,2.01 2.21,,-9.62
28 June '20,2.04 2.11,,-3.70
29 June '20,1.96 2.20,,-11.98
30 June '20,2.21 2.34,,-6.09
Average,2.28 2.50,,14.33*
Maximum,2.98 3.08,,-40.76
Minimum,1.85 2.03,,0.48
Day,GTI (Clean) GTI (Soil),GTI (Monthly),,GTI (Clean) vs,GTI (Clean) vs
"",,,,(Soil),(Monthly)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 June '20,4.32 4.33,4.33,,-0.12,-0.11
02 June '20,5.58 5.58,5.58,,0.08,0.07
03 June '20,5.60 5.59,5.59,,0.13,0.23
04 June '20,4.79 4.79,4.78,,0.11,0.38
05 June '20,4.89 4.87,4.86,,0.23,0.60
06 June '20,4.74 4.73,4.70,,0.30,0.87
07 June '20,5.47 5.43,5.40,,0.72,1.21
08 June '20,3.10 3.11,3.10,,-0.19,0.09
09 June '20,5.11 5.10,5.10,,0.24,0.29
10 June '20,4.36 4.37,4.37,,-0.29,-0.18
11 June '20,5.41 5.41,5.41,,0.05,0.09
12 June '20,4.24 4.22,4.21,,0.49,0.56
13 June '20,6.04 6.03,6.03,,0.15,0.17
14 June '20,4.70 4.70,4.70,,0.10,0.14
15 June '20,3.03 3.03,3.03,,0.08,0.19
16 June '20,4.87 4.85,4.85,,0.32,0.40
17 June '20,5.17 5.16,5.16,,0.10,0.13
18 June '20,5.21 5.20,5.19,,0.30,0.39
19 June '20,4.80 4.80,4.80,,0.01,0.01
20 June '20,4.12 4.10,4.10,,0.39,0.41
21 June '20,4.49 4.48,4.47,,0.23,0.38
22 June '20,4.59 4.56,4.55,,0.66,0.85
23 June '20,4.67 4.63,4.62,,0.83,1.02
24 June '20,4.84 4.82,4.83,,0.39,0.29
25 June '20,4.57 4.57,4.57,,0.15,0.19
26 June '20,4.30 4.29,4.29,,0.18,0.31
27 June '20,4.81 4.80,4.80,,0.37,0.20
28 June '20,5.89 5.87,5.87,,0.31,0.33
29 June '20,5.35 5.34,5.34,,0.30,0.20
30 June '20,5.38 5.36,5.36,,0.42,0.40
Average,4.82 4.80,4.80,,0.27*,0.36*
Maximum,6.04 6.03,6.03,,0.83,1.21
Minimum,3.03 3.03,3.03,,0.01,0.01
