Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-July-20,23.63,23.00,0.20
02-July-20,23.33,22.01,0.00
03-July-20,24.34,22.98,0.00
04-July-20,25.20,22.94,0.00
05-July-20,24.87,21.90,0.40
06-July-20,20.84,22.18,3.20
07-July-20,21.34,22.34,2.20
08-July-20,22.30,22.73,0.00
09-July-20,23.30,23.44,0.00
10-July-20,23.72,22.36,0.20
11-July-20,21.69,20.93,0.00
12-July-20,23.35,21.95,0.00
13-July-20,21.84,23.13,1.40
14-July-20,21.37,22.54,20.80
15-July-20,22.41,23.38,1.80
16-July-20,21.23,21.33,0.00
17-July-20,20.89,21.15,0.00
18-July-20,21.64,22.16,0.40
19-July-20,22.67,21.38,0.00
20-July-20,23.39,22.70,0.00
21-July-20,22.76,23.34,4.40
22-July-20,20.62,22.19,3.00
23-July-20,21.16,22.97,3.20
24-July-20,21.92,22.08,0.40
25-July-20,22.55,22.48,0.00
26-July-20,22.48,22.95,0.00
27-July-20,22.63,23.36,0.00
28-July-20,20.47,22.23,22.40
29-July-20,22.77,21.02,0.40
30-July-20,21.90,21.30,29.60
31-July-20,22.91,23.28,0.00
Average,22.44,22.38,
Maximum,25.20,23.44,29.60
Minimum,20.47,20.93,0.00
Total,,,94.00
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 July '20,5.23 5.25,4.96,,-0.37,5.23
02 July '20,4.83 4.85,4.60,,-0.45,4.72
03 July '20,5.71 5.74,6.10,,-0.42,-6.81
04 July '20,6.29 6.31,6.25,,-0.36,0.62
05 July '20,5.30 5.32,5.72,,-0.38,-7.89
06 July '20,2.63 2.63,2.52,,-0.12,4.35
07 July '20,3.60 3.60,3.29,,-0.11,8.38
08 July '20,4.15 4.17,4.18,,-0.39,-0.67
09 July '20,4.57 4.59,4.85,,-0.36,-6.15
10 July '20,NaN NaN,-,,-,-
11 July '20,4.18 4.19,4.28,,-0.29,-2.37
12 July '20,5.83 5.86,6.30,,-0.50,-8.09
13 July '20,4.66 4.67,4.82,,-0.28,-3.44
14 July '20,4.57 4.58,4.24,,-0.24,7.22
15 July '20,5.44 5.46,5.34,,-0.23,1.88
16 July '20,3.20 3.21,2.84,,-0.35,11.17
17 July '20,2.87 2.89,2.74,,-0.48,4.69
18 July '20,3.80 3.81,3.40,,-0.32,10.61
19 July '20,5.95 5.97,6.36,,-0.37,-6.89
20 July '20,5.60 5.62,5.38,,-0.29,4.00
21 July '20,4.41 4.42,4.43,,-0.38,-0.47
22 July '20,2.36 2.37,2.23,,-0.35,5.77
23 July '20,3.93 3.94,4.17,,-0.32,-6.14
24 July '20,4.69 4.71,4.81,,-0.32,-2.49
25 July '20,5.62 5.64,5.39,,-0.40,4.11
26 July '20,4.76 4.78,4.58,,-0.34,3.84
27 July '20,4.37 4.38,3.94,,-0.32,9.79
28 July '20,2.75 2.76,2.39,,-0.29,13.00
29 July '20,6.20 6.22,5.92,,-0.35,4.45
30 July '20,4.66 4.67,5.08,,-0.29,-9.03
31 July '20,5.93 5.95,6.37,,-0.31,-7.39
Average,4.60 4.62,4.58,,0.33*,5.72*
Maximum,6.29 6.31,6.37,,-0.50,13.00
Minimum,2.36 2.37,2.23,,-0.11,-0.47
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 July '20,2.63 2.97,,-13.22
02 July '20,2.66 2.79,,-4.63
03 July '20,2.01 2.47,,-23.14
04 July '20,2.22 2.64,,-18.88
05 July '20,2.32 2.58,,-11.02
06 July '20,2.29 2.03,,11.02
07 July '20,2.49 2.32,,6.79
08 July '20,2.98 2.49,,16.39
09 July '20,3.47 2.60,,25.12
10 July '20,1.55 1.74,,-11.81
11 July '20,2.27 2.43,,-6.90
12 July '20,1.78 2.14,,-20.33
13 July '20,1.97 2.07,,-5.24
14 July '20,2.47 2.32,,5.80
15 July '20,3.04 2.84,,6.68
16 July '20,2.69 2.17,,19.35
17 July '20,2.42 2.19,,9.57
18 July '20,3.26 2.55,,21.66
19 July '20,2.48 2.40,,3.03
20 July '20,2.50 2.49,,0.42
21 July '20,2.47 2.73,,-10.47
22 July '20,2.11 1.86,,11.95
23 July '20,3.02 2.80,,7.27
