Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-August-20,23.93,23.89,0.00
02-August-20,23.40,23.05,0.00
03-August-20,22.66,22.25,11.80
04-August-20,21.92,21.33,4.00
05-August-20,22.57,22.48,0.00
06-August-20,23.49,22.70,0.00
07-August-20,22.77,22.38,0.20
08-August-20,22.45,22.61,0.00
09-August-20,22.42,21.84,0.00
10-August-20,22.73,22.54,0.00
11-August-20,23.70,22.79,0.00
12-August-20,22.51,22.90,0.00
13-August-20,23.64,22.89,0.00
14-August-20,23.51,22.95,41.20
15-August-20,23.45,23.03,6.00
16-August-20,23.21,23.25,0.00
17-August-20,23.45,23.13,0.00
18-August-20,22.85,22.33,1.20
19-August-20,23.80,22.82,0.00
20-August-20,23.49,23.07,19.20
21-August-20,23.18,23.26,0.00
22-August-20,24.42,22.47,0.00
23-August-20,23.58,22.58,2.00
24-August-20,22.93,21.93,1.20
25-August-20,22.58,21.83,0.00
26-August-20,23.30,22.36,0.00
27-August-20,23.86,23.39,12.80
28-August-20,22.70,23.33,1.60
29-August-20,21.84,22.67,23.80
30-August-20,22.36,22.26,0.00
31-August-20,21.57,22.34,0.20
Average,23.04,22.67,
Maximum,24.42,23.89,41.20
Minimum,21.57,21.33,0.00
Total,,,125.20
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 August '20,6.46 6.48,6.75,,-0.31,-4.38
02 August '20,5.97 5.99,6.60,,-0.38,-10.57
03 August '20,5.33 5.35,5.61,,-0.31,-5.33
04 August '20,4.31 4.32,4.45,,-0.31,-3.38
05 August '20,6.48 6.50,6.48,,-0.29,-0.10
06 August '20,5.90 5.92,6.10,,-0.39,-3.39
07 August '20,5.88 5.89,5.78,,-0.28,1.68
08 August '20,5.14 5.16,5.53,,-0.28,-7.54
09 August '20,4.82 4.84,5.51,,-0.35,-14.30
10 August '20,5.74 5.76,6.05,,-0.32,-5.36
11 August '20,6.27 6.29,6.04,,-0.36,3.58
12 August '20,4.32 4.34,4.41,,-0.37,-1.97
13 August '20,6.75 6.78,6.60,,-0.47,2.24
14 August '20,5.63 5.65,5.80,,-0.28,-2.90
15 August '20,6.12 6.14,5.81,,-0.26,5.05
16 August '20,5.91 5.92,5.32,,-0.29,9.98
17 August '20,5.74 5.76,6.16,,-0.36,-7.35
18 August '20,6.25 6.26,6.23,,-0.19,0.32
19 August '20,6.28 6.31,5.66,,-0.55,9.78
20 August '20,6.42 6.44,6.02,,-0.29,6.21
21 August '20,6.68 6.71,7.06,,-0.41,-5.63
22 August '20,6.50 6.52,6.44,,-0.40,0.91
23 August '20,6.32 6.34,6.39,,-0.34,-1.06
