Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-September-20,22.94,22.79,0.00
02-September-20,23.51,23.17,0.00
03-September-20,23.75,23.10,14.00
04-September-20,24.01,22.84,0.60
05-September-20,22.70,22.85,2.40
06-September-20,22.75,22.58,7.60
07-September-20,20.87,23.01,2.20
08-September-20,22.07,22.77,0.00
09-September-20,21.85,23.15,0.20
10-September-20,23.39,22.08,0.00
11-September-20,24.60,23.17,0.00
12-September-20,23.36,23.67,0.80
13-September-20,23.02,23.06,0.00
14-September-20,23.42,23.11,9.60
15-September-20,23.88,23.92,0.00
16-September-20,24.06,23.64,0.20
17-September-20,24.20,23.78,0.00
18-September-20,24.69,24.38,0.00
19-September-20,23.27,23.65,5.60
20-September-20,22.47,23.58,25.00
21-September-20,23.42,23.44,0.00
22-September-20,23.02,23.03,26.60
23-September-20,22.39,22.90,13.60
24-September-20,21.49,23.34,6.60
25-September-20,21.64,23.60,3.60
26-September-20,22.39,22.26,0.60
27-September-20,22.98,23.40,1.60
28-September-20,24.20,24.02,0.00
29-September-20,23.86,23.26,11.60
30-September-20,22.24,23.50,15.20
Average,23.08,23.23,
Maximum,24.69,24.38,26.60
Minimum,20.87,22.08,0.00
Total,,,147.60
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 September '20,7.03 7.06,6.99,,-0.42,0.55
02 September '20,6.46 6.48,6.45,,-0.30,0.11
03 September '20,7.09 7.11,6.34,,-0.31,10.61
04 September '20,7.29 7.32,7.03,,-0.34,3.55
05 September '20,5.55 5.56,5.30,,-0.30,4.38
06 September '20,6.84 6.86,6.65,,-0.30,2.77
07 September '20,3.97 3.98,3.79,,-0.29,4.66
08 September '20,7.09 7.12,6.91,,-0.40,2.44
09 September '20,5.42 5.44,5.53,,-0.41,-1.97
10 September '20,7.10 7.12,6.85,,-0.34,3.55
11 September '20,6.89 6.92,7.03,,-0.32,-1.92
12 September '20,4.74 4.76,5.72,,-0.35,-20.73
13 September '20,6.85 6.87,6.98,,-0.30,-1.88
14 September '20,7.61 7.64,7.35,,-0.36,3.47
15 September '20,6.95 6.97,7.19,,-0.35,-3.39
16 September '20,6.50 6.53,6.97,,-0.44,-7.28
17 September '20,7.63 7.65,7.64,,-0.35,-0.16
18 September '20,7.52 7.54,7.45,,-0.31,0.92
19 September '20,6.56 6.57,6.57,,-0.27,-0.12
20 September '20,7.50 7.53,6.91,,-0.37,7.92
21 September '20,7.56 7.59,7.50,,-0.36,0.86
22 September '20,5.78 5.80,6.34,,-0.35,-9.53
23 September '20,6.29 6.30,6.64,,-0.23,-5.63
24 September '20,4.37 4.39,4.18,,-0.35,4.49
25 September '20,4.84 4.85,4.42,,-0.28,8.62
26 September '20,6.31 6.33,5.73,,-0.42,9.14
27 September '20,6.51 6.53,6.75,,-0.30,-3.70
28 September '20,7.50 7.52,6.87,,-0.33,8.42
29 September '20,6.34 6.36,6.32,,-0.36,0.18
30 September '20,5.42 5.44,6.07,,-0.33,-11.99
Average,6.45 6.47,6.41,,0.34*,4.83*
Maximum,7.63 7.65,7.64,,-0.44,-20.73
Minimum,3.97 3.98,3.79,,-0.23,0.11
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 September '20,2.06 2.04,,0.90
02 September '20,1.70 2.13,,-24.74
03 September '20,1.77 2.25,,-27.02
04 September '20,1.94 2.40,,-23.58
05 September '20,2.97 2.66,,10.46
06 September '20,1.79 2.64,,-47.67
07 September '20,3.16 2.60,,17.66
08 September '20,1.94 2.04,,-5.17
09 September '20,2.11 2.75,,-29.91
10 September '20,1.96 2.42,,-23.50
11 September '20,1.71 2.32,,-35.50
12 September '20,2.18 2.87,,-31.61
13 September '20,1.32 2.19,,-65.94
14 September '20,1.04 1.90,,-82.08
15 September '20,1.70 2.16,,-26.77
16 September '20,2.22 2.16,,2.57
17 September '20,1.10 1.40,,-27.45
18 September '20,1.50 1.60,,-6.41
19 September '20,1.88 2.53,,-34.73
20 September '20,2.20 2.37,,-7.53
21 September '20,1.34 1.79,,-33.29
22 September '20,2.45 2.65,,-8.16
23 September '20,1.88 2.11,,-12.08
24 September '20,2.75 2.99,,-8.84
25 September '20,3.74 2.68,,28.48
26 September '20,3.47 2.99,,13.96
27 September '20,2.17 2.47,,-13.95
28 September '20,1.93 2.70,,-40.02
29 September '20,2.71 3.09,,-13.82
30 September '20,3.01 2.94,,2.36
Average,2.12 2.39,,23.54*
Maximum,3.74 3.09,,-82.08
Minimum,1.04 1.40,,0.90
Day,GTI (Clean) GTI (Soil),GTI (Monthly),,GTI (Clean) vs,GTI (Clean) vs
"",,,,(Soil),(Monthly)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 September '20,6.55 6.45,6.55,,1.38,-0.13
02 September '20,6.01 5.89,6.00,,2.03,0.15
03 September '20,6.53 6.43,6.54,,1.53,-0.13
04 September '20,6.75 6.62,6.73,,2.01,0.32
05 September '20,5.23 5.14,5.23,,1.67,-0.07
06 September '20,6.34 6.22,6.34,,1.87,-0.05
07 September '20,3.82 3.75,3.82,,1.79,-0.01
08 September '20,6.61 6.49,6.61,,1.77,-0.04
09 September '20,5.08 4.98,5.08,,2.11,0.09
10 September '20,6.63 6.52,6.63,,1.71,0.03
11 September '20,6.44 6.30,6.41,,2.07,0.35
12 September '20,4.48 4.38,4.46,,2.32,0.51
13 September '20,6.43 6.29,6.42,,2.07,0.16
14 September '20,7.13 6.98,7.10,,2.07,0.31
15 September '20,6.52 6.39,6.51,,1.99,0.17
16 September '20,6.14 6.00,6.12,,2.23,0.42
17 September '20,7.16 7.01,7.14,,2.10,0.23
18 September '20,7.12 6.95,7.08,,2.34,0.48
19 September '20,6.22 6.04,6.17,,2.87,0.85
20 September '20,7.11 6.96,7.10,,2.16,0.20
