Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-October-20,21.27,22.73,2.80
02-October-20,24.03,23.23,0.00
03-October-20,22.52,23.70,25.60
04-October-20,23.28,23.21,0.40
05-October-20,24.34,23.78,0.00
06-October-20,24.48,23.52,0.00
07-October-20,23.59,23.20,0.00
08-October-20,24.29,24.04,0.00
09-October-20,23.74,24.26,3.80
10-October-20,21.97,23.60,4.20
11-October-20,23.29,23.55,0.00
12-October-20,22.48,23.39,4.20
13-October-20,22.11,23.91,0.40
14-October-20,21.14,23.55,6.60
15-October-20,22.38,23.33,25.40
16-October-20,23.99,23.95,0.00
17-October-20,21.44,23.38,14.00
18-October-20,21.44,22.07,1.00
19-October-20,23.33,22.32,0.00
20-October-20,21.87,23.93,3.40
21-October-20,23.12,23.00,13.20
22-October-20,23.57,23.39,6.20
23-October-20,21.94,23.26,8.80
24-October-20,23.77,23.90,0.00
25-October-20,24.48,24.14,0.40
26-October-20,22.22,23.20,0.20
27-October-20,22.19,22.87,30.80
28-October-20,24.04,23.18,0.60
29-October-20,23.14,22.97,0.20
30-October-20,21.74,23.35,8.00
31-October-20,23.18,23.06,0.00
Average,22.91,23.39,
Maximum,24.48,24.26,30.80
Minimum,21.14,22.07,0.00
Total,,,160.20
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 October '20,4.36 4.38,4.11,,-0.42,5.87
02 October '20,7.38 7.41,7.02,,-0.42,4.88
03 October '20,6.63 6.65,6.48,,-0.35,2.23
04 October '20,7.48 7.52,7.22,,-0.49,3.55
05 October '20,7.53 7.56,7.30,,-0.45,3.04
06 October '20,7.44 7.48,7.55,,-0.46,-1.46
07 October '20,6.36 6.38,6.61,,-0.42,-3.93
08 October '20,7.41 7.43,7.35,,-0.30,0.83
09 October '20,6.63 6.66,6.99,,-0.49,-5.40
10 October '20,5.63 5.65,5.15,,-0.38,8.53
11 October '20,7.19 7.22,7.52,,-0.33,-4.56
12 October '20,5.20 5.22,4.89,,-0.35,5.95
13 October '20,4.99 5.01,4.98,,-0.39,0.34
14 October '20,3.93 3.94,3.79,,-0.33,3.59
15 October '20,6.02 6.05,6.33,,-0.41,-5.07
16 October '20,7.78 7.81,7.52,,-0.46,3.30
17 October '20,3.47 3.47,3.48,,0.08,-0.26
18 October '20,4.46 4.47,5.35,,-0.25,-19.91
19 October '20,6.86 6.90,5.79,,-0.66,15.57
20 October '20,4.65 4.66,4.27,,-0.27,8.10
21 October '20,5.46 5.48,5.32,,-0.40,2.60
22 October '20,6.61 6.66,6.87,,-0.69,-3.81
23 October '20,5.67 5.71,6.00,,-0.73,-5.90
24 October '20,7.37 7.41,7.16,,-0.49,2.86
25 October '20,7.55 7.58,7.40,,-0.32,2.08
26 October '20,3.41 3.42,2.39,,-0.44,30.01
27 October '20,5.78 5.80,4.64,,-0.48,19.75
28 October '20,6.66 6.70,6.35,,-0.47,4.72
29 October '20,6.29 6.32,5.72,,-0.53,9.06
30 October '20,5.32 5.34,4.87,,-0.45,8.37
31 October '20,6.46 6.48,5.97,,-0.46,7.58
Average,6.06 6.09,5.88,,0.42*,6.55*
Maximum,7.78 7.81,7.55,,-0.73,30.01
Minimum,3.41 3.42,2.39,,0.08,-0.26
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 October '20,3.23 2.44,,24.51
02 October '20,1.51 2.31,,-52.70
03 October '20,1.76 1.82,,-2.98
04 October '20,1.82 2.11,,-16.07
05 October '20,1.48 1.76,,-19.41
06 October '20,1.25 1.41,,-13.06
07 October '20,1.67 2.14,,-28.33
08 October '20,1.45 1.73,,-19.17
09 October '20,2.36 2.25,,4.42
10 October '20,3.14 2.69,,14.11
11 October '20,1.33 1.40,,-5.07
12 October '20,3.28 2.63,,19.92
13 October '20,3.68 3.16,,14.33
14 October '20,1.98 1.92,,3.16
15 October '20,2.02 2.21,,-9.33
16 October '20,0.90 1.57,,-74.14
17 October '20,2.78 2.41,,13.28
18 October '20,2.24 2.62,,-16.84
19 October '20,2.48 2.91,,-17.40
20 October '20,2.33 1.97,,15.20
21 October '20,2.82 2.68,,5.07
22 October '20,2.09 2.41,,-15.55
23 October '20,2.61 2.64,,-1.11
24 October '20,1.51 1.97,,-30.58
25 October '20,1.19 1.56,,-31.18
26 October '20,3.23 2.27,,29.71
27 October '20,3.61 2.89,,19.97
28 October '20,2.83 3.05,,-7.49
29 October '20,2.04 2.13,,-4.44
30 October '20,2.63 2.72,,-3.40
31 October '20,2.64 2.56,,3.20
Average,2.25 2.27,,17.26*
Maximum,3.68 3.16,,-74.14
Minimum,0.90 1.40,,-1.11
Day,GTI (Clean) GTI (Soil),GTI (Monthly),,GTI (Clean) vs,GTI (Clean) vs
"",,,,(Soil),(Monthly)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 October '20,4.22 4.14,4.23,,1.97,-0.25
02 October '20,7.08 6.94,7.10,,2.06,-0.24
03 October '20,6.42 6.30,6.43,,1.88,-0.16
04 October '20,7.20 7.05,7.21,,2.09,-0.17
05 October '20,7.28 7.13,7.28,,2.09,-0.05
06 October '20,7.24 7.07,7.22,,2.32,0.26
07 October '20,6.19 6.03,6.17,,2.53,0.37
08 October '20,7.23 7.05,7.19,,2.49,0.52
09 October '20,6.45 6.28,6.40,,2.63,0.69
10 October '20,5.42 5.30,5.42,,2.10,-0.07
11 October '20,7.08 6.91,7.07,,2.33,0.10
12 October '20,5.09 4.96,5.09,,2.53,0.13
13 October '20,4.81 4.69,4.81,,2.47,0.05
14 October '20,3.87 3.77,3.87,,2.58,0.15
15 October '20,5.90 5.79,5.91,,1.92,-0.12
16 October '20,7.68 7.50,7.67,,2.37,0.08
17 October '20,3.40 3.33,3.40,,2.16,-0.14
18 October '20,4.41 4.29,4.40,,2.56,0.12
19 October '20,6.73 6.56,6.72,,2.64,0.27
20 October '20,4.61 4.49,4.59,,2.46,0.25
21 October '20,5.37 5.25,5.37,,2.34,0.07
22 October '20,6.56 6.40,6.56,,2.46,0.12
23 October '20,5.58 5.43,5.57,,2.63,0.18
24 October '20,7.35 7.18,7.35,,2.38,0.08
25 October '20,7.53 7.35,7.52,,2.42,0.18
26 October '20,3.37 3.28,3.36,,2.60,0.27
27 October '20,5.73 5.59,5.71,,2.46,0.37
28 October '20,6.62 6.47,6.62,,2.35,0.11
29 October '20,6.35 6.20,6.35,,2.40,0.06
30 October '20,5.29 5.17,5.28,,2.28,0.20
31 October '20,6.43 6.29,6.43,,2.18,-0.03
Average,5.95 5.81,5.95,,2.34*,0.19*
Maximum,7.68 7.50,7.67,,2.64,0.69
