Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-November-20,24.53,23.77,0.00
02-November-20,24.52,23.19,0.00
03-November-20,24.42,23.17,0.00
04-November-20,25.14,23.44,0.00
05-November-20,24.63,23.43,0.00
06-November-20,23.02,23.93,28.60
07-November-20,22.09,22.59,11.60
08-November-20,22.16,23.10,6.00
09-November-20,22.56,23.53,0.20
10-November-20,23.92,22.97,0.00
11-November-20,22.08,23.48,1.40
12-November-20,23.40,23.62,0.00
13-November-20,23.56,23.80,15.00
14-November-20,21.67,23.33,9.00
15-November-20,22.44,23.28,1.20
16-November-20,22.08,23.39,0.00
17-November-20,23.81,23.53,0.00
18-November-20,23.72,23.37,0.00
19-November-20,24.16,24.01,0.00
20-November-20,24.57,24.43,0.00
21-November-20,24.47,24.41,0.00
22-November-20,24.22,24.48,0.00
23-November-20,24.96,24.33,0.00
24-November-20,25.13,24.74,0.00
25-November-20,22.01,23.90,1.40
26-November-20,23.46,24.45,0.00
27-November-20,23.56,24.30,6.00
28-November-20,22.68,24.27,4.40
29-November-20,22.09,23.68,0.00
30-November-20,23.30,23.64,0.00
Average,23.48,23.72,
Maximum,25.14,24.74,28.60
Minimum,21.67,22.59,0.00
Total,,,84.80
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 November '20,7.33 7.37,7.26,,-0.62,0.92
02 November '20,7.16 7.19,7.25,,-0.50,-1.25
03 November '20,7.03 7.08,7.07,,-0.67,-0.53
04 November '20,7.14 7.18,7.12,,-0.54,0.22
05 November '20,6.94 6.98,6.97,,-0.49,-0.44
06 November '20,5.67 5.70,5.51,,-0.49,2.95
07 November '20,5.58 5.61,5.30,,-0.62,4.97
08 November '20,5.38 5.41,5.72,,-0.50,-6.23
09 November '20,6.21 6.25,5.71,,-0.65,8.05
10 November '20,7.15 7.19,6.58,,-0.56,8.00
11 November '20,4.46 4.48,4.01,,-0.50,10.18
12 November '20,6.60 6.64,6.95,,-0.53,-5.20
13 November '20,7.30 7.33,6.72,,-0.47,7.98
14 November '20,5.44 5.47,5.55,,-0.54,-2.04
15 November '20,6.78 6.82,6.24,,-0.64,7.94
16 November '20,4.32 4.35,4.17,,-0.53,3.64
17 November '20,6.79 6.83,6.62,,-0.59,2.56
18 November '20,6.30 6.33,6.48,,-0.40,-2.86
19 November '20,6.99 7.03,6.62,,-0.62,5.29
20 November '20,6.42 6.46,6.38,,-0.54,0.75
21 November '20,6.23 6.26,6.71,,-0.53,-7.61
22 November '20,6.77 6.82,7.13,,-0.68,-5.25
23 November '20,6.95 7.01,7.03,,-0.88,-1.11
24 November '20,6.82 6.87,6.92,,-0.62,-1.34
25 November '20,4.65 4.67,4.24,,-0.60,8.68
26 November '20,6.65 6.69,6.63,,-0.65,0.24
27 November '20,6.64 6.68,6.16,,-0.63,7.31
28 November '20,5.77 5.80,5.81,,-0.41,-0.57
29 November '20,4.27 4.28,3.57,,-0.29,16.46
30 November '20,6.28 6.32,6.39,,-0.64,-1.68
Average,6.27 6.30,6.16,,0.56*,4.41*
Maximum,7.33 7.37,7.26,,-0.88,16.46
Minimum,4.27 4.28,3.57,,-0.29,0.22
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 November '20,0.97 1.72,,-76.23
02 November '20,1.69 1.54,,9.28
03 November '20,1.44 1.44,,0.23
04 November '20,1.32 1.54,,-16.19
05 November '20,1.14 1.90,,-66.79
06 November '20,2.02 2.56,,-26.86
07 November '20,2.93 2.47,,15.77
08 November '20,2.89 2.92,,-0.85
09 November '20,2.71 2.67,,1.67
10 November '20,1.45 2.12,,-46.57
11 November '20,3.34 2.78,,16.69
12 November '20,2.12 1.95,,7.86
13 November '20,1.56 1.94,,-24.72
14 November '20,2.73 2.67,,2.11
15 November '20,1.90 2.26,,-18.87
16 November '20,3.60 3.09,,14.16
17 November '20,2.17 2.55,,-17.36
18 November '20,2.73 2.26,,17.26
19 November '20,1.97 2.42,,-22.81
20 November '20,2.00 2.43,,-21.56
21 November '20,1.79 1.91,,-7.17
22 November '20,1.44 1.67,,-15.67
23 November '20,1.47 1.75,,-19.35
24 November '20,1.63 2.01,,-23.33
25 November '20,3.15 3.00,,4.81
26 November '20,1.64 2.34,,-42.10
27 November '20,1.74 2.36,,-35.54
28 November '20,1.39 1.69,,-21.63
29 November '20,3.47 2.63,,24.16
30 November '20,1.81 2.37,,-31.17
Average,2.07 2.23,,21.63*
Maximum,3.60 3.09,,-76.23
Minimum,0.97 1.44,,0.23
