Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-December-20,24.34,24.46,0.00
02-December-20,24.19,24.16,0.00
03-December-20,23.55,23.91,0.00
04-December-20,23.64,23.70,0.00
05-December-20,23.70,24.99,0.20
06-December-20,24.61,25.10,0.00
07-December-20,23.72,24.68,0.40
08-December-20,22.13,24.54,15.60
09-December-20,23.39,24.89,0.20
10-December-20,24.75,23.93,0.00
11-December-20,24.40,23.93,0.00
12-December-20,24.93,23.40,0.00
13-December-20,24.52,23.53,0.00
14-December-20,24.37,23.32,0.00
15-December-20,24.91,23.46,0.00
16-December-20,25.15,23.57,0.00
17-December-20,25.62,24.05,0.00
18-December-20,24.81,23.97,0.00
19-December-20,24.28,24.88,0.00
20-December-20,24.65,24.41,0.00
21-December-20,25.25,25.35,0.80
22-December-20,24.55,25.27,0.00
23-December-20,24.31,24.75,0.00
24-December-20,24.89,25.65,0.00
25-December-20,24.01,26.10,4.20
26-December-20,25.41,25.95,0.00
27-December-20,25.34,25.22,0.00
28-December-20,25.29,24.64,0.00
29-December-20,25.78,24.60,0.00
30-December-20,26.34,25.33,0.00
31-December-20,23.50,25.07,11.20
Average,24.53,24.54,
Maximum,26.34,26.10,15.60
Minimum,22.13,23.32,0.00
Total,,,32.60
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day 2,kWh/m /day,,%,%
01 December '20,6.89 6.93,6.95,,-0.69,-0.85
02 December '20,6.06 6.10,6.50,,-0.54,-7.15
03 December '20,5.35 5.38,5.80,,-0.53,-8.43
04 December '20,5.33 5.36,5.83,,-0.58,-9.44
05 December '20,6.04 6.08,6.64,,-0.77,-10.01
06 December '20,7.25 7.30,7.00,,-0.65,3.45
07 December '20,6.46 6.49,6.34,,-0.56,1.79
08 December '20,4.79 4.81,4.42,,-0.49,7.62
09 December '20,7.01 7.06,6.90,,-0.70,1.52
10 December '20,6.59 6.63,6.70,,-0.58,-1.59
11 December '20,6.70 6.74,6.90,,-0.61,-2.93
12 December '20,7.24 7.29,7.29,,-0.65,-0.70
13 December '20,6.49 6.53,6.86,,-0.59,-5.57
14 December '20,6.51 6.55,7.06,,-0.58,-8.41
15 December '20,7.24 7.29,7.28,,-0.62,-0.58
16 December '20,7.17 7.21,7.25,,-0.63,-1.14
17 December '20,6.75 6.79,6.91,,-0.62,-2.49
18 December '20,6.93 6.97,6.66,,-0.58,3.91
19 December '20,5.29 5.31,5.86,,-0.49,-10.80
20 December '20,6.40 6.43,6.32,,-0.42,1.37
21 December '20,6.93 6.97,6.65,,-0.53,4.13
22 December '20,6.83 6.87,6.68,,-0.63,2.25
23 December '20,5.94 5.97,6.12,,-0.52,-3.01
24 December '20,5.98 6.02,6.11,,-0.55,-2.18
25 December '20,5.85 5.88,6.50,,-0.64,-11.14
26 December '20,6.89 6.93,7.00,,-0.47,-1.58
27 December '20,6.97 7.00,7.28,,-0.48,-4.50
28 December '20,7.20 7.24,7.30,,-0.45,-1.33
29 December '20,7.13 7.18,7.24,,-0.73,-1.55
30 December '20,6.95 7.00,6.59,,-0.63,5.31
31 December '20,3.72 3.74,3.63,,-0.37,2.46
Average,6.42 6.45,6.53,,0.58*,4.17*
Maximum,7.25 7.30,7.30,,-0.77,-11.14
Minimum,3.72 3.74,3.63,,-0.37,-0.58
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
