Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-January-21,20.31,24.67,8.40
02-January-21,22.86,25.09,0.00
03-January-21,24.08,25.08,0.00
04-January-21,24.65,25.67,0.00
05-January-21,24.87,25.31,0.00
06-January-21,25.38,25.22,0.00
07-January-21,25.14,25.20,0.00
08-January-21,25.87,25.10,0.00
09-January-21,24.57,25.78,0.00
10-January-21,21.45,25.28,27.60
11-January-21,23.88,25.82,0.00
12-January-21,23.71,26.53,0.00
13-January-21,24.84,26.38,0.00
14-January-21,24.84,26.28,0.00
15-January-21,24.62,26.78,0.80
16-January-21,21.61,25.23,8.00
17-January-21,22.85,25.30,1.00
18-January-21,23.09,25.30,0.00
19-January-21,23.64,26.68,0.00
20-January-21,24.63,26.50,0.00
21-January-21,24.57,25.85,0.00
22-January-21,24.50,25.32,0.00
23-January-21,25.00,25.76,0.00
24-January-21,24.72,26.17,0.00
25-January-21,25.34,25.81,0.00
26-January-21,25.12,25.80,0.00
27-January-21,25.61,25.62,0.00
28-January-21,25.92,25.68,0.00
29-January-21,26.65,26.24,0.00
30-January-21,25.71,26.23,0.00
31-January-21,25.70,26.15,0.00
Average,24.38,25.74,
Maximum,26.65,26.78,27.60
Minimum,20.31,24.67,0.00
Total,,,45.80
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 January '21,3.10 3.11,2.53,,-0.35,18.50
02 January '21,6.03 6.05,6.83,,-0.29,-13.14
03 January '21,6.54 6.58,6.86,,-0.66,-4.88
04 January '21,6.57 6.61,6.64,,-0.65,-1.01
05 January '21,6.51 6.54,6.83,,-0.60,-4.97
06 January '21,7.28 7.32,7.32,,-0.65,-0.60
07 January '21,6.86 6.90,7.12,,-0.65,-3.79
08 January '21,7.08 7.13,7.05,,-0.64,0.48
09 January '21,5.83 5.86,5.92,,-0.57,-1.59
10 January '21,4.34 4.36,5.19,,-0.46,-19.68
11 January '21,5.54 5.58,5.36,,-0.58,3.27
12 January '21,5.32 5.36,6.19,,-0.76,-16.38
13 January '21,6.79 6.83,7.01,,-0.62,-3.29
14 January '21,5.22 5.25,6.13,,-0.54,-17.33
15 January '21,5.87 5.90,6.03,,-0.60,-2.71
16 January '21,4.05 4.08,4.22,,-0.57,-4.14
17 January '21,6.05 6.09,6.37,,-0.63,-5.21
18 January '21,5.29 5.31,5.32,,-0.53,-0.59
19 January '21,4.98 5.01,5.51,,-0.69,-10.65
20 January '21,6.76 6.80,6.80,,-0.56,-0.57
21 January '21,6.25 6.28,6.54,,-0.56,-4.58
22 January '21,6.11 6.13,6.09,,-0.45,0.25
23 January '21,6.42 6.45,5.91,,-0.44,7.97
