Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-February-21,25.67,25.65,0.00
02-February-21,26.45,25.19,0.00
03-February-21,26.87,24.91,0.00
04-February-21,26.56,26.03,0.00
05-February-21,25.47,26.75,0.00
06-February-21,25.04,27.57,0.00
07-February-21,24.66,27.87,0.00
08-February-21,25.02,26.83,0.00
09-February-21,26.60,26.89,0.00
10-February-21,27.47,27.55,0.00
11-February-21,24.22,26.40,3.40
12-February-21,25.33,26.35,0.00
13-February-21,23.53,26.79,3.40
14-February-21,25.71,26.50,0.00
15-February-21,27.38,26.78,0.00
16-February-21,25.69,28.33,0.00
17-February-21,25.54,27.46,0.00
18-February-21,25.48,26.95,0.00
19-February-21,24.52,26.49,0.00
20-February-21,24.68,27.16,0.00
21-February-21,25.90,26.10,0.00
22-February-21,24.11,25.51,0.00
23-February-21,25.14,25.57,0.00
24-February-21,23.94,25.45,2.00
25-February-21,24.56,26.70,0.00
26-February-21,26.41,26.91,0.00
27-February-21,26.56,26.93,0.00
28-February-21,27.29,27.20,0.00
Average,25.56,26.60,
Maximum,27.47,28.33,3.40
Minimum,23.53,24.91,0.00
Total,,,8.80
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 February '21,7.45 7.49,7.62,,-0.51,-2.26
02 February '21,7.56 7.60,7.47,,-0.49,1.26
03 February '21,7.63 7.67,7.66,,-0.54,-0.41
04 February '21,7.26 7.30,7.40,,-0.46,-1.87
05 February '21,5.95 5.97,5.27,,-0.44,11.44
06 February '21,5.83 5.86,6.73,,-0.48,-15.38
07 February '21,5.37 5.40,6.89,,-0.51,-28.27
08 February '21,5.96 5.99,6.99,,-0.48,-17.20
09 February '21,6.33 6.36,7.06,,-0.53,-11.53
10 February '21,6.69 6.72,6.22,,-0.54,6.97
11 February '21,3.45 3.46,3.18,,-0.31,7.75
12 February '21,5.59 5.62,6.02,,-0.51,-7.68
13 February '21,5.43 5.46,5.46,,-0.44,-0.57
14 February '21,6.39 6.41,6.29,,-0.45,1.46
15 February '21,7.12 7.15,7.18,,-0.39,-0.79
16 February '21,5.95 5.97,5.68,,-0.46,4.40
17 February '21,5.27 5.30,5.91,,-0.49,-12.16
18 February '21,5.78 5.80,6.29,,-0.39,-8.81
19 February '21,5.34 5.37,5.40,,-0.41,-0.95
20 February '21,5.83 5.85,6.42,,-0.41,-10.11
21 February '21,5.93 5.96,6.44,,-0.44,-8.62
22 February '21,4.05 4.06,4.16,,-0.35,-2.72
23 February '21,5.79 5.82,6.13,,-0.42,-5.84
24 February '21,5.62 5.64,4.99,,-0.27,11.24
25 February '21,6.67 6.71,7.03,,-0.49,-5.32
26 February '21,6.74 6.77,7.57,,-0.42,-12.26
27 February '21,6.16 6.19,6.74,,-0.48,-9.39
28 February '21,5.93 5.96,6.61,,-0.52,-11.53
Average,6.04 6.07,6.31,,0.45*,7.79*
Maximum,7.63 7.67,7.66,,-0.54,-28.27
Minimum,3.45 3.46,3.18,,-0.27,-0.41
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 February '21,1.75 1.19,,32.06
02 February '21,1.54 1.40,,8.87
03 February '21,1.07 1.25,,-17.04
04 February '21,1.41 1.61,,-13.76
05 February '21,2.90 2.97,,-2.31
06 February '21,2.95 2.86,,3.03
07 February '21,2.95 2.81,,4.73
08 February '21,2.62 2.69,,-2.97
09 February '21,2.27 2.48,,-9.03
10 February '21,2.31 2.77,,-19.80
11 February '21,2.93 2.60,,11.35
12 February '21,2.60 3.01,,-15.75
13 February '21,2.55 2.67,,-4.84
14 February '21,2.83 2.61,,7.73
15 February '21,2.10 2.25,,-6.94
16 February '21,2.92 2.94,,-0.74
17 February '21,3.53 3.13,,11.39
18 February '21,3.32 3.32,,-0.03
19 February '21,4.15 3.41,,17.94
20 February '21,3.79 3.36,,11.31
21 February '21,3.23 3.42,,-5.71
22 February '21,3.06 2.83,,7.35
23 February '21,2.47 2.70,,-9.24
24 February '21,2.81 2.48,,11.82
25 February '21,2.77 2.48,,10.59
26 February '21,1.97 1.81,,8.02
27 February '21,2.23 2.13,,4.41
28 February '21,2.14 2.48,,-15.54
Average,2.61 2.56,,9.80*
Maximum,4.15 3.42,,32.06
Minimum,1.07 1.19,,-0.03
Day,GTI (Clean) GTI (Soil),GTI (Monthly),,GTI (Clean) vs,GTI (Clean) vs
"",,,,(Soil),(Monthly)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 February '21,7.49 6.99,7.48,,6.73,0.09
02 February '21,7.65 7.10,7.61,,7.13,0.53
03 February '21,7.73 7.17,7.67,,7.33,0.82
04 February '21,7.34 6.78,7.26,,7.58,1.05
05 February '21,5.90 5.42,5.81,,8.18,1.58
06 February '21,5.79 5.34,5.67,,7.63,2.06
07 February '21,5.32 4.86,5.14,,8.52,3.35
08 February '21,5.93 5.39,5.68,,9.02,4.22
09 February '21,6.31 5.71,6.00,,9.50,4.94
10 February '21,6.68 6.03,6.33,,9.73,5.29
11 February '21,3.40 3.27,3.38,,3.70,0.59
12 February '21,5.54 5.32,5.48,,3.84,0.98
13 February '21,5.42 5.24,5.40,,3.24,0.35
14 February '21,6.36 6.13,6.31,,3.64,0.81
15 February '21,7.08 6.80,7.00,,3.95,1.17
16 February '21,5.87 5.63,5.78,,4.10,1.55
17 February '21,5.19 4.96,5.10,,4.45,1.81
18 February '21,5.64 5.38,5.51,,4.54,2.24
19 February '21,5.16 4.91,5.00,,4.90,3.09
20 February '21,5.68 5.36,5.43,,5.74,4.44
21 February '21,5.74 5.44,5.49,,5.28,4.33
22 February '21,3.94 3.68,3.71,,6.48,5.80
23 February '21,5.68 5.30,5.33,,6.67,6.27
24 February '21,5.49 5.28,5.41,,3.81,1.29
25 February '21,6.53 6.28,6.45,,3.76,1.29
26 February '21,6.57 6.32,6.47,,3.84,1.51
27 February '21,6.00 5.74,5.87,,4.35,2.19
28 February '21,5.74 5.49,5.62,,4.39,2.21
Average,5.97 5.62,5.83,,5.79*,2.35*
Maximum,7.73 7.17,7.67,,9.73,6.27
Minimum,3.40 3.27,3.38,,3.24,0.09
