Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-April-21,24.92,26.05,0.20
02-April-21,23.42,24.98,0.00
03-April-21,22.80,24.18,19.80
04-April-21,22.88,25.53,4.40
05-April-21,22.23,23.98,7.00
06-April-21,23.27,23.46,1.40
07-April-21,23.30,24.94,3.80
08-April-21,24.35,25.79,0.60
09-April-21,24.18,25.13,26.40
10-April-21,22.65,25.06,0.40
11-April-21,23.21,24.70,0.00
12-April-21,23.49,24.29,2.00
13-April-21,22.19,23.66,0.20
14-April-21,24.08,24.02,3.60
15-April-21,24.73,24.85,0.00
16-April-21,24.52,25.09,0.00
17-April-21,24.41,24.92,1.20
18-April-21,24.69,25.53,9.40
19-April-21,23.94,24.42,4.00
20-April-21,24.17,23.19,0.00
21-April-21,22.62,23.63,0.00
22-April-21,22.58,22.96,0.20
23-April-21,23.34,22.91,0.00
24-April-21,24.19,22.02,0.00
25-April-21,22.42,23.03,9.00
26-April-21,22.17,23.41,0.00
27-April-21,24.04,22.98,0.00
28-April-21,24.63,23.97,0.00
29-April-21,24.76,23.90,0.00
30-April-21,22.92,24.18,21.40
Average,23.57,24.22,
Maximum,24.92,26.05,26.40
Minimum,22.17,22.02,0.00
Total,,,115.00
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 April '21,7.41 7.43,6.81,,-0.29,8.01
02 April '21,5.19 5.20,4.24,,-0.38,18.17
03 April '21,5.04 5.06,5.72,,-0.37,-13.51
04 April '21,5.01 5.04,5.37,,-0.46,-7.02
05 April '21,4.83 4.84,5.53,,-0.33,-14.66
06 April '21,7.07 7.09,7.09,,-0.36,-0.28
07 April '21,6.15 6.17,7.31,,-0.35,-18.93
08 April '21,6.21 6.23,6.88,,-0.32,-10.79
09 April '21,6.53 6.56,7.00,,-0.41,-7.22
10 April '21,6.58 6.60,6.43,,-0.34,2.23
11 April '21,6.58 6.60,6.50,,-0.40,1.20
12 April '21,5.76 5.78,6.37,,-0.44,-10.65
13 April '21,5.81 5.83,5.72,,-0.35,1.51
14 April '21,7.01 7.04,7.06,,-0.39,-0.63
15 April '21,6.76 6.79,6.79,,-0.46,-0.55
16 April '21,6.54 6.56,6.65,,-0.41,-1.65
17 April '21,6.42 6.44,6.39,,-0.39,0.46
18 April '21,6.77 6.79,6.97,,-0.34,-3.01
19 April '21,7.09 7.12,7.16,,-0.39,-0.97
20 April '21,6.60 6.63,6.32,,-0.46,4.24
21 April '21,4.65 4.66,4.75,,-0.33,-2.27
22 April '21,5.12 5.14,5.24,,-0.29,-2.16
23 April '21,6.77 6.80,7.01,,-0.47,-3.57
24 April '21,6.42 6.44,6.86,,-0.37,-6.84
25 April '21,5.12 5.14,5.19,,-0.37,-1.47
26 April '21,4.80 4.82,4.86,,-0.43,-1.25
27 April '21,7.52 7.54,7.10,,-0.36,5.63
28 April '21,6.08 6.11,5.77,,-0.41,5.18
29 April '21,5.76 5.78,6.02,,-0.36,-4.42
30 April '21,6.18 6.21,6.22,,-0.37,-0.54
Average,6.12 6.15,6.24,,0.38*,5.30*
Maximum,7.52 7.54,7.31,,-0.47,-18.93
Minimum,4.65 4.66,4.24,,-0.29,-0.28
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 April '21,1.79 2.75,,-53.19
02 April '21,2.88 2.53,,12.42
03 April '21,1.81 2.57,,-41.82
04 April '21,2.14 2.51,,-17.08
05 April '21,1.79 2.04,,-13.66
06 April '21,1.85 2.25,,-21.76
07 April '21,1.60 1.70,,-5.80
08 April '21,2.30 2.61,,-13.52
09 April '21,1.73 2.57,,-48.47
10 April '21,2.91 2.21,,24.07
11 April '21,1.91 2.70,,-41.23
12 April '21,2.40 2.85,,-18.89
13 April '21,2.89 2.75,,4.65
14 April '21,1.91 2.36,,-23.69
15 April '21,2.27 2.43,,-6.70
16 April '21,2.02 2.24,,-10.78
17 April '21,2.73 2.87,,-5.23
18 April '21,2.54 2.27,,10.83
19 April '21,1.30 1.84,,-40.65
20 April '21,2.25 2.52,,-12.10
21 April '21,2.61 2.80,,-7.32
22 April '21,1.95 2.42,,-24.18
23 April '21,2.48 2.01,,18.74
24 April '21,2.22 1.95,,12.11
25 April '21,3.29 2.85,,13.29
26 April '21,3.49 3.19,,8.83
27 April '21,1.14 1.81,,-59.48
28 April '21,2.36 2.48,,-4.89
29 April '21,3.03 2.59,,14.38
30 April '21,2.83 2.45,,13.16
Average,2.28 2.44,,20.10*
Maximum,3.49 3.19,,-59.48
Minimum,1.14 1.70,,4.65
Day,GTI (Clean) GTI (Soil),GTI (Monthly),,GTI (Clean) vs,GTI (Clean) vs
"",,,,(Soil),(Monthly)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 April '21,6.81 6.67,6.82,,1.97,-0.20
02 April '21,4.86 4.76,4.87,,2.05,-0.05
03 April '21,4.69 4.58,4.69,,2.30,0.10
04 April '21,4.70 4.61,4.70,,1.84,-0.05
05 April '21,4.51 4.42,4.51,,2.08,0.04
06 April '21,6.58 6.46,6.59,,1.82,-0.19
07 April '21,5.69 5.59,5.70,,1.69,-0.20
08 April '21,5.71 5.61,5.71,,1.61,0.00
09 April '21,5.97 5.86,5.96,,1.68,0.12
10 April '21,6.15 6.06,6.16,,1.49,-0.11
11 April '21,6.06 5.96,6.06,,1.69,0.11
12 April '21,5.30 5.21,5.29,,1.66,0.17
13 April '21,5.39 5.32,5.39,,1.21,0.00
14 April '21,6.37 6.28,6.36,,1.43,0.18
15 April '21,6.20 6.11,6.20,,1.33,-0.01
16 April '21,6.03 5.94,6.03,,1.47,0.10
17 April '21,5.82 5.73,5.80,,1.54,0.26
18 April '21,6.21 6.13,6.21,,1.26,0.05
19 April '21,6.47 6.38,6.47,,1.26,-0.04
20 April '21,6.02 5.96,6.03,,1.03,-0.04
21 April '21,4.27 4.21,4.26,,1.45,0.19
22 April '21,4.73 4.66,4.71,,1.59,0.42
23 April '21,6.16 6.07,6.14,,1.43,0.30
24 April '21,5.85 5.77,5.84,,1.31,0.21
25 April '21,4.72 4.65,4.70,,1.37,0.46
26 April '21,4.52 4.47,4.52,,1.01,-0.04
27 April '21,6.70 6.63,6.70,,0.93,-0.07
28 April '21,5.55 5.48,5.54,,1.26,0.26
29 April '21,5.25 5.16,5.23,,1.67,0.42
30 April '21,5.61 5.58,5.62,,0.58,-0.19
Average,5.63 5.55,5.63,,1.50*,0.15*
Maximum,6.81 6.67,6.82,,2.30,0.46
Minimum,4.27 4.21,4.26,,0.58,0.00
