Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-December-21,25.48,25.25,0.00
02-December-21,25.41,25.98,0.40
03-December-21,24.48,25.70,0.00
04-December-21,24.60,26.05,2.80
05-December-21,25.15,25.78,0.00
06-December-21,25.63,26.05,0.00
07-December-21,26.49,26.22,0.00
08-December-21,25.97,26.13,0.00
09-December-21,26.71,26.19,0.00
10-December-21,26.17,26.36,0.00
11-December-21,26.04,25.70,0.00
12-December-21,26.29,26.28,0.00
13-December-21,26.37,26.36,0.00
14-December-21,26.17,26.82,0.00
15-December-21,26.54,26.59,0.00
16-December-21,26.31,26.93,0.00
17-December-21,26.50,26.83,0.00
18-December-21,26.92,26.81,0.00
19-December-21,23.81,27.13,0.60
20-December-21,25.79,26.60,0.00
21-December-21,26.77,26.48,0.00
22-December-21,26.56,26.62,0.00
23-December-21,27.39,26.87,0.00
24-December-21,25.96,26.69,0.00
25-December-21,25.46,26.45,0.00
26-December-21,24.28,26.30,0.00
27-December-21,25.79,26.20,0.00
28-December-21,26.00,26.22,0.00
29-December-21,25.63,26.50,3.80
30-December-21,25.37,26.99,0.00
31-December-21,24.45,26.72,1.00
Average,25.82,26.38,
Maximum,27.39,27.13,3.80
Minimum,23.81,25.25,0.00
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 December '21,6.71 6.74,6.46,,-0.58,3.60
02 December '21,6.58 6.62,6.85,,-0.61,-4.12
03 December '21,4.86 4.89,5.39,,-0.63,-10.89
04 December '21,5.90 5.94,5.99,,-0.67,-1.42
05 December '21,6.24 6.28,6.63,,-0.56,-6.17
06 December '21,6.78 6.83,7.18,,-0.61,-5.87
07 December '21,6.90 6.94,6.88,,-0.62,0.31
08 December '21,6.28 6.32,5.97,,-0.55,5.01
09 December '21,5.76 5.80,5.63,,-0.66,2.27
10 December '21,6.06 6.10,6.47,,-0.63,-6.63
11 December '21,7.20 7.25,7.29,,-0.66,-1.24
12 December '21,7.01 7.06,7.09,,-0.68,-1.09
13 December '21,6.50 6.53,6.18,,-0.59,4.91
14 December '21,6.71 6.75,6.56,,-0.62,2.12
15 December '21,6.07 6.11,6.11,,-0.59,-0.61
16 December '21,7.17 7.22,6.99,,-0.64,2.61
17 December '21,6.64 6.67,6.68,,-0.57,-0.65
18 December '21,6.89 6.94,6.45,,-0.65,6.34
19 December '21,3.72 3.74,2.95,,-0.53,20.63
20 December '21,6.36 6.40,6.14,,-0.68,3.51
21 December '21,5.54 5.58,5.76,,-0.57,-3.94
22 December '21,6.32 6.36,5.92,,-0.53,6.37
23 December '21,6.02 6.06,5.46,,-0.57,9.38
24 December '21,4.70 4.72,5.21,,-0.54,-10.99
25 December '21,4.61 4.63,4.64,,-0.54,-0.63
26 December '21,4.26 4.29,4.71,,-0.63,-10.45
27 December '21,6.24 6.28,6.32,,-0.69,-1.32
28 December '21,5.21 5.24,5.10,,-0.55,2.11
29 December '21,6.83 6.88,6.12,,-0.67,10.44
30 December '21,5.93 5.96,6.22,,-0.51,-4.86
31 December '21,3.10 3.12,2.84,,-0.50,8.52
Average,5.97 6.01,5.94,,0.60*,5.13*
Maximum,7.20 7.25,7.29,,-0.69,20.63
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 December '21,2.37 1.98,,16.34
02 December '21,1.78 1.67,,6.13
03 December '21,2.57 2.63,,-2.30
04 December '21,1.79 1.87,,-4.28
05 December '21,2.02 1.72,,14.84
06 December '21,1.39 1.28,,8.22
07 December '21,1.62 1.79,,-10.67
