Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-February-20,24.43,24.92,0.00
02-February-20,25.88,28.37,0.00
03-February-20,23.23,28.68,3.40
04-February-20,24.17,28.13,1.00
05-February-20,24.13,28.29,0.00
06-February-20,25.48,27.91,0.00
07-February-20,26.69,28.73,0.00
08-February-20,27.57,29.65,0.00
09-February-20,26.26,27.46,0.00
10-February-20,25.79,28.77,0.00
11-February-20,25.86,30.58,0.00
12-February-20,23.89,29.45,0.00
13-February-20,24.29,29.54,0.00
14-February-20,25.56,30.14,0.00
15-February-20,27.17,30.33,0.00
16-February-20,28.15,30.83,0.00
17-February-20,28.79,30.60,0.00
18-February-20,26.81,30.35,3.60
19-February-20,25.06,29.26,0.60
20-February-20,27.25,30.58,0.00
21-February-20,28.06,31.12,0.00
22-February-20,27.61,30.90,0.00
23-February-20,27.64,31.20,0.00
24-February-20,28.36,32.00,0.00
25-February-20,27.13,31.41,0.00
26-February-20,26.15,30.46,0.00
27-February-20,26.86,31.14,0.00
28-February-20,26.71,29.28,0.00
29-February-20,27.14,29.38,0.00
Average,26.28,29.64,
Maximum,28.79,32.00,3.60
Minimum,23.23,24.92,0.00
Total,,,8.60
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 February '20,4.04 4.03,3.73,,0.13,7.76
02 February '20,6.30 6.28,6.68,,0.40,-6.02
03 February '20,3.55 3.54,4.04,,0.22,-13.68
04 February '20,4.98 4.97,4.45,,0.19,10.69
05 February '20,3.12 3.10,3.31,,0.42,-6.07
06 February '20,6.13 6.11,6.47,,0.34,-5.59
07 February '20,6.01 5.98,6.99,,0.60,-16.20
08 February '20,6.57 6.53,7.15,,0.58,-8.78
09 February '20,6.74 6.71,7.41,,0.52,-9.82
10 February '20,6.42 6.39,7.23,,0.55,-12.61
11 February '20,6.43 6.46,7.13,,-0.49,-10.89
12 February '20,6.45 6.43,6.97,,0.26,-8.19
13 February '20,6.01 5.97,6.65,,0.74,-10.58
14 February '20,4.04 4.02,4.43,,0.43,-9.73
15 February '20,6.65 6.61,6.86,,0.53,-3.15
16 February '20,6.69 6.63,6.74,,0.88,-0.78
17 February '20,6.76 6.72,6.37,,0.58,5.83
18 February '20,5.45 5.42,5.93,,0.53,-8.77
19 February '20,6.33 6.31,6.39,,0.32,-0.94
20 February '20,7.07 7.04,7.07,,0.48,0.03
21 February '20,6.75 6.71,7.10,,0.53,-5.21
22 February '20,5.91 5.90,6.36,,0.17,-7.50
23 February '20,5.45 5.42,6.10,,0.55,-11.85
24 February '20,6.48 6.45,7.25,,0.50,-11.78
25 February '20,6.30 6.27,6.52,,0.49,-3.44
26 February '20,6.65 6.62,6.76,,0.49,-1.60
27 February '20,5.42 5.40,6.17,,0.48,-13.75
28 February '20,2.73 2.72,3.40,,0.36,-24.33
29 February '20,5.88 5.85,6.23,,0.47,-5.92
Average,5.77 5.74,6.13,,0.46*,8.33*
