Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-May-20,25.69,25.93,0.00
02-May-20,23.09,26.27,30.40
03-May-20,24.98,26.80,0.00
04-May-20,26.39,27.67,0.00
05-May-20,24.84,28.15,0.00
06-May-20,26.19,27.59,0.60
07-May-20,26.28,27.69,0.00
08-May-20,25.15,26.84,2.80
09-May-20,25.35,26.58,2.40
10-May-20,26.17,26.37,0.80
11-May-20,25.47,25.08,1.20
12-May-20,25.68,23.43,4.20
13-May-20,25.78,26.42,0.20
14-May-20,25.74,27.59,0.60
15-May-20,24.87,28.13,4.20
16-May-20,25.99,27.95,0.00
17-May-20,26.57,27.87,0.20
18-May-20,25.64,27.94,2.20
19-May-20,26.05,26.77,0.00
20-May-20,26.53,26.73,0.00
21-May-20,25.91,27.20,0.00
22-May-20,22.72,26.42,10.00
23-May-20,24.88,27.03,0.00
24-May-20,26.01,27.00,0.00
25-May-20,26.35,27.48,0.00
26-May-20,26.62,27.58,0.00
27-May-20,27.24,27.69,0.00
28-May-20,27.24,26.89,2.00
29-May-20,25.22,27.36,9.20
30-May-20,26.07,26.36,2.00
31-May-20,23.83,26.51,8.80
Average,25.63,26.94,
Maximum,27.24,28.15,30.40
Minimum,22.72,23.43,0.00
Total,,,81.80
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 May '20,5.73 5.71,5.57,,0.28,2.81
02 May '20,3.17 3.17,2.83,,0.00,10.88
03 May '20,5.07 5.07,5.77,,0.11,-13.73
04 May '20,7.27 7.26,7.17,,0.16,1.32
05 May '20,5.86 5.85,5.83,,0.28,0.65
06 May '20,6.63 6.62,6.58,,0.12,0.79
07 May '20,6.88 6.86,6.63,,0.34,3.61
08 May '20,5.17 5.16,5.30,,0.15,-2.65
09 May '20,6.36 6.35,6.35,,0.17,0.19
10 May '20,6.55 6.55,6.57,,0.07,-0.24
11 May '20,6.50 6.49,6.26,,0.16,3.65
12 May '20,6.20 6.17,6.41,,0.36,-3.43
13 May '20,6.54 6.53,6.57,,0.09,-0.45
14 May '20,5.71 5.69,5.80,,0.26,-1.66
15 May '20,5.57 5.57,5.52,,0.02,0.88
16 May '20,6.07 6.06,6.17,,0.21,-1.56
17 May '20,7.02 7.01,6.79,,0.10,3.28
18 May '20,4.79 4.78,4.82,,0.12,-0.62
19 May '20,6.80 6.79,6.69,,0.14,1.56
20 May '20,5.99 5.99,6.03,,-0.05,-0.55
21 May '20,5.71 5.70,5.30,,0.06,7.14
22 May '20,0.98 0.98,0.87,,0.12,10.97
23 May '20,6.75 6.75,6.53,,-0.02,3.28
24 May '20,6.74 6.74,6.67,,-0.01,1.08
