Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-June-20,25.40,26.20,0.00
02-June-20,26.49,27.43,0.20
03-June-20,26.26,25.20,0.20
04-June-20,25.48,25.15,0.20
05-June-20,26.49,25.99,0.00
06-June-20,25.87,27.35,0.00
07-June-20,25.39,26.27,0.00
08-June-20,25.08,27.12,0.00
09-June-20,25.78,26.67,0.60
10-June-20,23.95,27.01,5.60
11-June-20,25.04,27.19,0.00
12-June-20,25.39,26.48,3.40
13-June-20,25.09,25.65,11.20
14-June-20,24.40,26.41,0.20
15-June-20,25.34,25.88,0.60
16-June-20,26.01,26.76,0.20
17-June-20,25.50,26.60,0.00
18-June-20,25.09,26.54,20.80
19-June-20,23.14,27.25,24.20
20-June-20,23.43,26.58,0.00
21-June-20,23.69,25.70,0.00
22-June-20,24.80,26.30,0.00
23-June-20,24.84,27.24,0.00
24-June-20,25.54,26.54,0.00
25-June-20,24.98,26.44,0.00
26-June-20,24.36,26.97,0.00
27-June-20,25.43,27.26,0.00
28-June-20,24.22,26.90,0.20
29-June-20,25.05,26.56,3.40
30-June-20,24.55,26.25,0.00
Average,25.07,26.53,
Maximum,26.49,27.43,24.20
Minimum,23.14,25.15,0.00
Total,,,71.00
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 June '20,6.63 6.63,6.80,,0.07,-2.53
02 June '20,6.25 6.25,6.54,,0.02,-4.68
03 June '20,6.24 6.24,6.15,,0.06,1.53
04 June '20,5.35 5.35,5.51,,0.04,-2.97
05 June '20,6.17 6.17,6.16,,-0.02,0.26
06 June '20,5.14 5.13,5.55,,0.01,-8.12
07 June '20,5.54 5.53,5.48,,0.17,1.00
08 June '20,5.28 5.27,4.70,,0.30,11.03
09 June '20,6.34 6.34,5.92,,0.04,6.70
10 June '20,4.87 4.86,4.51,,0.15,7.47
11 June '20,5.48 5.47,5.75,,0.25,-4.89
12 June '20,5.96 5.95,6.25,,0.19,-4.86
13 June '20,6.23 6.22,6.46,,0.21,-3.69
14 June '20,6.35 6.34,6.26,,0.05,1.42
15 June '20,6.20 6.21,6.02,,-0.04,2.94
16 June '20,6.36 6.35,6.08,,0.02,4.41
17 June '20,4.97 4.96,4.42,,0.14,11.13
18 June '20,5.49 5.47,5.79,,0.31,-5.50
19 June '20,3.48 3.49,3.24,,-0.12,7.06
20 June '20,2.65 2.64,2.26,,0.33,14.73
21 June '20,4.77 4.76,4.82,,0.23,-1.15
22 June '20,5.70 5.69,5.54,,0.17,2.83
23 June '20,5.61 5.60,5.91,,0.21,-5.29
24 June '20,5.91 5.90,5.80,,0.20,1.77
25 June '20,5.52 5.52,5.37,,-0.02,2.74
26 June '20,5.22 5.21,5.14,,0.14,1.52
27 June '20,6.04 6.04,6.17,,0.05,-2.08
28 June '20,5.48 5.47,5.65,,0.12,-3.16
29 June '20,6.12 6.12,6.01,,0.04,1.79
30 June '20,5.01 5.00,5.14,,0.33,-2.45
Average,5.55 5.54,5.51,,0.13*,4.39*
Maximum,6.63 6.63,6.80,,0.33,14.73
Minimum,2.65 2.64,2.26,,0.01,0.26
