Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-July-20,25.04,26.34,0.00
02-July-20,25.64,25.26,0.00
03-July-20,25.66,26.48,0.00
04-July-20,25.53,26.42,0.00
05-July-20,25.40,26.68,0.00
06-July-20,22.69,26.25,3.60
07-July-20,23.55,26.60,0.00
08-July-20,22.99,26.32,11.40
09-July-20,24.78,26.08,0.00
10-July-20,25.66,26.28,1.00
11-July-20,23.80,25.47,8.60
12-July-20,24.34,26.53,19.00
13-July-20,24.23,26.53,0.20
14-July-20,24.12,26.88,24.20
15-July-20,23.36,26.55,0.20
16-July-20,23.03,24.99,2.20
17-July-20,24.48,25.41,0.00
18-July-20,22.11,24.93,26.60
19-July-20,23.80,25.54,0.00
20-July-20,24.53,26.21,0.00
21-July-20,23.09,26.48,0.00
22-July-20,22.22,26.33,8.40
23-July-20,23.96,26.23,0.00
24-July-20,24.38,26.60,0.20
25-July-20,22.68,24.92,12.60
26-July-20,23.47,26.78,1.60
27-July-20,22.82,26.45,0.40
28-July-20,20.91,25.84,7.20
29-July-20,23.70,26.53,0.20
30-July-20,23.79,26.37,2.80
31-July-20,25.01,26.72,0.00
Average,23.90,26.16,
Maximum,25.66,26.88,26.60
Minimum,20.91,24.92,0.00
Total,,,130.40
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 July '20,4.17 4.17,4.40,,0.15,-5.41
02 July '20,5.31 5.30,5.78,,0.11,-8.87
03 July '20,6.06 6.06,6.37,,0.06,-5.03
04 July '20,5.65 5.65,5.80,,-0.02,-2.74
05 July '20,5.68 5.68,5.89,,0.12,-3.61
06 July '20,1.58 1.58,1.60,,0.18,-1.08
07 July '20,3.83 3.83,3.69,,0.17,3.60
08 July '20,3.06 3.05,3.05,,0.17,0.20
09 July '20,5.16 5.14,5.69,,0.22,-10.33
10 July '20,5.73 5.72,5.76,,0.25,-0.57
11 July '20,4.94 4.93,5.54,,0.14,-12.19
12 July '20,6.17 6.16,6.51,,0.10,-5.51
13 July '20,5.72 5.71,5.88,,0.12,-2.91
14 July '20,5.49 5.49,5.86,,0.02,-6.81
15 July '20,4.83 4.82,5.14,,0.34,-6.29
16 July '20,4.63 4.62,4.46,,0.17,3.56
17 July '20,NaN 5.55,-,,,
18 July '20,2.60 3.26,3.07,,-25.24,-17.69
19 July '20,4.86 4.86,5.87,,0.12,-20.75
20 July '20,6.17 6.16,6.26,,0.17,-1.46
21 July '20,4.60 4.59,4.98,,0.17,-8.29
22 July '20,1.88 1.87,1.90,,0.28,-1.23
23 July '20,4.17 4.17,4.79,,0.07,-14.78
24 July '20,4.85 4.85,4.90,,0.11,-1.01
