Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-August-20,25.98,26.87,0.00
02-August-20,24.15,26.14,10.20
03-August-20,23.64,26.54,0.00
04-August-20,24.57,26.72,0.40
05-August-20,24.14,26.13,3.40
06-August-20,24.14,26.18,2.40
07-August-20,25.42,25.61,0.20
08-August-20,24.36,26.12,0.00
09-August-20,23.47,25.00,1.60
10-August-20,21.86,25.56,10.20
11-August-20,24.34,26.13,0.20
12-August-20,24.92,25.76,0.40
13-August-20,25.30,25.67,0.00
14-August-20,25.52,25.91,0.00
15-August-20,25.03,26.95,0.00
16-August-20,24.16,26.09,0.80
17-August-20,24.84,25.90,17.80
18-August-20,24.21,24.65,0.00
19-August-20,24.24,25.61,4.60
20-August-20,23.19,25.04,11.20
21-August-20,24.59,26.16,0.80
22-August-20,23.76,25.38,2.60
23-August-20,24.68,25.32,1.80
24-August-20,24.44,25.12,6.60
25-August-20,23.46,25.32,0.20
26-August-20,23.72,23.97,0.20
27-August-20,23.79,22.29,2.80
28-August-20,24.51,21.97,0.00
29-August-20,23.60,21.32,24.60
30-August-20,24.05,21.39,0.00
31-August-20,23.64,21.36,0.40
Average,24.25,25.10,
Maximum,25.98,26.95,24.60
Minimum,21.86,21.32,0.00
Total,,,103.40
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 August '20,5.92 5.92,6.69,,0.09,-13.04
02 August '20,6.13 6.11,6.60,,0.22,-7.64
03 August '20,4.42 4.42,4.46,,0.00,-1.04
04 August '20,4.70 4.70,5.05,,0.13,-7.37
05 August '20,5.32 5.32,5.83,,0.04,-9.54
06 August '20,5.78 5.77,6.22,,0.15,-7.60
07 August '20,6.19 6.18,6.55,,0.15,-5.88
08 August '20,5.11 5.10,5.19,,0.15,-1.64
09 August '20,3.42 3.41,3.74,,0.27,-9.17
10 August '20,3.75 3.74,4.14,,0.38,-10.40
11 August '20,6.41 6.41,6.66,,0.05,-3.93
12 August '20,6.66 6.64,6.91,,0.16,-3.89
13 August '20,6.35 6.34,6.72,,0.09,-5.84
14 August '20,6.84 6.82,6.89,,0.21,-0.75
15 August '20,6.07 6.06,6.25,,0.20,-2.96
16 August '20,4.80 4.78,4.75,,0.33,1.04
17 August '20,5.56 5.55,5.95,,0.19,-7.07
18 August '20,4.50 4.49,4.91,,0.15,-9.11
19 August '20,5.39 5.38,5.83,,0.15,-8.16
20 August '20,4.11 4.09,4.89,,0.31,-19.04
21 August '20,6.55 6.54,6.42,,0.15,2.01
22 August '20,4.61 4.60,5.03,,0.26,-9.06
23 August '20,6.21 6.20,6.60,,0.14,-6.27
24 August '20,5.20 5.20,4.82,,-0.01,7.25
25 August '20,5.28 5.26,5.75,,0.31,-8.94
26 August '20,6.43 6.42,6.76,,0.16,-5.11
27 August '20,6.15 6.13,6.41,,0.32,-4.18
28 August '20,6.48 6.46,6.67,,0.21,-3.03
29 August '20,6.55 6.53,6.34,,0.27,3.15
30 August '20,6.10 6.09,6.66,,0.09,-9.26
31 August '20,3.48 3.47,3.46,,0.18,0.50
Average,5.50 5.49,5.78,,0.18*,6.25*
Maximum,6.84 6.82,6.91,,0.38,-19.04
Minimum,3.42 3.41,3.46,,0.00,0.50
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 August '20,1.70 2.46,,-44.83
02 August '20,1.59 2.18,,-37.13
03 August '20,2.28 2.18,,4.29
04 August '20,3.14 2.80,,10.85
05 August '20,2.10 2.72,,-29.41
06 August '20,2.58 2.89,,-12.05
07 August '20,2.56 2.48,,3.28
08 August '20,2.93 2.48,,15.48
09 August '20,2.68 2.54,,5.07
10 August '20,2.29 2.33,,-1.61
11 August '20,1.73 2.29,,-32.49
12 August '20,2.00 1.89,,5.50
13 August '20,2.22 2.12,,4.78
14 August '20,2.15 2.00,,7.14
15 August '20,2.69 2.53,,5.90
16 August '20,2.13 2.18,,-2.36
17 August '20,2.63 2.90,,-10.31
18 August '20,3.63 3.20,,11.90
19 August '20,3.23 2.69,,16.83
20 August '20,2.22 2.16,,3.02
21 August '20,2.41 2.16,,10.32
22 August '20,1.87 2.12,,-13.38
23 August '20,2.02 2.75,,-35.88
24 August '20,2.72 2.73,,-0.44
25 August '20,2.03 2.31,,-13.42
26 August '20,1.91 2.31,,-20.98
27 August '20,1.97 1.93,,2.19
28 August '20,1.75 2.05,,-17.22
29 August '20,3.03 2.44,,19.57
30 August '20,2.05 2.18,,-6.56
31 August '20,3.03 2.54,,16.13
Average,2.36 2.40,,13.56*
Maximum,3.63 3.20,,-44.83
Minimum,1.59 1.89,,-0.44
Day,GTI (Clean) GTI (Soil),GTI (Monthly),,GTI (Clean) vs,GTI (Clean) vs
"",,,,(Soil),(Monthly)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 August '20,5.44 5.31,5.43,,2.39,0.12
02 August '20,5.64 5.50,5.62,,2.54,0.30
03 August '20,4.13 4.04,4.11,,2.09,0.51
04 August '20,4.42 4.32,4.39,,2.38,0.69
05 August '20,4.98 4.87,4.96,,2.17,0.54
06 August '20,5.32 5.20,5.27,,2.26,0.91
07 August '20,5.72 5.59,5.68,,2.34,0.71
08 August '20,4.92 4.80,4.88,,2.38,0.75
09 August '20,3.30 3.21,3.27,,2.53,0.83
10 August '20,3.53 3.43,3.50,,2.64,0.72
11 August '20,5.93 5.80,5.88,,2.26,0.79
12 August '20,6.15 6.00,6.10,,2.43,0.83
13 August '20,5.79 5.69,5.77,,1.86,0.39
14 August '20,6.38 6.20,6.30,,2.87,1.27
15 August '20,5.70 5.52,5.61,,3.18,1.62
16 August '20,4.63 4.47,4.54,,3.44,1.98
17 August '20,5.25 5.12,5.20,,2.52,0.98
18 August '20,4.30 4.20,4.26,,2.45,1.04
19 August '20,5.15 5.01,5.09,,2.60,1.06
20 August '20,3.95 3.85,3.92,,2.36,0.73
21 August '20,6.20 6.06,6.15,,2.23,0.80
22 August '20,4.35 4.24,4.31,,2.45,0.73
23 August '20,5.88 5.75,5.84,,2.17,0.75
24 August '20,4.98 4.88,4.94,,2.09,0.76
25 August '20,5.06 4.95,5.02,,2.28,0.74
26 August '20,6.01 5.87,5.96,,2.38,0.82
27 August '20,5.89 5.74,5.83,,2.55,0.88
28 August '20,6.19 6.04,6.14,,2.34,0.77
29 August '20,6.21 6.06,6.16,,2.35,0.82
30 August '20,5.79 5.66,5.74,,2.26,0.86
31 August '20,3.48 3.40,3.45,,2.42,0.95
Average,5.18 5.06,5.14,,2.43*,0.83*
Maximum,6.38 6.20,6.30,,3.44,1.98
Minimum,3.30 3.21,3.27,,1.86,0.12
