Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-September-20,23.04,25.49,0.00
02-September-20,24.02,26.38,1.20
03-September-20,24.08,26.55,0.20
04-September-20,24.48,26.81,0.00
05-September-20,24.68,26.00,0.00
06-September-20,23.58,23.83,0.00
07-September-20,22.79,25.69,0.00
08-September-20,23.78,24.61,0.00
09-September-20,23.75,25.67,16.60
10-September-20,25.17,25.50,0.00
11-September-20,23.43,27.16,0.40
12-September-20,23.04,26.36,0.40
13-September-20,24.19,26.55,21.20
14-September-20,24.78,26.53,0.20
15-September-20,24.22,26.36,3.60
16-September-20,24.20,26.34,0.00
17-September-20,25.02,27.21,0.00
18-September-20,25.24,26.40,22.40
19-September-20,24.21,27.19,1.60
20-September-20,24.44,26.17,0.00
21-September-20,24.54,25.75,4.80
22-September-20,24.74,26.47,0.00
23-September-20,24.14,26.17,0.80
24-September-20,23.50,26.35,1.80
25-September-20,24.15,26.02,0.20
26-September-20,23.98,25.16,1.60
27-September-20,24.57,27.06,4.60
28-September-20,24.33,27.07,12.60
29-September-20,23.70,27.37,1.00
30-September-20,23.77,26.49,0.00
Average,24.12,26.22,
Maximum,25.24,27.37,22.40
Minimum,22.79,23.83,0.00
Total,,,95.20
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 September '20,4.44 4.43,4.79,,0.26,-8.03
02 September '20,4.32 4.31,5.13,,0.12,-18.83
03 September '20,6.66 6.64,6.70,,0.22,-0.70
04 September '20,6.82 6.80,6.79,,0.29,0.42
05 September '20,6.66 6.65,6.75,,0.13,-1.35
06 September '20,5.19 5.18,4.74,,0.32,8.70
07 September '20,2.56 2.55,2.48,,0.19,3.05
08 September '20,6.34 6.33,6.68,,0.24,-5.38
09 September '20,5.60 5.59,5.52,,0.06,1.44
10 September '20,6.94 6.93,7.07,,0.16,-1.84
11 September '20,3.93 3.92,4.27,,0.46,-8.59
12 September '20,5.01 5.00,5.60,,0.19,-11.67
13 September '20,6.39 6.37,6.16,,0.26,3.47
14 September '20,6.36 6.34,7.03,,0.20,-10.62
15 September '20,4.96 4.95,5.06,,0.26,-1.92
16 September '20,6.84 6.82,6.74,,0.24,1.48
17 September '20,6.39 6.38,7.28,,0.15,-13.95
18 September '20,5.93 5.91,5.94,,0.32,-0.12
19 September '20,6.25 6.23,6.23,,0.37,0.33
20 September '20,6.63 6.61,6.94,,0.33,-4.61
21 September '20,7.50 7.48,7.22,,0.23,3.66
22 September '20,7.43 7.41,7.37,,0.28,0.87
23 September '20,3.95 3.94,4.74,,0.33,-19.86
24 September '20,6.08 6.07,6.40,,0.23,-5.19
25 September '20,5.11 5.10,5.18,,0.12,-1.48
26 September '20,5.41 5.41,5.22,,0.11,3.62
27 September '20,7.05 7.02,7.04,,0.42,0.24
28 September '20,6.92 6.91,6.72,,0.21,2.90
29 September '20,6.48 6.45,6.61,,0.32,-2.04
30 September '20,5.74 5.73,6.12,,0.10,-6.59
Average,5.86 5.85,6.02,,0.24*,5.10*
Maximum,7.50 7.48,7.37,,0.46,-19.86
Minimum,2.56 2.55,2.48,,0.06,-0.12
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 September '20,2.34 2.30,,1.65
02 September '20,2.54 2.60,,-2.07
03 September '20,1.95 2.22,,-13.58
04 September '20,1.42 2.17,,-52.52
05 September '20,2.02 2.43,,-20.22
06 September '20,2.75 2.57,,6.31
07 September '20,2.48 2.17,,12.51
08 September '20,2.12 2.02,,4.62
09 September '20,2.21 2.33,,-5.26
10 September '20,1.60 2.43,,-51.43
11 September '20,1.68 2.12,,-25.76
12 September '20,2.02 2.29,,-13.01
13 September '20,2.59 2.56,,1.10
14 September '20,2.19 2.39,,-8.68
15 September '20,1.96 1.85,,5.52
16 September '20,1.91 1.95,,-2.29
