Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-January-21,23.55,27.44,0.00
02-January-21,22.51,27.82,1.40
03-January-21,24.13,28.50,0.00
04-January-21,25.36,29.70,0.00
05-January-21,25.51,30.06,0.00
06-January-21,25.99,30.13,0.00
07-January-21,25.16,29.73,0.00
08-January-21,24.83,30.49,0.00
09-January-21,24.89,29.63,0.00
10-January-21,25.66,29.76,0.00
11-January-21,25.69,30.18,0.00
12-January-21,25.52,30.51,0.00
13-January-21,26.25,30.18,0.00
14-January-21,26.48,29.83,0.00
15-January-21,26.55,30.12,0.00
16-January-21,26.21,29.07,0.00
17-January-21,26.04,29.01,0.00
18-January-21,24.26,30.05,0.00
19-January-21,25.35,29.98,0.00
20-January-21,23.46,30.00,0.00
21-January-21,23.19,29.70,0.00
22-January-21,24.24,29.61,0.00
23-January-21,25.10,29.78,0.00
24-January-21,26.65,29.16,0.20
25-January-21,26.46,29.09,0.00
26-January-21,25.88,29.28,0.20
27-January-21,27.29,30.55,0.40
28-January-21,26.96,30.40,0.00
29-January-21,27.53,30.24,0.00
30-January-21,27.61,30.65,0.00
31-January-21,26.34,30.60,0.00
Average,25.50,29.72,
Maximum,27.61,30.65,1.40
Minimum,22.51,27.44,0.00
Total,,,2.20
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 January '21,4.04 4.04,4.58,,0.12,-13.16
02 January '21,3.98 3.97,3.15,,0.26,20.81
03 January '21,6.61 6.59,6.83,,0.30,-3.41
04 January '21,6.19 6.17,6.31,,0.32,-2.04
05 January '21,6.16 6.14,6.70,,0.37,-8.74
06 January '21,6.40 6.37,6.99,,0.44,-9.30
07 January '21,6.37 6.35,6.85,,0.32,-7.47
08 January '21,5.92 5.91,6.65,,0.23,-12.33
09 January '21,5.22 5.19,5.87,,0.47,-12.58
10 January '21,5.45 5.43,6.41,,0.33,-17.59
11 January '21,5.38 5.37,6.42,,0.22,-19.45
12 January '21,5.48 5.47,6.33,,0.25,-15.49
13 January '21,5.88 5.86,6.48,,0.37,-10.32
14 January '21,5.45 5.43,5.79,,0.32,-6.35
15 January '21,3.48 3.48,3.19,,0.09,8.38
16 January '21,4.88 4.86,5.84,,0.37,-19.72
17 January '21,5.57 5.55,6.42,,0.34,-15.15
18 January '21,5.32 5.31,5.98,,0.24,-12.23
19 January '21,5.48 5.47,6.23,,0.18,-13.81
20 January '21,5.12 5.11,5.71,,0.31,-11.52
21 January '21,5.61 5.59,6.55,,0.25,-16.77
22 January '21,5.40 5.39,6.01,,0.16,-11.33
23 January '21,4.79 4.79,5.35,,0.10,-11.60
24 January '21,5.83 5.80,6.48,,0.43,-11.23
25 January '21,5.87 5.85,6.49,,0.39,-10.56
26 January '21,6.03 6.01,6.79,,0.38,-12.52
27 January '21,6.61 6.59,7.16,,0.24,-8.39
28 January '21,6.35 6.33,7.05,,0.31,-11.03
29 January '21,5.29 5.27,6.71,,0.50,-26.66
30 January '21,6.06 6.05,6.90,,0.31,-13.83
31 January '21,5.48 5.47,6.67,,0.19,-21.61
Average,5.54 5.52,6.16,,0.29*,12.75*
Maximum,6.61 6.59,7.16,,0.50,-26.66
Minimum,3.48 3.48,3.15,,0.09,-2.04
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 January '21,2.25 2.30,,-1.88
02 January '21,2.30 1.93,,16.26
03 January '21,1.31 1.69,,-28.71
04 January '21,2.06 2.04,,1.02
05 January '21,1.78 1.81,,-1.66
06 January '21,1.46 1.52,,-4.07
07 January '21,1.47 1.88,,-27.85
08 January '21,1.85 2.46,,-32.99
09 January '21,2.21 2.99,,-34.89
10 January '21,2.01 2.79,,-39.17
11 January '21,2.06 2.85,,-38.28
12 January '21,2.11 2.93,,-38.54
13 January '21,2.10 2.76,,-31.41
14 January '21,2.96 3.08,,-4.08
15 January '21,2.16 2.12,,1.92
16 January '21,2.52 3.22,,-27.66
17 January '21,1.96 3.00,,-53.07
18 January '21,2.35 3.21,,-36.75
19 January '21,2.23 3.09,,-38.33
20 January '21,3.08 3.22,,-4.57
21 January '21,2.38 2.76,,-15.89
22 January '21,2.76 2.93,,-6.05
23 January '21,3.23 2.64,,18.44
24 January '21,2.18 2.40,,-9.75
25 January '21,2.54 2.43,,4.60
26 January '21,1.92 2.25,,-17.25
27 January '21,1.79 1.93,,-8.20
28 January '21,2.12 2.09,,1.22
29 January '21,2.02 2.44,,-20.92
30 January '21,1.99 2.36,,-18.86
31 January '21,2.87 2.91,,-1.43
Average,2.20 2.52,,18.90*
Maximum,3.23 3.22,,-53.07
Minimum,1.31 1.52,,1.02
Day,GTI (Clean) GTI (Soil),GTI (Monthly),,GTI (Clean) vs,GTI (Clean) vs
"",,,,(Soil),(Monthly)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 January '21,4.21 4.20,4.21,,0.29,0.10
02 January '21,4.15 4.15,4.16,,0.17,-0.03
03 January '21,7.08 7.06,7.08,,0.25,-0.03
04 January '21,6.59 6.57,6.58,,0.42,0.19
05 January '21,6.57 6.53,6.55,,0.68,0.40
06 January '21,6.85 6.79,6.80,,0.94,0.68
07 January '21,6.81 6.69,6.72,,1.64,1.27
08 January '21,6.28 6.13,6.15,,2.24,1.98
09 January '21,5.50 5.36,5.35,,2.55,2.73
10 January '21,5.75 5.57,5.56,,2.99,3.17
11 January '21,5.66 5.46,5.45,,3.46,3.71
12 January '21,5.77 5.56,5.55,,3.71,3.94
13 January '21,6.21 5.95,5.94,,4.20,4.41
14 January '21,5.68 5.41,5.39,,4.67,5.02
15 January '21,3.64 3.45,3.43,,5.22,5.95
16 January '21,5.09 4.80,4.78,,5.71,6.20
17 January '21,5.86 5.51,5.48,,5.91,6.41
18 January '21,5.55 5.20,5.16,,6.26,7.04
19 January '21,5.74 5.35,5.29,,6.74,7.72
20 January '21,5.27 4.89,4.83,,7.22,8.37
21 January '21,5.83 5.38,5.30,,7.72,9.07
22 January '21,5.60 5.12,5.04,,8.54,10.01
23 January '21,4.94 4.46,4.37,,9.71,11.53
24 January '21,6.13 5.51,5.40,,10.10,11.91
25 January '21,6.13 5.98,5.96,,2.40,2.70
26 January '21,6.31 6.13,6.12,,2.86,3.05
27 January '21,6.94 6.83,6.84,,1.64,1.55
28 January '21,6.65 6.50,6.50,,2.32,2.20
