Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-February-21,25.68,29.27,0.00
02-February-21,26.17,29.31,0.00
03-February-21,26.44,29.47,0.00
04-February-21,27.55,30.35,0.00
05-February-21,27.41,30.56,0.00
06-February-21,25.74,30.43,0.00
07-February-21,23.71,28.85,0.00
08-February-21,23.33,27.89,0.00
09-February-21,24.79,29.47,0.00
10-February-21,26.12,31.27,0.00
11-February-21,27.45,31.60,0.00
12-February-21,27.12,32.39,0.00
13-February-21,27.08,31.40,0.00
14-February-21,27.72,31.36,0.00
15-February-21,28.71,30.52,0.00
16-February-21,27.12,30.44,2.80
17-February-21,28.38,29.56,0.40
18-February-21,27.04,29.45,2.40
19-February-21,24.99,29.48,0.00
20-February-21,24.13,29.29,0.00
21-February-21,25.09,29.97,0.00
22-February-21,26.13,28.86,0.00
23-February-21,25.44,28.05,0.00
24-February-21,26.31,28.54,0.00
25-February-21,23.72,27.65,0.00
26-February-21,25.09,29.43,0.00
27-February-21,27.63,30.45,0.00
28-February-21,28.53,31.28,0.00
Average,26.24,29.88,
Maximum,28.71,32.39,2.80
Minimum,23.33,27.65,0.00
Total,,,5.60
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 February '21,5.73 5.70,7.00,,0.41,-22.15
02 February '21,5.92 5.89,6.79,,0.43,-14.72
03 February '21,6.49 6.45,7.34,,0.51,-13.17
04 February '21,6.08 6.07,7.24,,0.30,-18.92
05 February '21,4.92 4.90,6.47,,0.38,-31.53
06 February '21,5.79 5.77,6.86,,0.28,-18.58
07 February '21,5.93 5.92,7.09,,0.25,-19.43
08 February '21,5.60 5.58,6.88,,0.44,-22.75
09 February '21,6.17 6.14,7.01,,0.39,-13.71
10 February '21,6.19 6.16,6.92,,0.36,-11.88
11 February '21,5.02 5.01,5.63,,0.23,-12.24
12 February '21,6.18 6.15,6.86,,0.39,-11.08
13 February '21,4.37 4.35,5.65,,0.25,-29.37
14 February '21,5.43 5.41,6.68,,0.37,-23.11
15 February '21,5.50 5.47,6.34,,0.48,-15.25
16 February '21,4.74 4.73,4.55,,0.21,3.92
17 February '21,5.33 5.32,5.66,,0.27,-6.08
18 February '21,5.75 5.74,6.45,,0.20,-12.21
19 February '21,4.98 4.97,5.88,,0.22,-18.19
20 February '21,5.70 5.70,6.70,,0.01,-17.51
21 February '21,5.81 5.79,6.65,,0.43,-14.30
22 February '21,5.82 5.80,6.60,,0.25,-13.36
23 February '21,4.15 4.15,4.05,,0.16,2.56
24 February '21,4.64 4.62,5.60,,0.35,-20.64
25 February '21,4.14 4.12,4.68,,0.40,-12.93
26 February '21,6.60 6.58,7.47,,0.36,-13.12
27 February '21,6.42 6.40,7.44,,0.26,-15.85
28 February '21,6.60 6.58,7.60,,0.32,-15.15
Average,5.57 5.55,6.43,,0.32*,15.85*
Maximum,6.60 6.58,7.60,,0.51,-31.53
Minimum,4.14 4.12,4.05,,0.01,2.56
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 February '21,2.51 2.22,,11.64
02 February '21,2.57 2.28,,11.14
03 February '21,1.69 1.62,,4.46
04 February '21,1.80 1.96,,-9.19
05 February '21,2.47 3.09,,-24.96
06 February '21,2.93 2.77,,5.34
07 February '21,2.57 2.58,,-0.23
08 February '21,2.49 2.92,,-17.34
09 February '21,1.88 2.77,,-47.40
10 February '21,2.06 2.80,,-36.08
11 February '21,3.35 3.43,,-2.45
12 February '21,2.24 2.94,,-31.04
13 February '21,3.04 3.43,,-12.57
14 February '21,2.19 2.83,,-28.96
15 February '21,2.28 2.61,,-14.32
16 February '21,3.33 3.26,,1.86
17 February '21,2.96 2.67,,9.95
18 February '21,3.72 3.08,,17.21
19 February '21,4.12 3.59,,12.76
20 February '21,3.68 3.14,,14.61
21 February '21,3.45 3.18,,7.72
22 February '21,2.96 3.19,,-8.07
23 February '21,3.05 2.76,,9.53
24 February '21,2.92 3.33,,-14.21
25 February '21,3.54 3.40,,3.96
26 February '21,2.31 2.22,,3.80
27 February '21,2.41 2.13,,11.37
28 February '21,1.89 1.90,,-0.63
Average,2.73 2.79,,13.31*
Maximum,4.12 3.59,,-47.40
Minimum,1.69 1.62,,-0.23
Day,GTI (Clean) GTI (Soil),GTI (Monthly),,GTI (Clean) vs,GTI (Clean) vs
"",,,,(Soil),(Monthly)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 February '21,5.93 5.64,5.92,,4.92,0.09
02 February '21,6.15 5.77,6.08,,6.16,1.18
03 February '21,6.77 6.32,6.63,,6.64,1.95
04 February '21,6.31 5.85,6.12,,7.28,2.99
05 February '21,5.04 4.62,4.82,,8.41,4.40
06 February '21,5.92 5.45,5.60,,7.88,5.34
07 February '21,6.06 5.56,5.69,,8.12,6.05
08 February '21,5.72 5.22,5.33,,8.72,6.72
09 February '21,6.31 5.74,5.86,,8.94,7.11
10 February '21,6.36 5.74,5.85,,9.66,8.03
11 February '21,5.10 4.56,4.63,,10.50,9.18
12 February '21,6.33 5.64,5.74,,10.96,9.32
13 February '21,4.44 3.93,4.00,,11.39,9.96
14 February '21,5.53 4.89,4.98,,11.43,9.95
15 February '21,5.61 4.93,5.02,,12.03,10.50
16 February '21,4.81 4.75,4.80,,1.15,0.22
17 February '21,5.40 5.33,5.37,,1.38,0.51
18 February '21,5.78 5.72,5.75,,1.05,0.48
19 February '21,4.96 4.87,4.89,,1.82,1.53
20 February '21,5.72 5.54,5.55,,3.15,2.87
21 February '21,5.82 5.60,5.61,,3.85,3.63
22 February '21,5.86 5.59,5.60,,4.54,4.37
23 February '21,4.17 3.96,3.95,,5.14,5.34
24 February '21,4.62 4.39,4.48,,5.01,3.03
25 February '21,4.15 3.90,3.97,,6.07,4.25
26 February '21,6.62 6.18,6.29,,6.53,4.95
27 February '21,6.43 5.95,6.04,,7.42,6.04
28 February '21,6.63 6.10,6.19,,7.87,6.60
Average,5.66 5.28,5.38,,6.72*,4.88*
Maximum,6.77 6.32,6.63,,12.03,10.50
Minimum,4.15 3.90,3.95,,1.05,0.09
