Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-March-21,29.50,31.53,0.00
02-March-21,30.14,31.02,0.00
03-March-21,29.75,30.94,0.00
04-March-21,29.65,30.36,0.00
05-March-21,29.18,29.47,0.00
06-March-21,28.33,29.79,1.80
07-March-21,27.89,30.54,6.60
08-March-21,27.66,29.71,0.00
09-March-21,27.17,29.52,0.00
10-March-21,28.43,30.10,1.00
11-March-21,29.55,30.32,0.00
12-March-21,29.98,29.50,0.00
13-March-21,30.52,29.73,0.00
14-March-21,29.75,29.97,0.00
15-March-21,27.15,29.47,0.00
16-March-21,25.96,28.44,0.60
17-March-21,24.83,28.65,0.00
18-March-21,26.22,27.84,1.40
19-March-21,25.88,27.74,4.20
20-March-21,28.49,28.16,0.00
21-March-21,27.66,29.12,1.00
22-March-21,27.67,28.57,0.20
23-March-21,28.63,29.94,0.00
24-March-21,28.71,29.32,0.00
25-March-21,29.37,28.74,0.00
26-March-21,26.91,30.08,3.20
27-March-21,25.63,28.63,0.00
28-March-21,27.38,27.82,0.00
29-March-21,29.23,28.28,0.00
30-March-21,25.89,27.86,0.00
31-March-21,26.26,27.94,19.20
Average,28.04,29.33,
Maximum,30.52,31.53,19.20
Minimum,24.83,27.74,0.00
Total,,,39.20
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 March '21,6.94 6.92,7.49,,0.33,-7.82
02 March '21,6.60 6.58,7.41,,0.35,-12.29
03 March '21,5.52 5.50,6.17,,0.27,-11.79
04 March '21,5.83 5.81,6.38,,0.28,-9.44
05 March '21,5.47 5.46,6.77,,0.13,-23.90
06 March '21,6.19 6.18,6.64,,0.18,-7.39
07 March '21,5.73 5.71,6.31,,0.33,-9.97
08 March '21,4.52 4.52,5.31,,0.07,-17.37
09 March '21,6.89 6.87,6.71,,0.23,2.60
10 March '21,7.23 7.22,7.49,,0.22,-3.52
11 March '21,7.13 7.11,7.61,,0.30,-6.70
12 March '21,6.58 6.56,7.47,,0.22,-13.55
13 March '21,6.84 6.80,7.39,,0.48,-8.16
14 March '21,6.04 6.03,6.46,,0.28,-6.84
15 March '21,5.39 5.37,4.75,,0.22,11.76
16 March '21,5.95 5.93,5.93,,0.32,0.30
17 March '21,3.82 3.81,4.10,,0.29,-7.42
18 March '21,7.32 7.31,7.29,,0.17,0.36
19 March '21,6.55 6.53,6.50,,0.27,0.78
20 March '21,7.38 7.36,7.25,,0.33,1.81
21 March '21,5.70 5.69,5.84,,0.26,-2.38
22 March '21,6.79 6.78,6.98,,0.26,-2.70
23 March '21,6.58 6.56,7.09,,0.33,-7.74
24 March '21,6.15 6.14,6.53,,0.23,-6.11
25 March '21,7.18 7.17,7.63,,0.19,-6.22
26 March '21,5.84 5.83,6.05,,0.13,-3.67
27 March '21,5.57 5.55,5.89,,0.27,-5.84
28 March '21,6.84 6.83,6.76,,0.20,1.15
29 March '21,5.49 5.47,6.34,,0.27,-15.42
30 March '21,3.68 3.68,3.72,,0.10,-1.01
31 March '21,5.36 5.33,4.99,,0.57,6.83
Average,6.10 6.08,6.43,,0.26*,7.19*
Maximum,7.38 7.36,7.63,,0.57,-23.90
Minimum,3.68 3.68,3.72,,0.07,0.30
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 March '21,1.63 2.26,,-38.45
02 March '21,2.22 2.13,,3.94
03 March '21,3.05 3.02,,0.86
04 March '21,2.77 3.37,,-21.65
05 March '21,2.32 3.18,,-37.23
06 March '21,2.46 2.75,,-11.72
07 March '21,2.43 2.77,,-14.33
08 March '21,2.52 3.18,,-26.18
09 March '21,1.95 3.32,,-69.77
10 March '21,1.61 2.49,,-55.27
11 March '21,1.73 1.89,,-9.18
12 March '21,2.36 1.97,,16.31
13 March '21,2.23 2.20,,1.34
14 March '21,2.47 2.70,,-9.60
15 March '21,3.21 3.03,,5.64
16 March '21,2.11 2.95,,-40.10
17 March '21,2.42 2.21,,8.77
18 March '21,1.66 2.00,,-20.13
19 March '21,2.02 2.11,,-4.48
20 March '21,1.47 1.95,,-32.76
21 March '21,3.19 2.96,,7.35
22 March '21,2.62 2.57,,1.98
23 March '21,2.36 2.54,,-7.65
24 March '21,3.00 2.95,,1.70
25 March '21,1.68 1.81,,-7.43
26 March '21,2.66 2.58,,2.75
27 March '21,3.37 3.07,,8.97
28 March '21,2.59 3.03,,-16.70
29 March '21,3.24 3.28,,-1.05
30 March '21,2.92 2.73,,6.54
31 March '21,2.87 2.96,,-3.03
Average,2.42 2.64,,15.90*
Maximum,3.37 3.37,,-69.77
Minimum,1.47 1.81,,0.86
Day,GTI (Clean) GTI (Soil),GTI (Monthly),,GTI (Clean) vs,GTI (Clean) vs
"",,,,(Soil),(Monthly)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 March '21,6.98 6.41,6.96,,8.18,0.28
02 March '21,6.62 6.05,6.55,,8.56,1.03
03 March '21,5.50 5.06,5.38,,8.01,2.10
04 March '21,5.82 5.33,5.67,,8.29,2.60
05 March '21,5.45 4.94,5.25,,9.37,3.67
06 March '21,6.18 6.09,6.13,,1.53,0.77
07 March '21,5.69 5.69,5.68,,0.12,0.19
08 March '21,4.48 4.43,4.42,,1.10,1.32
09 March '21,6.79 6.71,6.70,,1.10,1.33
10 March '21,7.15 7.14,7.14,,0.15,0.08
11 March '21,7.03 7.02,7.02,,0.16,0.19
12 March '21,6.48 6.39,6.39,,1.38,1.42
13 March '21,6.76 6.60,6.60,,2.28,2.31
14 March '21,5.97 5.78,5.78,,3.14,3.18
15 March '21,5.30 5.11,5.10,,3.62,3.89
16 March '21,5.86 5.65,5.65,,3.49,3.56
17 March '21,3.81 3.77,3.77,,1.02,0.81
18 March '21,7.18 7.15,7.15,,0.40,0.46
19 March '21,6.47 6.44,6.44,,0.37,0.42
20 March '21,7.19 7.17,7.17,,0.36,0.32
21 March '21,5.60 5.57,5.57,,0.63,0.62
22 March '21,6.61 6.59,6.59,,0.39,0.42
23 March '21,6.43 6.39,6.39,,0.62,0.63
24 March '21,5.96 5.93,5.92,,0.54,0.67
25 March '21,6.96 6.88,6.88,,1.05,1.17
26 March '21,5.73 5.71,5.70,,0.34,0.47
27 March '21,5.42 5.39,5.39,,0.56,0.59
28 March '21,6.60 6.54,6.53,,0.86,1.07
29 March '21,5.31 5.24,5.23,,1.27,1.48
30 March '21,3.57 3.45,3.43,,3.20,3.81
31 March '21,5.19 5.01,5.00,,3.58,3.70
