Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-April-21,27.33,28.34,0.00
02-April-21,23.28,27.01,16.40
03-April-21,25.65,27.62,5.80
04-April-21,25.70,28.17,0.00
05-April-21,26.46,28.04,0.40
06-April-21,25.69,26.81,0.00
07-April-21,26.11,27.68,0.00
08-April-21,27.85,28.16,0.00
09-April-21,27.82,27.99,0.00
10-April-21,27.54,28.29,0.80
11-April-21,24.21,27.46,3.40
12-April-21,25.54,27.58,13.80
13-April-21,23.90,26.60,3.20
14-April-21,25.96,26.68,0.00
15-April-21,26.00,27.72,0.00
16-April-21,25.77,27.17,10.60
17-April-21,27.00,27.60,0.00
18-April-21,26.65,27.61,0.00
19-April-21,25.87,27.43,0.00
20-April-21,27.26,27.48,2.40
21-April-21,24.92,26.91,1.40
22-April-21,24.69,26.50,8.80
23-April-21,25.81,26.46,0.00
24-April-21,25.49,25.84,9.00
25-April-21,23.43,26.45,20.60
26-April-21,25.57,25.40,0.00
27-April-21,26.07,26.16,0.00
28-April-21,26.57,25.39,0.00
29-April-21,26.47,27.35,0.00
30-April-21,24.17,27.45,18.00
Average,25.83,27.18,
Maximum,27.85,28.34,20.60
Minimum,23.28,25.39,0.00
Total,,,114.60
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 April '21,7.14 7.13,6.99,,0.08,2.05
02 April '21,5.41 5.40,5.46,,0.27,-0.94
03 April '21,6.66 6.64,6.66,,0.30,0.00
04 April '21,5.97 5.95,6.01,,0.29,-0.73
05 April '21,6.89 6.87,6.61,,0.27,3.98
06 April '21,5.78 5.77,5.91,,0.31,-2.14
07 April '21,6.79 6.78,6.91,,0.25,-1.75
08 April '21,7.20 7.20,6.99,,0.00,3.04
09 April '21,7.45 7.45,7.22,,0.10,3.18
10 April '21,6.60 6.60,6.96,,0.07,-5.39
11 April '21,6.50 6.49,6.14,,0.16,5.47
12 April '21,6.52 6.51,6.02,,0.10,7.73
13 April '21,6.06 6.06,5.90,,-0.07,2.68
14 April '21,6.99 6.99,7.03,,-0.02,-0.56
15 April '21,6.46 6.44,6.10,,0.22,5.61
16 April '21,6.39 6.38,6.03,,0.18,5.64
17 April '21,7.51 7.49,7.36,,0.20,1.94
18 April '21,7.21 7.20,7.19,,0.15,0.32
19 April '21,4.60 4.60,4.45,,-0.09,3.22
20 April '21,6.74 6.73,6.50,,0.05,3.52
21 April '21,3.64 3.63,2.88,,0.22,20.71
22 April '21,4.27 4.28,4.69,,-0.05,-9.82
23 April '21,6.70 6.70,6.46,,0.03,3.70
