Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-October-21,23.44,27.48,0.00
02-October-21,24.74,26.29,5.20
03-October-21,24.57,27.52,2.80
04-October-21,25.04,27.12,0.00
05-October-21,23.38,27.15,0.20
06-October-21,24.80,27.52,0.00
07-October-21,25.07,27.12,1.80
08-October-21,25.94,27.25,0.00
09-October-21,26.17,27.53,2.00
10-October-21,25.92,27.82,3.00
11-October-21,24.82,28.10,3.40
12-October-21,23.16,26.78,39.00
13-October-21,24.78,26.35,0.00
14-October-21,25.65,26.83,1.40
15-October-21,25.66,26.84,0.00
16-October-21,25.84,27.05,0.00
17-October-21,25.01,27.83,0.20
18-October-21,25.50,27.80,0.00
19-October-21,25.16,27.76,0.00
20-October-21,25.23,27.88,0.00
21-October-21,25.10,27.32,3.20
22-October-21,24.84,27.50,0.00
23-October-21,25.49,27.60,4.80
24-October-21,26.25,28.29,1.80
25-October-21,25.06,29.05,0.20
26-October-21,25.88,28.87,0.00
27-October-21,26.05,27.81,0.00
28-October-21,25.54,28.18,2.80
29-October-21,25.72,27.50,1.40
30-October-21,26.31,27.69,4.40
31-October-21,25.55,28.00,0.80
Average,25.22,27.54,
Maximum,26.31,29.05,39.00
Minimum,23.16,26.29,0.00
Total,,,78.40
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 October '21,3.89 3.89,4.72,,0.15,-21.33
02 October '21,6.70 6.69,6.58,,0.06,1.80
03 October '21,6.41 6.41,6.58,,0.03,-2.69
04 October '21,6.65 6.63,6.90,,0.26,-3.75
05 October '21,6.09 6.08,6.43,,0.27,-5.46
06 October '21,6.93 6.92,6.77,,0.20,2.33
07 October '21,7.03 7.02,6.10,,0.12,13.13
08 October '21,6.92 6.91,7.04,,0.17,-1.78
09 October '21,7.08 7.06,7.04,,0.15,0.52
10 October '21,6.35 6.34,6.46,,0.05,-1.84
11 October '21,5.90 5.90,6.25,,0.13,-5.92
12 October '21,4.24 4.24,4.49,,-0.16,-5.98
13 October '21,4.48 4.49,4.93,,-0.12,-9.92
14 October '21,6.77 6.77,7.15,,0.10,-5.56
15 October '21,6.84 6.83,6.88,,0.15,-0.62
16 October '21,7.23 7.22,7.13,,0.24,1.52
17 October '21,6.22 6.21,6.60,,0.22,-6.10
18 October '21,7.94 7.92,6.36,,0.20,19.82
19 October '21,5.84 5.82,5.96,,0.36,-2.04
20 October '21,4.81 4.80,5.16,,0.09,-7.39
21 October '21,5.50 5.50,5.34,,0.09,2.99
22 October '21,6.15 6.13,5.93,,0.30,3.49
23 October '21,6.95 6.93,6.53,,0.35,6.13
24 October '21,7.26 7.23,7.17,,0.33,1.20
25 October '21,7.11 7.09,6.62,,0.33,6.83
26 October '21,7.03 7.01,7.24,,0.27,-2.96
27 October '21,6.29 6.28,6.12,,0.14,2.82
28 October '21,6.72 6.71,6.82,,0.08,-1.51
29 October '21,6.88 6.87,7.00,,0.19,-1.66
30 October '21,6.09 6.08,5.93,,0.19,2.61
31 October '21,6.97 6.95,7.18,,0.26,-3.03
Average,6.36 6.35,6.37,,0.19*,4.99*
Maximum,7.94 7.92,7.24,,0.36,-21.33
Minimum,3.89 3.89,4.49,,0.03,0.52
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 October '21,3.19 3.05,,4.26
02 October '21,2.45 2.63,,-7.18
03 October '21,2.74 2.58,,5.84
04 October '21,1.83 2.08,,-13.92
05 October '21,1.72 2.06,,-19.64
06 October '21,1.64 1.95,,-19.13
07 October '21,1.87 1.89,,-1.25
08 October '21,2.77 1.88,,32.07
09 October '21,1.90 1.68,,11.46
10 October '21,3.47 2.57,,25.94
11 October '21,3.05 2.98,,2.24
12 October '21,2.75 2.73,,0.67
13 October '21,2.92 2.52,,13.73
14 October '21,1.91 1.86,,2.30
15 October '21,1.73 2.20,,-27.18
16 October '21,1.79 1.89,,-5.37
17 October '21,1.71 1.84,,-7.65
18 October '21,2.43 2.51,,-3.15
19 October '21,2.95 2.58,,12.71
20 October '21,3.02 2.72,,9.86
21 October '21,3.09 2.79,,9.91
22 October '21,2.41 2.37,,1.87
23 October '21,2.00 2.30,,-15.19
24 October '21,1.26 1.62,,-28.25
25 October '21,2.69 2.11,,21.65
26 October '21,1.65 1.52,,8.18
27 October '21,3.05 2.67,,12.64
28 October '21,1.88 1.89,,-0.49
29 October '21,1.68 1.66,,1.52
30 October '21,2.45 2.10,,14.39
31 October '21,1.44 1.71,,-19.16
Average,2.30 2.22,,11.57*
Maximum,3.47 3.05,,32.07
Minimum,1.26 1.52,,-0.49
Day,GTI (Clean) GTI (Soil),GTI (Monthly),,GTI (Clean) vs,GTI (Clean) vs
"",,,,(Soil),(Monthly)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 October '21,3.88 3.84,3.87,,0.97,0.15
02 October '21,6.66 6.59,6.63,,1.02,0.39
03 October '21,6.38 6.37,6.38,,0.26,0.07
04 October '21,6.65 6.61,6.65,,0.53,0.02
05 October '21,6.08 6.05,6.07,,0.61,0.16
06 October '21,6.97 6.92,6.94,,0.73,0.43
07 October '21,7.05 7.02,7.04,,0.35,0.15
08 October '21,6.92 6.88,6.89,,0.65,0.43
09 October '21,7.14 7.08,7.09,,0.83,0.72
10 October '21,6.36 6.33,6.35,,0.45,0.19
11 October '21,5.96 5.93,5.95,,0.47,0.17
12 October '21,4.26 4.25,4.25,,0.16,0.23
13 October '21,4.54 4.53,4.53,,0.28,0.34
14 October '21,6.84 6.79,6.81,,0.66,0.38
15 October '21,6.93 6.88,6.92,,0.72,0.27
16 October '21,7.31 7.25,7.27,,0.77,0.49
17 October '21,6.34 6.27,6.29,,1.17,0.76
18 October '21,8.07 7.97,7.99,,1.27,1.00
19 October '21,5.96 5.85,5.88,,1.82,1.27
20 October '21,4.87 4.76,4.78,,2.22,1.87
21 October '21,5.58 5.54,5.56,,0.73,0.39
22 October '21,6.28 6.20,6.24,,1.16,0.60
23 October '21,7.09 7.04,7.07,,0.75,0.38
24 October '21,7.43 7.36,7.40,,0.96,0.48
25 October '21,7.23 7.17,7.20,,0.80,0.39
26 October '21,7.24 7.17,7.20,,1.00,0.53
27 October '21,6.40 6.33,6.35,,1.04,0.75
28 October '21,6.91 6.90,6.90,,0.21,0.09
29 October '21,7.10 7.09,7.10,,0.24,0.02
30 October '21,6.28 6.26,6.27,,0.25,0.19
31 October '21,7.22 7.20,7.22,,0.20,0.00
Average,6.45 6.40,6.42,,0.75*,0.43*
Maximum,8.07 7.97,7.99,,2.22,1.87
Minimum,3.88 3.84,3.87,,0.16,0.00
