Day,Temperature,Temperature (SAT),Rain
"",Degree Celsius,Degree Celsius,mm
01-December-21,25.85,29.33,0.00
02-December-21,26.04,29.15,3.60
03-December-21,26.47,29.44,2.20
04-December-21,26.82,29.68,0.00
05-December-21,26.06,29.54,10.80
06-December-21,26.58,29.36,0.00
07-December-21,26.26,28.55,0.40
08-December-21,24.48,28.32,0.00
09-December-21,26.48,29.58,0.00
10-December-21,25.98,29.54,3.20
11-December-21,26.17,28.23,0.00
12-December-21,24.96,26.78,0.00
13-December-21,24.48,27.78,0.00
14-December-21,25.96,29.64,0.00
15-December-21,26.67,30.46,0.00
16-December-21,27.94,30.53,0.00
17-December-21,26.12,30.10,0.00
18-December-21,26.43,30.66,0.00
19-December-21,26.39,31.38,1.60
20-December-21,25.49,31.13,0.00
21-December-21,26.11,30.20,0.00
22-December-21,27.44,30.59,0.00
23-December-21,27.11,30.47,0.00
24-December-21,27.21,29.98,0.00
25-December-21,27.19,29.49,1.00
26-December-21,25.41,28.75,4.40
27-December-21,25.66,29.61,0.00
28-December-21,27.16,29.72,0.00
29-December-21,27.49,30.21,0.00
30-December-21,27.69,30.63,3.20
31-December-21,27.09,31.08,0.00
Average,26.36,29.67,
Maximum,27.94,31.38,10.80
Minimum,24.48,26.78,0.00
Day,GHI (1) GHI (2),GHI (SAT),,GHI (1) vs (2),GHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 December '21,6.71 6.69,6.92,,0.26,-3.11
02 December '21,6.45 6.44,6.75,,0.19,-4.61
03 December '21,6.56 6.54,6.45,,0.22,1.61
04 December '21,6.39 6.38,6.52,,0.20,-2.01
05 December '21,6.35 6.34,6.31,,0.21,0.66
06 December '21,6.59 6.58,6.84,,0.18,-3.80
07 December '21,6.63 6.61,6.91,,0.19,-4.31
08 December '21,4.75 4.75,5.19,,0.00,-9.06
09 December '21,5.84 5.83,6.22,,0.14,-6.40
10 December '21,5.94 5.93,6.46,,0.21,-8.60
11 December '21,6.46 6.45,6.90,,0.21,-6.79
12 December '21,6.31 6.29,6.63,,0.20,-5.14
13 December '21,6.44 6.42,6.75,,0.24,-4.74
14 December '21,6.39 6.38,6.37,,0.23,0.29
15 December '21,4.24 4.23,5.19,,0.15,-22.29
16 December '21,6.31 6.30,6.26,,0.16,0.78
17 December '21,6.05 6.04,6.58,,0.24,-8.72
18 December '21,6.25 6.24,6.53,,0.20,-4.48
19 December '21,5.75 5.73,6.28,,0.37,-9.17
20 December '21,5.37 5.36,5.96,,0.07,-11.04
21 December '21,4.97 4.95,5.44,,0.29,-9.52
22 December '21,5.60 5.59,6.24,,0.29,-11.33
23 December '21,4.69 4.67,5.45,,0.35,-16.28
24 December '21,5.68 5.68,5.96,,0.04,-4.87
25 December '21,4.80 4.78,5.47,,0.29,-14.00
26 December '21,5.28 5.27,5.94,,0.33,-12.51
27 December '21,5.54 5.52,5.92,,0.38,-6.74
28 December '21,6.50 6.49,6.46,,0.17,0.76
29 December '21,6.24 6.22,6.36,,0.19,-2.05
30 December '21,5.95 5.94,6.46,,0.20,-8.47
31 December '21,4.51 4.51,4.36,,0.07,3.44
Average,5.86 5.84,6.20,,0.21*,6.70*
Maximum,6.71 6.69,6.92,,0.38,-22.29
Day,DHI (1) DHI (SAT),,DHI (1) vs (SAT)
"",2kWh/m 2 /day kWh/m /day,,%
01 December '21,1.20 1.38,,-14.31
02 December '21,1.45 1.64,,-13.47
03 December '21,1.82 2.00,,-9.73
04 December '21,1.74 2.13,,-22.41
05 December '21,2.10 2.35,,-12.22
06 December '21,1.43 1.60,,-11.84
07 December '21,1.32 1.48,,-12.21
08 December '21,3.32 3.08,,7.07
09 December '21,2.24 2.46,,-9.69
10 December '21,1.96 2.09,,-6.49
11 December '21,1.43 1.54,,-7.62
12 December '21,1.98 1.89,,4.76
13 December '21,1.61 1.77,,-9.74
14 December '21,1.68 2.18,,-30.10
15 December '21,2.85 2.90,,-1.96
16 December '21,2.04 2.35,,-14.99
17 December '21,1.71 2.08,,-21.95
18 December '21,1.65 2.16,,-30.84
19 December '21,1.98 2.55,,-29.16
20 December '21,2.08 2.46,,-17.97
21 December '21,3.19 2.87,,9.96
22 December '21,2.25 2.39,,-6.05
23 December '21,2.52 2.64,,-4.41
24 December '21,2.52 2.27,,9.94
25 December '21,2.81 2.33,,17.23
26 December '21,2.04 2.09,,-2.82
27 December '21,2.22 2.37,,-6.49
28 December '21,1.82 1.99,,-9.55
29 December '21,1.62 1.75,,-7.94
30 December '21,2.08 2.29,,-9.84
31 December '21,2.79 2.83,,-1.24
Average,2.05 2.19,,12.07*
Maximum,3.32 3.08,,-30.84
Day,GTI (Clean) GTI (Soil),GTI (Monthly),,GTI (Clean) vs,GTI (Clean) vs
"",,,,(Soil),(Monthly)
"",2kWh/m 2 /day kWh/m 2 /day,kWh/m /day,,%,%
01 December '21,7.18 7.16,7.18,,0.19,-0.09
02 December '21,6.89 6.87,6.89,,0.26,-0.01
03 December '21,6.97 6.95,6.96,,0.31,0.09
04 December '21,6.82 6.79,6.81,,0.53,0.24
05 December '21,6.72 6.69,6.71,,0.42,0.14
06 December '21,7.05 7.01,7.02,,0.65,0.42
07 December '21,7.09 7.04,7.06,,0.68,0.36
08 December '21,4.97 4.96,4.96,,0.13,0.17
09 December '21,6.20 6.18,6.19,,0.27,0.09
10 December '21,6.32 6.29,6.30,,0.53,0.32
11 December '21,6.94 6.89,6.91,,0.80,0.43
12 December '21,6.70 6.62,6.64,,1.12,0.92
13 December '21,6.90 6.78,6.80,,1.76,1.50
14 December '21,6.82 6.69,6.70,,1.98,1.80
15 December '21,4.45 4.45,4.44,,0.15,0.27
16 December '21,6.73 6.71,6.72,,0.25,0.07
17 December '21,6.45 6.43,6.44,,0.31,0.07
18 December '21,6.68 6.66,6.68,,0.28,0.04
19 December '21,6.11 6.09,6.09,,0.42,0.31
20 December '21,5.66 5.63,5.64,,0.50,0.44
21 December '21,5.20 5.14,5.15,,1.09,0.89
22 December '21,5.94 5.86,5.85,,1.25,1.40
23 December '21,4.92 4.83,4.81,,1.83,2.06
24 December '21,6.00 5.85,5.86,,2.47,2.29
25 December '21,5.02 4.97,4.99,,0.94,0.61
26 December '21,5.57 5.53,5.55,,0.66,0.44
27 December '21,5.84 5.78,5.80,,0.98,0.64
28 December '21,6.96 6.88,6.89,,1.18,0.98
29 December '21,6.65 6.55,6.56,,1.47,1.38
30 December '21,6.31 6.24,6.25,,1.16,0.92
31 December '21,4.68 4.66,4.66,,0.46,0.49
Average,6.22 6.17,6.18,,0.81*,0.64*
Maximum,7.18 7.16,7.18,,2.47,2.29
