datetime,ghi,location,latitude,longitude
2020-02-01,2550.0,soroti,1.7153,33.6186
2020-02-02,6100.0,soroti,1.7153,33.6186
2020-02-03,4690.0,soroti,1.7153,33.6186
2020-02-04,6690.0,soroti,1.7153,33.6186
2020-02-05,6030.0,soroti,1.7153,33.6186
2020-02-06,5240.0,soroti,1.7153,33.6186
2020-02-07,7560.0,soroti,1.7153,33.6186
2020-02-08,7550.0,soroti,1.7153,33.6186
2020-02-09,7340.0,soroti,1.7153,33.6186
2020-02-10,7480.0,soroti,1.7153,33.6186
2020-02-11,7460.0,soroti,1.7153,33.6186
2020-02-12,6900.0,soroti,1.7153,33.6186
2020-02-13,6120.0,soroti,1.7153,33.6186
2020-02-14,6320.0,soroti,1.7153,33.6186
2020-02-15,7330.0,soroti,1.7153,33.6186
2020-02-16,7170.0,soroti,1.7153,33.6186
2020-02-17,7410.0,soroti,1.7153,33.6186
2020-02-18,7540.0,soroti,1.7153,33.6186
2020-02-19,6890.0,soroti,1.7153,33.6186
2020-02-20,7090.0,soroti,1.7153,33.6186
2020-02-21,6630.0,soroti,1.7153,33.6186
2020-02-22,6850.0,soroti,1.7153,33.6186
2020-02-23,7510.0,soroti,1.7153,33.6186
2020-02-24,7250.0,soroti,1.7153,33.6186
2020-02-25,5480.0,soroti,1.7153,33.6186
2020-02-26,6800.0,soroti,1.7153,33.6186
2020-02-27,6030.0,soroti,1.7153,33.6186
2020-02-28,6100.0,soroti,1.7153,33.6186
2020-02-29,5730.0,soroti,1.7153,33.6186
2020-03-01,6720.0,soroti,1.7153,33.6186
2020-03-02,4260.0,soroti,1.7153,33.6186
2020-03-03,4990.0,soroti,1.7153,33.6186
2020-03-04,1910.0,soroti,1.7153,33.6186
2020-03-05,7130.0,soroti,1.7153,33.6186
2020-03-06,7890.0,soroti,1.7153,33.6186
2020-03-07,7600.0,soroti,1.7153,33.6186
2020-03-08,7340.0,soroti,1.7153,33.6186
2020-03-09,3320.0,soroti,1.7153,33.6186
2020-03-10,6530.0,soroti,1.7153,33.6186
2020-03-11,7380.0,soroti,1.7153,33.6186
2020-03-12,6460.0,soroti,1.7153,33.6186
2020-03-13,6830.0,soroti,1.7153,33.6186
2020-03-14,5980.0,soroti,1.7153,33.6186
2020-03-15,5980.0,soroti,1.7153,33.6186
2020-03-16,5340.0,soroti,1.7153,33.6186
2020-03-17,5380.0,soroti,1.7153,33.6186
2020-03-18,5370.0,soroti,1.7153,33.6186
2020-03-19,7460.0,soroti,1.7153,33.6186
2020-03-20,7900.0,soroti,1.7153,33.6186
2020-03-21,6290.0,soroti,1.7153,33.6186
2020-03-22,7170.0,soroti,1.7153,33.6186
2020-03-23,7150.0,soroti,1.7153,33.6186
2020-03-24,6330.0,soroti,1.7153,33.6186
2020-03-25,5910.0,soroti,1.7153,33.6186
2020-03-26,6670.0,soroti,1.7153,33.6186
2020-03-27,4390.0,soroti,1.7153,33.6186
2020-03-28,4360.0,soroti,1.7153,33.6186
2020-03-29,4430.0,soroti,1.7153,33.6186
2020-03-30,7750.0,soroti,1.7153,33.6186
2020-03-31,6950.0,soroti,1.7153,33.6186
2020-04-01,7340.0,soroti,1.7153,33.6186
2020-04-02,7570.0,soroti,1.7153,33.6186
2020-04-03,6820.0,soroti,1.7153,33.6186
2020-04-04,6820.0,soroti,1.7153,33.6186
2020-04-05,6740.0,soroti,1.7153,33.6186
2020-04-06,6820.0,soroti,1.7153,33.6186
2020-04-07,7420.0,soroti,1.7153,33.6186
2020-04-08,7430.0,soroti,1.7153,33.6186
2020-04-09,6700.0,soroti,1.7153,33.6186
2020-04-10,6530.0,soroti,1.7153,33.6186
2020-04-11,6250.0,soroti,1.7153,33.6186
2020-04-12,5190.0,soroti,1.7153,33.6186
2020-04-13,5190.0,soroti,1.7153,33.6186
2020-04-14,5920.0,soroti,1.7153,33.6186
2020-04-15,7250.0,soroti,1.7153,33.6186
2020-04-16,6100.0,soroti,1.7153,33.6186
2020-04-17,6700.0,soroti,1.7153,33.6186
2020-04-18,4700.0,soroti,1.7153,33.6186
2020-04-19,5110.0,soroti,1.7153,33.6186
2020-04-20,2180.0,soroti,1.7153,33.6186
2020-04-21,4180.0,soroti,1.7153,33.6186
2020-04-22,5460.0,soroti,1.7153,33.6186
2020-04-23,4060.0,soroti,1.7153,33.6186
2020-04-24,5540.0,soroti,1.7153,33.6186
2020-04-25,5930.0,soroti,1.7153,33.6186
2020-04-26,6600.0,soroti,1.7153,33.6186
2020-04-27,6750.0,soroti,1.7153,33.6186
2020-04-28,5570.0,soroti,1.7153,33.6186
2020-04-29,7040.0,soroti,1.7153,33.6186
2020-04-30,5980.0,soroti,1.7153,33.6186
2020-05-01,7100.0,soroti,1.7153,33.6186
2020-05-02,3310.0,soroti,1.7153,33.6186
2020-05-03,4610.0,soroti,1.7153,33.6186
2020-05-04,6160.0,soroti,1.7153,33.6186
2020-05-05,5380.0,soroti,1.7153,33.6186
2020-05-06,6750.0,soroti,1.7153,33.6186
2020-05-07,5480.0,soroti,1.7153,33.6186
2020-05-08,5090.0,soroti,1.7153,33.6186
2020-05-09,5670.0,soroti,1.7153,33.6186
2020-05-10,5330.0,soroti,1.7153,33.6186
2020-05-11,6250.0,soroti,1.7153,33.6186
2020-05-12,5940.0,soroti,1.7153,33.6186
2020-05-13,5890.0,soroti,1.7153,33.6186
2020-05-14,6380.0,soroti,1.7153,33.6186
2020-05-15,4250.0,soroti,1.7153,33.6186
2020-05-16,6870.0,soroti,1.7153,33.6186
2020-05-17,5530.0,soroti,1.7153,33.6186
2020-05-18,5510.0,soroti,1.7153,33.6186
2020-05-19,5990.0,soroti,1.7153,33.6186
2020-05-20,6180.0,soroti,1.7153,33.6186
2020-05-21,4860.0,soroti,1.7153,33.6186
2020-05-22,4960.0,soroti,1.7153,33.6186
2020-05-23,5790.0,soroti,1.7153,33.6186
2020-05-24,6320.0,soroti,1.7153,33.6186
2020-05-25,6740.0,soroti,1.7153,33.6186
2020-05-26,6380.0,soroti,1.7153,33.6186
2020-05-27,6570.0,soroti,1.7153,33.6186
2020-05-28,5980.0,soroti,1.7153,33.6186
2020-05-29,6420.0,soroti,1.7153,33.6186
2020-05-30,6190.0,soroti,1.7153,33.6186
2020-05-31,5660.0,soroti,1.7153,33.6186
2020-06-01,4980.0,soroti,1.7153,33.6186
2020-06-02,6480.0,soroti,1.7153,33.6186
2020-06-03,6410.0,soroti,1.7153,33.6186
2020-06-04,5470.0,soroti,1.7153,33.6186
2020-06-05,5600.0,soroti,1.7153,33.6186
2020-06-06,5420.0,soroti,1.7153,33.6186
2020-06-07,6320.0,soroti,1.7153,33.6186
2020-06-08,3340.0,soroti,1.7153,33.6186
2020-06-09,5860.0,soroti,1.7153,33.6186
2020-06-10,4940.0,soroti,1.7153,33.6186
2020-06-11,6320.0,soroti,1.7153,33.6186
2020-06-12,4790.0,soroti,1.7153,33.6186
2020-06-13,6910.0,soroti,1.7153,33.6186
2020-06-14,5420.0,soroti,1.7153,33.6186
2020-06-15,3290.0,soroti,1.7153,33.6186
2020-06-16,5660.0,soroti,1.7153,33.6186
2020-06-17,5990.0,soroti,1.7153,33.6186
2020-06-18,6030.0,soroti,1.7153,33.6186
2020-06-19,5530.0,soroti,1.7153,33.6186
2020-06-20,4730.0,soroti,1.7153,33.6186
2020-06-21,5000.0,soroti,1.7153,33.6186
2020-06-22,5310.0,soroti,1.7153,33.6186
2020-06-23,5370.0,soroti,1.7153,33.6186
2020-06-24,5530.0,soroti,1.7153,33.6186
2020-06-25,5190.0,soroti,1.7153,33.6186
2020-06-26,4880.0,soroti,1.7153,33.6186
2020-06-27,5570.0,soroti,1.7153,33.6186
2020-06-28,6750.0,soroti,1.7153,33.6186
2020-06-29,6200.0,soroti,1.7153,33.6186
2020-06-30,6200.0,soroti,1.7153,33.6186
2020-07-01,5230.0,soroti,1.7153,33.6186
2020-07-02,4830.0,soroti,1.7153,33.6186
2020-07-03,5710.0,soroti,1.7153,33.6186
2020-07-04,6290.0,soroti,1.7153,33.6186
2020-07-05,5300.0,soroti,1.7153,33.6186
2020-07-06,2630.0,soroti,1.7153,33.6186
2020-07-07,3600.0,soroti,1.7153,33.6186
2020-07-08,4150.0,soroti,1.7153,33.6186
2020-07-09,4570.0,soroti,1.7153,33.6186
2020-07-11,4180.0,soroti,1.7153,33.6186
2020-07-12,5830.0,soroti,1.7153,33.6186
