datetime,ghi,location
2020-02-01,4040.0,wadelai
2020-02-02,6300.0,wadelai
2020-02-03,3550.0,wadelai
2020-02-04,4980.0,wadelai
2020-02-05,3120.0,wadelai
2020-02-06,6130.0,wadelai
2020-02-07,6010.0,wadelai
2020-02-08,6570.0,wadelai
2020-02-09,6740.0,wadelai
2020-02-10,6420.0,wadelai
2020-02-11,6430.0,wadelai
2020-02-12,6450.0,wadelai
2020-02-13,6010.0,wadelai
2020-02-14,4040.0,wadelai
2020-02-15,6650.0,wadelai
2020-02-16,6690.0,wadelai
2020-02-17,6760.0,wadelai
2020-02-18,5450.0,wadelai
2020-02-19,6330.0,wadelai
2020-02-20,7070.0,wadelai
2020-02-21,6750.0,wadelai
2020-02-22,5910.0,wadelai
2020-02-23,5450.0,wadelai
2020-02-24,6480.0,wadelai
2020-02-25,6300.0,wadelai
2020-02-26,6650.0,wadelai
2020-02-27,5420.0,wadelai
2020-02-28,2730.0,wadelai
2020-02-29,5880.0,wadelai
2020-03-01,3940.0,wadelai
2020-03-02,5200.0,wadelai
2020-03-03,5220.0,wadelai
2020-03-04,5710.0,wadelai
2020-03-05,6230.0,wadelai
2020-03-06,6170.0,wadelai
2020-03-07,6080.0,wadelai
2020-03-08,5010.0,wadelai
2020-03-09,4910.0,wadelai
2020-03-10,7190.0,wadelai
2020-03-11,6000.0,wadelai
2020-03-12,7250.0,wadelai
2020-03-13,5990.0,wadelai
2020-03-14,6270.0,wadelai
2020-03-15,5200.0,wadelai
2020-03-16,5970.0,wadelai
2020-03-17,5760.0,wadelai
2020-03-18,2780.0,wadelai
2020-03-19,6990.0,wadelai
2020-03-20,6800.0,wadelai
2020-03-21,6560.0,wadelai
2020-03-22,5490.0,wadelai
2020-03-23,6270.0,wadelai
2020-03-24,4400.0,wadelai
2020-03-25,4880.0,wadelai
2020-03-26,6830.0,wadelai
2020-03-27,4000.0,wadelai
2020-03-28,5990.0,wadelai
2020-03-29,4270.0,wadelai
2020-03-30,7020.0,wadelai
2020-03-31,4760.0,wadelai
2020-04-01,7080.0,wadelai
2020-04-02,7420.0,wadelai
2020-04-03,6250.0,wadelai
2020-04-04,6550.0,wadelai
2020-04-05,6910.0,wadelai
2020-04-06,7260.0,wadelai
2020-04-07,7090.0,wadelai
2020-04-08,7250.0,wadelai
2020-04-09,6520.0,wadelai
2020-04-10,6040.0,wadelai
2020-04-11,6590.0,wadelai
2020-04-12,6840.0,wadelai
2020-04-13,5550.0,wadelai
2020-04-14,6430.0,wadelai
2020-04-15,5620.0,wadelai
2020-04-16,7320.0,wadelai
2020-04-17,6090.0,wadelai
2020-04-18,4400.0,wadelai
2020-04-19,7070.0,wadelai
2020-04-20,1580.0,wadelai
2020-04-21,6480.0,wadelai
2020-04-22,3280.0,wadelai
2020-04-23,6510.0,wadelai
2020-04-24,6980.0,wadelai
2020-04-25,6090.0,wadelai
2020-04-26,6850.0,wadelai
2020-04-27,6240.0,wadelai
2020-04-28,5440.0,wadelai
2020-04-29,7020.0,wadelai
2020-04-30,5130.0,wadelai
2020-05-01,5730.0,wadelai
2020-05-02,3170.0,wadelai
2020-05-03,5070.0,wadelai
2020-05-04,7270.0,wadelai
2020-05-05,5860.0,wadelai
2020-05-06,6630.0,wadelai
2020-05-07,6880.0,wadelai
2020-05-08,5170.0,wadelai
2020-05-09,6360.0,wadelai
2020-05-10,6550.0,wadelai
2020-05-11,6500.0,wadelai
2020-05-12,6200.0,wadelai
2020-05-13,6540.0,wadelai
2020-05-14,5710.0,wadelai
2020-05-15,5570.0,wadelai
2020-05-16,6070.0,wadelai
2020-05-17,7020.0,wadelai
2020-05-18,4790.0,wadelai
2020-05-19,6800.0,wadelai
2020-05-20,5990.0,wadelai
2020-05-21,5710.0,wadelai
2020-05-22,980.0,wadelai
2020-05-23,6750.0,wadelai
2020-05-24,6740.0,wadelai
2020-05-25,7060.0,wadelai
2020-05-26,6550.0,wadelai
2020-05-27,6680.0,wadelai
2020-05-28,6560.0,wadelai
2020-05-29,5890.0,wadelai
2020-05-30,6090.0,wadelai
2020-05-31,3360.0,wadelai
2020-06-01,6630.0,wadelai
2020-06-02,6250.0,wadelai
2020-06-03,6240.0,wadelai
2020-06-04,5350.0,wadelai
2020-06-05,6170.0,wadelai
2020-06-06,5140.0,wadelai
2020-06-07,5540.0,wadelai
2020-06-08,5280.0,wadelai
2020-06-09,6340.0,wadelai
2020-06-10,4870.0,wadelai
2020-06-11,5480.0,wadelai
2020-06-12,5960.0,wadelai
2020-06-13,6230.0,wadelai
2020-06-14,6350.0,wadelai
2020-06-15,6200.0,wadelai
2020-06-16,6360.0,wadelai
2020-06-17,4970.0,wadelai
2020-06-18,5490.0,wadelai
2020-06-19,3480.0,wadelai
2020-06-20,2650.0,wadelai
2020-06-21,4770.0,wadelai
2020-06-22,5700.0,wadelai
2020-06-23,5610.0,wadelai
2020-06-24,5910.0,wadelai
2020-06-25,5520.0,wadelai
