location,latitude,longitude,altitude,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Av
Ndejje ss,0.6106,32.47527,1223,2.6,3,4.1,4.8,5.2,5.5,5.6,5.1,4,3.6,2.9,2.4,4.1
Entebbe WME,0.048611,32.4725,1149,4.6,4.3,4.6,4.3,4.1,3.7,4,4,4,4.3,4.1,4.1,4.2
Wanyange GS,0.483497,33.24372,1346,4.7,4.9,5.1,4.8,4.5,4.2,4,4.4,4.5,4.6,4.6,4.5,4.6
Busitema UN,0.756919,34.04617,1119,4,4.2,4,5.1,4.9,3.9,3.1,4.6,5,4.6,4.9,4,4.4
Kazwama HC,1.332253,32.65002,1058.2,5.1,4.6,5.1,4.9,4.7,4.1,4.3,4.5,4.6,4.9,4.7,4.8,4.7
Mityana SS,0.377506,32.03904,1245,4.1,4.3,4.5,4.2,3.9,3.9,3.8,3.8,3.9,3.8,3.9,3.9,4
Masindi Water,1.685136,31.70617,1149,4.9,4.4,4.8,4.8,4.6,4.1,4.1,4.2,4.2,4.4,4.4,4.6,4.5
Bukalasa AC,0.712526,32.51243,1172.4,4.8,4.7,4.5,4.1,3.8,3.9,3.7,4.5,4.9,4.8,5.1,4.5,4.5
Ntusi H,0.048151,31.21594,1306,3.9,4.1,4.4,4.9,4.8,4.1,3.6,4.5,4.6,4.4,4.1,4,4.3
Mubende H,0.56302,31.39055,1319,4.1,4.2,4.4,3.9,4.3,3.9,3.7,4,4.1,3.9,4,4,4
Kyenjojo H,0.61717,30.63842,1375,4.6,4.8,5,4.7,4.8,4.4,4.5,4.6,4.6,4.6,4.8,4.8,4.7
Kyembogo A,0.69355,30.33222,1528,4.5,4.7,4.6,4.3,4.5,4.1,4.1,4,4,3.9,4,4.3,4.3
Kasese S,0.18919,30.10059,962,4,4.1,4.4,4.2,4.3,3.8,3.7,3.9,4.3,4.2,4.2,4.1,4.1
Kabale S,1.2542,29.9919,1870,3.7,4.3,4.5,3.8,3.6,3.7,3.9,3.9,4,3.7,4.1,3.7,3.9
Mbarara S,0.60528,30.67316,1425,3.9,4.1,4.2,4.5,4.6,4.3,4.3,4.1,4.3,4.3,4,3.8,4.2
Kalangala HQ,0.32208,32.29123,1279,4,4.6,5.1,4.3,3.9,3.8,4.1,4.3,4.3,4.4,4.1,3.8,4.2
Bukasa SS,0.45427,32.49455,1197,4.2,4.8,4.8,4.4,3.3,3.7,4.5,4.5,4.8,4.2,4.2,4.1,4.3
Entebbe AM,0.052465,32.44069,1138,4.6,5,4.7,4.2,4.1,3.6,4.5,4.4,4.6,4.5,4.5,4.2,4.4
Makerere S,0.333542,32.56863,1244,3.7,4.2,4.2,3.8,3.5,3.2,3.9,3.7,3.9,3.7,3.6,3.4,3.7
Buvuma HQ,0.19692,33.27136,1187,4.7,5.1,5.5,5,4.8,4.4,4.7,4.7,5.1,5,5.1,4.7,4.9
Kabulasokea,0.15583,31.81268,1218,3.6,3.8,4,3.7,3.3,3.2,3.4,4.2,4.1,4.2,4.2,4,3.8
Butambala,0.18395,32.13239,1223,4.8,5,4.8,4.8,4.4,4.1,4.1,4.2,4.3,4.1,4.1,3.9,4.4
Kalongo SS,1.20684,32.73557,1047,5,5.3,5.5,5.1,4.9,4.4,4,4.8,5.2,5.1,5,4.8,4.9
Nakaseke,0.82875,32.24802,1090,4.5,4.7,4.6,4.3,4.5,4.1,4.1,4,4,3.9,4,4.3,4.3
Ngoma SS,1.18624,32.02033,1069,5.2,5.3,5,5,4.8,4.4,4,4.4,5.1,5.1,4.9,5,4.8
Arua Ad,3.04679,30.9135,1202,4.6,4.7,4.8,4.8,4.4,3.8,3.5,4,4.6,4.8,4.8,4.6,4.4
Bugema U,0.5715,32.64165,1167.94,4,4.1,4.5,4.3,4.1,3.9,4,4,4.4,4.1,4.4,4.1,4.2
Busoga C,0.499446,33.2634,1354.624,4.2,4,4.3,4.7,4.9,5,4.4,4.6,4.8,4.8,4.8,3.8,4.5
Iganga G SS,0.58487,33.4567,1148,3.5,3.4,3.3,3.4,3,3,3.6,4.7,4.4,3.8,3.5,3.4,3.6
Jinja A,0.45047,33.19557,1177,4.5,4.7,4.7,4.5,4.2,3.9,4.1,4.2,4.8,4.6,4.7,4.3,4.4
Koboko HQ,3.40472,30.9596,1238,4.9,5,4.6,4.8,4.6,4.3,4,4.4,5,5.4,6,5.4,4.9
Nakabale,0.7517,33.26807,1114,3.9,4.7,5.1,4.5,4.1,3.8,3.7,4.2,4.8,4.9,4.6,4.2,4.4
Soroti Meta,1.72469,33.622,1123,5.3,5.3,5.4,5.5,5.2,5,4.3,5.4,5.5,5.6,5.5,5.3,5.3
Tororo HQa,0.6978,34.17151,1177,4.5,4.9,5,5,4.5,3.9,4.1,4.6,5.2,5,5.1,4.2,4.7
Wadelai M,2.72595,31.39115,640,4.8,5.1,5.5,6,5.7,4.6,4.9,5,5.2,5.3,5.2,5,5.2
Yumbe HQ,3.4535,31.25125,970,4.7,4.9,4.8,4.9,4.7,4.5,3.8,4.6,5,5,5,4.8,4.7
Lira M,2.29519,32.92137,1096,4,4.4,4.7,3.7,2.6,2.9,2.5,3.2,4.2,3.1,3.9,4,3.6
Koome HQ,0.08057,32.73332,1158,4.2,4.7,4.8,4.4,4.1,3.7,4,4.2,4.4,4.4,4.4,4,4.3
Bulindi,1.498891,31.49754,1142,3.9,3.9,4,4.2,4,3.7,3.4,3.5,3.9,3.6,3.8,3.8,3.8
Masindi HQ,1.68575,31.71826,1146,5.2,5.1,4.4,3.8,2.4,2.5,3.1,4.2,4.4,4.4,4.7,4.7,4.1
Kitgum Met,3.28747,32.88681,943,4.7,4.7,4.7,4.3,4.3,4.4,3.8,4.8,5.4,5.2,5,4.4,4.6
Gulu PTC,2.789625,32.34651,1106,5.3,5.8,5.8,5.2,5.2,4.4,3.9,4.2,4.7,5.4,5.9,5.2,5.1
Aii-vu,3.159782,31.01098,1092,3.4,3.5,3.4,3.5,3.3,3,2.7,4.1,4.9,4.8,4.6,4.4,3.8
Kisasi PS,0.376389,32.59785,1218,3.4,3.6,4,4,3.5,3.9,3.6,3.9,4,3.7,3.6,3.2,3.7
Nakivubo,0.308052,32.57536,1163,3.1,3.1,3,2.9,2.5,2.5,2.3,2.5,2.9,3.4,3.2,3,2.9
Mengo SS,0.319691,32.56168,1247.2,3.5,3.6,3.7,3.7,3.2,3.7,3.4,3.5,3.5,3.3,3.2,3.5,3.5
Ggaba PS,0.265062,32.6272,1187,4.2,4.1,4.4,4.4,3.9,4,3.9,4.1,4.3,4,4.1,4,4.1
Kyambogo,0.355103,32.62917,1241,4,4.1,4.4,4.4,3.8,3.8,3.7,4,4.2,4,4.1,3.9,4
Perfect IP,0.735174,31.25067,1226,4.3,3.5,6.5,4.2,4.3,4.3,3.7,4.2,4.2,4,4.1,4,4.3
Kibanda H,0.85967,31.36607,1195,3.7,4.2,4.2,4.2,4.1,4.3,4.1,4.2,3.8,4,4.1,3.9,4.1
Kibaale CAI,0.77946,31.34539,1227.8,4.4,4.1,4.3,4.2,4.1,4,4.2,4.1,3.9,4.1,3.9,4,4.1
Rakai HQ,0.70757,31.40214,1266.8,3.9,4.1,4.5,4.3,4.3,4.5,4.4,4.3,4,4.2,4.2,4,4.2
Mateete SC,0.2434,31.48119,1254,3.7,4.2,4.4,4.1,3.9,3.9,3.7,3.9,3.7,3.8,3.7,3.7,3.9
Sembabule,0.08901,31.45802,1200,3.9,4.1,4.8,4.4,4.9,5.6,5.2,4.5,4,4.1,3.9,3.9,4.4
Lwebitakuli,0.25623,31.3525,1270,3.6,4,4.6,4.6,3.8,3.8,3.8,3.9,4,4.2,3.8,4,4
Semuto,0.6212,32.36956,1170,4.6,4.3,4.8,4.6,4.1,4.1,3.8,4.2,4.2,3.6,4,5.2,4.3
