timestamp,latitude,longitude,GHI,DNI,DHI
2024-01-01,-1.0,30.0,5.06,1.93,3.21
2024-01-02,-1.0,30.0,3.26,0.73,2.11
2024-01-03,-1.0,30.0,3.26,0.11,2.47
2024-01-04,-1.0,30.0,3.3,0.39,2.47
2024-01-05,-1.0,30.0,5.08,1.54,3.06
2024-01-06,-1.0,30.0,5.65,3.55,2.67
2024-01-07,-1.0,30.0,5.16,2.13,2.87
2024-01-08,-1.0,30.0,6.04,3.89,2.75
2024-01-09,-1.0,30.0,3.89,0.67,2.62
2024-01-10,-1.0,30.0,3.86,1.03,2.45
2024-01-11,-1.0,30.0,4.31,0.98,2.84
2024-01-12,-1.0,30.0,3.41,0.26,2.46
2024-01-13,-1.0,30.0,4.78,1.65,2.68
2024-01-14,-1.0,30.0,4.94,2.25,2.58
2024-01-15,-1.0,30.0,3.72,0.75,2.54
2024-01-16,-1.0,30.0,4.99,1.46,2.93
2024-01-17,-1.0,30.0,4.68,0.8,3.12
2024-01-18,-1.0,30.0,4.03,0.5,2.67
2024-01-19,-1.0,30.0,6.57,5.22,2.44
2024-01-20,-1.0,30.0,5.73,3.72,2.49
2024-01-21,-1.0,30.0,3.14,1.25,1.92
2024-01-22,-1.0,30.0,5.22,3.07,2.64
2024-01-23,-1.0,30.0,3.86,0.77,2.72
2024-01-24,-1.0,30.0,3.41,1.47,2.09
2024-01-25,-1.0,30.0,5.15,2.04,2.8
2024-01-26,-1.0,30.0,3.15,0.88,1.91
2024-01-27,-1.0,30.0,5.7,3.14,2.72
2024-01-28,-1.0,30.0,6.56,4.46,2.77
2024-01-29,-1.0,30.0,5.77,3.81,3.12
2024-01-30,-1.0,30.0,5.2,1.53,3.32
2024-01-31,-1.0,30.0,5.36,2.71,2.68
2024-02-01,-1.0,30.0,4.56,1.03,3.21
2024-02-02,-1.0,30.0,4.91,2.1,2.76
2024-02-03,-1.0,30.0,4.56,1.7,2.66
2024-02-04,-1.0,30.0,5.2,2.97,2.62
2024-02-05,-1.0,30.0,3.23,1.24,2.15
2024-02-06,-1.0,30.0,5.12,2.8,2.36
2024-02-07,-1.0,30.0,6.83,5.78,2.36
2024-02-08,-1.0,30.0,5.24,2.55,2.72
2024-02-09,-1.0,30.0,5.93,4.27,2.37
2024-02-10,-1.0,30.0,2.6,0.66,1.86
2024-02-11,-1.0,30.0,5.67,4.07,2.46
2024-02-12,-1.0,30.0,5.74,3.1,2.91
2024-02-13,-1.0,30.0,6.57,5.59,2.2
2024-02-14,-1.0,30.0,4.32,1.73,2.51
2024-02-15,-1.0,30.0,2.41,0.06,1.81
2024-02-16,-1.0,30.0,5.77,3.4,2.91
2024-02-17,-1.0,30.0,4.71,1.79,3.06
2024-02-18,-1.0,30.0,4.36,1.1,3.04
2024-02-19,-1.0,30.0,5.88,2.52,2.95
2024-02-20,-1.0,30.0,6.61,4.33,2.82
2024-02-21,-1.0,30.0,4.14,1.74,2.19
