latitude,longitude,timestamp,Observation period,ghi_extra,ghi_clear,bhi_clear,dhi_clear,dni_clear,ghi,bhi,dhi,dni,Reliability
-1.0,30.0,2024-01-01T00:00:00Z,2024-01-01T00:00:00.0/2024-01-02T00:00:00.0,417.2876791666667,284.8932291666667,173.48205416666667,111.411175,242.47129166666664,215.75545416666668,87.60078750000001,128.15465416666666,108.96589999999999,0.983
-1.0,30.0,2024-01-02T00:00:00Z,2024-01-02T00:00:00.0/2024-01-03T00:00:00.0,417.5365,277.54494166666666,154.6143,122.93064166666666,215.79848333333334,164.76908333333333,29.490145833333333,135.27892916666667,42.60225833333333,0.983
-1.0,30.0,2024-01-03T00:00:00Z,2024-01-03T00:00:00.0/2024-01-04T00:00:00.0,417.80187916666665,286.82021249999997,173.65590416666666,113.16430833333334,243.400575,90.5879625,4.894666666666667,85.69330000000001,9.7435625,0.983
-1.0,30.0,2024-01-04T00:00:00Z,2024-01-04T00:00:00.0/2024-01-05T00:00:00.0,418.08374166666664,287.9380291666667,180.5835375,107.35447083333334,253.2236333333333,177.40175416666668,32.402008333333335,144.99975416666666,52.8405375,0.983
-1.0,30.0,2024-01-05T00:00:00Z,2024-01-05T00:00:00.0/2024-01-06T00:00:00.0,418.37915,292.9572125,196.3577875,96.59943750000001,275.55175833333334,256.1991791666667,130.38655416666668,125.81262083333333,167.29139166666667,0.9833
-1.0,30.0,2024-01-06T00:00:00Z,2024-01-06T00:00:00.0/2024-01-07T00:00:00.0,418.6939291666667,282.6556,170.73254583333335,111.92305416666666,236.13891666666666,259.9956875,152.80667083333333,107.18900416666666,198.88598750000003,0.983
-1.0,30.0,2024-01-07T00:00:00Z,2024-01-07T00:00:00.0/2024-01-08T00:00:00.0,419.0194916666667,285.988525,178.33298749999997,107.6555375,247.57893750000002,250.79892916666665,112.88267083333334,137.91625833333333,168.2291375,0.9833
-1.0,30.0,2024-01-08T00:00:00Z,2024-01-08T00:00:00.0/2024-01-09T00:00:00.0,419.3632416666667,284.73879166666666,175.53849166666666,109.20029583333333,242.39758333333336,250.04028333333335,129.141175,120.89909999999999,179.00947916666667,0.983
-1.0,30.0,2024-01-09T00:00:00Z,2024-01-09T00:00:00.0/2024-01-10T00:00:00.0,419.71683750000005,271.826375,140.08964166666667,131.73674583333334,192.45550416666666,119.41205833333333,11.924095833333332,107.48796666666668,19.987183333333334,0.9833
-1.0,30.0,2024-01-10T00:00:00Z,2024-01-10T00:00:00.0/2024-01-11T00:00:00.0,420.08532916666667,270.82438333333334,141.2019875,129.6223875,195.0366625,169.71790416666667,33.08381666666667,136.63409583333333,44.9571625,0.9833
-1.0,30.0,2024-01-11T00:00:00Z,2024-01-11T00:00:00.0/2024-01-12T00:00:00.0,420.4685875,280.0036,159.43478333333334,120.56881666666668,219.78344583333333,178.53389583333333,56.948116666666664,121.585775,67.8070625,0.983
-1.0,30.0,2024-01-12T00:00:00Z,2024-01-12T00:00:00.0/2024-01-13T00:00:00.0,420.8601875,283.2438375,165.09705416666665,118.14677916666666,229.61562083333334,126.281425,15.333062499999999,110.94835416666666,21.540945833333335,0.9833
-1.0,30.0,2024-01-13T00:00:00Z,2024-01-13T00:00:00.0/2024-01-14T00:00:00.0,421.2663583333333,289.2566125,168.54920416666667,120.70741666666667,233.63962916666665,162.96129166666665,59.376216666666664,103.58507083333335,85.75924583333334,0.983
-1.0,30.0,2024-01-14T00:00:00Z,2024-01-14T00:00:00.0/2024-01-15T00:00:00.0,421.6798083333333,282.86924166666665,154.75292916666666,128.1163125,212.64451250000002,208.32832916666666,80.80197083333333,127.52635833333333,105.8088375,0.9833
-1.0,30.0,2024-01-15T00:00:00Z,2024-01-15T00:00:00.0/2024-01-16T00:00:00.0,422.10485833333337,275.93925,144.1062125,131.83303750000002,197.6261375,136.81884583333334,23.6039375,113.21490416666667,42.92805833333333,0.9833
-1.0,30.0,2024-01-16T00:00:00Z,2024-01-16T00:00:00.0/2024-01-17T00:00:00.0,422.5407291666667,284.86334166666666,166.25005000000002,118.61329166666667,229.1632875,194.5067958333333,77.4880375,117.01875833333334,104.06176666666666,0.983
-1.0,30.0,2024-01-17T00:00:00Z,2024-01-17T00:00:00.0/2024-01-18T00:00:00.0,422.9820958333333,288.76849166666665,174.62648333333334,114.14200833333332,240.288675,201.780275,59.992241666666665,141.78803333333335,79.52638333333333,0.9833
-1.0,30.0,2024-01-18T00:00:00Z,2024-01-18T00:00:00.0/2024-01-19T00:00:00.0,423.432575,282.26346666666666,160.91814166666668,121.345325,220.2017625,179.80733333333333,70.09732083333334,109.71,90.4257625,0.9833
-1.0,30.0,2024-01-19T00:00:00Z,2024-01-19T00:00:00.0/2024-01-20T00:00:00.0,423.8916,291.4186,183.4547125,107.96387916666667,253.56640833333333,269.53558333333336,146.33225416666667,123.20333749999999,193.54069166666667,0.983
-1.0,30.0,2024-01-20T00:00:00Z,2024-01-20T00:00:00.0/2024-01-21T00:00:00.0,424.35420833333336,295.2030625,189.1181625,106.0849,260.5663666666667,220.0274875,88.76710000000001,131.2603875,125.51171666666666,0.9833
-1.0,30.0,2024-01-21T00:00:00Z,2024-01-21T00:00:00.0/2024-01-22T00:00:00.0,424.82365,293.85992500000003,183.53806666666665,110.32185833333334,251.20102916666667,80.43758749999999,1.592975,78.84461666666667,1.7814916666666667,0.9833
